Player Name,Position,College,consensus,beast_grade,br_article_grade,br_pro_comparison,p_real_contract,p_practice_only,p_out_of_league,sc_prediction,p_mocked_higher,p_mocked_near_consensus,p_mocked_lower,draft_prediction,text_source,has_br,has_pff
LeVeon Moss,RB,Texas A&M,204,6th round,6.8 (Role Player/Part-Time Contributor — 4th round),Less-explosive Josh Jacobs,40.0,53.6,6.5,practice_only,15.9,9.3,74.8,mocked_lower,beast,True,False
Cyrus Allen,WR,Cincinnati,205,5th-6th round,,,11.4,52.4,36.2,practice_only,31.0,12.3,56.7,mocked_lower,beast,False,False
Thaddeus Dixon,CB,North Carolina,206,5th-6th round,,,41.2,47.2,11.6,practice_only,29.3,7.0,63.7,mocked_lower,beast,False,False
Red Murdock,LB,Buffalo,207,4th-5th round,,,24.0,62.7,13.3,practice_only,52.5,17.7,29.8,mocked_higher,beast,False,False
Cameron Ball,DL,Arkansas,208,5th round,,,11.2,50.4,38.5,practice_only,71.1,10.8,18.0,mocked_higher,beast,False,False
Bishop Fitzgerald,S,USC,209,6th round,,,19.8,51.7,28.4,practice_only,79.6,3.3,17.2,mocked_higher,beast,False,False
Mason Reiger,EDGE,Wisconsin,210,5th-6th round,,,26.9,34.9,38.2,out_of_league,85.0,5.1,9.9,mocked_higher,beast,False,False
Kaden Wetjen,WR,Iowa,211,6th round,,,16.9,77.8,5.3,practice_only,42.7,10.7,46.7,mocked_lower,beast,False,False
JMari Taylor,RB,Virginia,212,6th round,,,31.4,54.1,14.5,practice_only,33.8,12.6,53.6,mocked_lower,beast,False,False
Matthew Hibner,TE,SMU,213,6th round,,,4.6,71.1,24.3,practice_only,78.5,4.3,17.2,mocked_higher,beast,False,False
Lander Barton,LB,Utah,214,7th round-​,6.7 (Role Player/Part-Time Contributor — 4th Round),Justin Strnad,24.6,39.1,36.3,practice_only,69.9,0.8,29.3,mocked_higher,beast,True,False
Aamil Wagner,OT,Notre Dame,215,7th round,,,12.0,42.5,45.5,out_of_league,43.0,7.3,49.7,mocked_lower,beast,False,False
Robert Spears-Jennings,S,Oklahoma,216,5th round,,,31.9,28.1,40.0,out_of_league,86.0,2.7,11.3,mocked_higher,beast,False,False
CJ Daniels,WR,Miami (FL),218,Free Agent,,,21.4,48.5,30.1,practice_only,36.4,5.9,57.7,mocked_lower,beast,False,False
Louis Moore,S,Indiana,219,6th-7th round,7.1 (High-Level Backup/Starter Upside - Third Round),Geno Stone,19.6,51.3,29.1,practice_only,81.4,3.8,14.8,mocked_higher,beast,True,False
Tanner Koziol,TE,Houston,220,6th round,6.5 (Role Player/Part-Time Contributor — 4th Round),Nuanced Ryan Griffin,20.5,68.8,10.7,practice_only,20.8,18.8,60.4,mocked_lower,beast,True,False
Wesley Williams,DL,Duke,221,4th-5th round,,,14.7,59.9,25.4,practice_only,10.5,75.9,13.7,mocked_near_consensus,beast,False,False
Vincent Anthony,EDGE,Duke,222,7th round-​,,,16.6,45.5,37.8,practice_only,27.0,12.6,60.4,mocked_lower,beast,False,False
Eric Gentry,LB,USC,223,Free Agent,,,16.5,58.1,25.4,practice_only,36.8,2.8,60.4,mocked_lower,beast,False,False
Eric McAlister,WR,TCU,225,Free Agent,,,11.2,78.5,10.3,practice_only,25.0,6.2,68.8,mocked_lower,beast,False,False
Caleb Douglas,WR,Texas Tech,226,6th-7th round,,,37.2,51.5,11.2,practice_only,39.3,14.5,46.2,mocked_lower,beast,False,False
Carver Willis,OT,Washington,228,6th round,6.7 (Role Player/Part-Time Contributor — 4th Round),Robert Hainsey,17.7,60.4,21.9,practice_only,47.1,12.6,40.4,mocked_higher,beast,True,False
Bryson Eason,DL,Tennessee,229,6th round,,,10.2,55.9,33.9,practice_only,21.2,22.2,56.6,mocked_lower,beast,False,False
Lorenzo Styles,CB,Ohio State,230,7th round,,,34.2,28.5,37.3,out_of_league,67.1,2.5,30.4,mocked_higher,beast,False,False
Eli Heidenreich,WR,Navy,231,5th round,,,4.7,83.4,11.9,practice_only,82.0,3.3,14.7,mocked_higher,beast,False,False
Brandon Cleveland,DL,NC State,232,6th round,,,21.0,62.8,16.2,practice_only,19.0,41.9,39.2,mocked_near_consensus,beast,False,False
Jeremiah Williams,EDGE,Texas A&M,233,7th round-​,,,8.9,49.7,41.5,practice_only,2.9,5.5,91.6,mocked_lower,beast,False,False
