"","full_name","position","overview","pros","cons"
"1","Mitchell Trubisky","Quarterback","Despite being a one-year starter, Trubisky is very polished as a passer playing with good balance and consistent mechanics, which leads him to throw with great accuracy in the short/intermediate passing game. Although he comes from a version of the spread in his college offense, he was asked to do manyfull field progressions and showed he can click from receiver to receiver quickly and efficiently. Has very good pocket instincts and ability to keep eye level up to see receivers down the field while moving within the pocket. His three-quarters release may lead to more batted balls at the LOS but is likely not a huge issue at the next level. Will need to work on hitting his deep shots with more consistent accuracy to keep defenses from sitting at the break point. Shows all of the tools to develop into a very solid NFL starting quarterback and appears to be the safest option of the 2017 quarterback draft class.","Compact, accurate, quick arm with a three-quarters release. Quick release allows him to get rid of the ball even when under heavy pressure. Polished passer with consistent footwork and mechanics. Athletic within and outside the pocket. Very accurate throwing on the move. Anticipates well on timing routes as well as windows in zone coverage. Quick-minded and reacts quickly from the time he sees it to time of release. Discipline with his reads and shows ability to scan the field in full field progressions. Natural feel and instincts in the pocket. Consistently accurate ball placement in the short passing game maximizing catch and run opportunities. Has the arm to drive the ball outside the numbers. Consistently hits the “cover-2” hole in between the cornerback and the safety, much more often than most college quarterbacks. Values the ball and is a good decision maker.","One-year starter with limited amount of game tape. Inconsistent deep ball touch. Ball hangs and forces receivers to adjust too often. Poor blitz recognition at times leaving him surprised where defenders are coming from post snap. Feet/mind can start to move too quickly under pressure leading to inaccuracies. Can get stuck on the spot in the pocket with feet bouncing instead of pushing up in the pocket. Will overstride getting too long resulting in lost power at times when needing to drive the ball downfield. 50.0"
"2","Deshaun Watson","Quarterback","Watson is as tough of a prospect to evaluate as there is coming out of college. While he shows flashes with his arm, he is wildly inconsistent and lacks the key traits (pocket instincts/poise and field vision).He will need to play in an offense specifically built around him with a quarterback run game and pass- game scheme creativity. There will be games when the coverage structures will be simple and the route concepts will match up with the route combinations, and he will have success. Then there will be games where the defensive movement will give him problems or the pass rush will force him to move within the pocket and get through progressions, and he will struggle mightily. Watson is not a pure progression INT passer, with his limited pocket feel and vision, and whenever that’s the case, there will be a huge risk","Smooth, efficient delivery. Throws a very catchable ball. Displays a complete inventory of passes with zip, firm with touch. Changes the pace of the ball well when needed. Extremely athletic with the ability to escape when things break down. Good initial burst. True timing/rhythm passer, heavily reliant on pre-snap reads. Throws cover-3 and cover-2 seams very well. Best “glance” route thrower in the class. Anticipates well on timing routes outside the numbers. Flashes good go-ball touch. Good feel for back-shoulder throws to big-bodied receivers. Delivers in big moments. Confident player.","Limited instincts/feel in the pocket. Does not react smoothly when initial read is not there. Lacks consistent pocket poise, drops eyes down for a running lane instead of creating within the pocket. Played in an offense where the field was cut in half with simple reads. Field looks small to him; limited vision to get through progressions. Relatively slow post-snap processing speed. More interested in taking a yes/no go-ball on the outside than reading out the concept of the play. Overall not as accurate as he should be considering his style of play. Inaccurate on many easy throws 70.0 in the short passing game. Played with elite playmakers around him, will have to learn how to function without big-play receivers 40.0 on the outside."
"3","Patrick Mahomes Ii","Quarterback","Mahomes is as interesting as a prospect as there is at quarterback that comes with high risk/high reward. His arm is as good as any quarterback in the playing right now. The natural passing instincts as far as sliding and feeling pass-rushers in the pocket, to seeing in front of the throw and 40 adjusting to the type of throw needed, is special. His lack of discipline in the pocket with footwork, 30 bailing on clean pockets, and decision making is a big concern. Some of the bailing on pockets can be attributed to how much “rush three drop eight into coverage” he saw, which can lead to playing outside 0 of structure to find passing lanes more often. Coming from a system with everything so spread out and defined passing lanes, there will be an adjustment period needed for the game and seeingtighter throwing lanes. Mahomes is not likely a Day 1 starter in the NFL but is certainly worth a first-round selection as a potential big hit as a franchise quarterback.","Smooth, whip release with power and touch. Arm is special and may define the term “arm talent.” Can make any throw with accuracy and power to and level/area of the field, from every type of platform and arm angle. Incredibly instinctive, intuitive player with a good feel for passing game. Athletic in the pocket with ability to make rushers miss, or shed with strength. Anticipates well. Time from locating receiver to ball out of his hand is extremely quick. Overall has good vision and ability to see multiple defenders in his reads. Poise to make any throw no matter what the chaos is around him in the pocket. Plays outside of the structure of the offense as well as anyone in the NFL does right now. Gritty playmaker. Wants the ball in his hands and delivers when his team needs it most.","Plays undisciplined too often. Inconsistent footwork, loses his base but tends to make up for it with his arm. Tendency to drift in the pocket in all directions when it’s not necessary. Bad habit of breaking from clean pockets too early when the pass rush dictates him to stay in there. Forces too many throws and tries for the hero play too often. Steep learning curve coming from the Texas Tech spread/wide open system."
"4","Deshone Kizer","Quarterback","After an impressive Week 1 in which he littered the field with throws, Kizer received No. 1 overall 40 hype though the rest of the season was filled with ups and downs. While he certainly didn’t get much help from a young receiving core and a musical-chairs quarterback controversy, there were many times you expected Kizer to pull his team through to get a win and he failed to do so. Kizer’s traits are as good 0 as any quarterback in the 2017 class, but the inconsistencies with accuracy and decision-making leave a lot of question marks of how he will translate to the next level. The natural instincts for the position andpure arm talent are there, with a coach likely to see those uncoachable traits that and try make him into the player he has the potential to be.","Big-bodied, prototypical size and stature. Pure and smooth over the top release. Power to push the ball to each level with relative ease. Athletic player in the pocket and shows good mobility to pick up yards with his legs. Good pocket poise with a willingness to stand in there and take a hit to make throws. Instinctive in the pocket with the ability to evade defenders and maintain eyes downfield to get through progressions. Understands how to tempo the ball and throw with arc and pace up and over defenders. Shows he can scan the entire field with pure progression reads. Deep ball arm talent is on par with some of the best in the NFL.","Sloppy footwork/mechanics far too often throughout the course of a game. Struggles with short area accuracy at times. Inconsistent decision-maker late in games. Inconsistent with anticipation – more of a see it, throw it player. Hesitant and doesn’t always trust what he sees. Had a chance to either tie or win the game with the ball in his hand in six games this season and failed to convert. Takes too many sacks in the pocket. We charged him with nine sacks in 2016 and 10 sacks in 2015 (charged his offensive line with only seven that season."
"5","Nathan Peterman","Quarterback","Peterman has seen his stock rise the more people find out about him. He is a very solid, steady player with a limited ceiling – but shows a great understanding of the passing game. His arm is just , but with his ability to see the field clearly and work through progressions combined with his natural feel in the pocket, he has a chance to develop into a middle of the road starter. He played in a system with a 50 lot of jet sweep gimmicks, but has experience under center and working full field progressions in both 40 the drop back and play action pass game. Peterman can step in and be a backup on most teams right now, with the hopes there can be tweaks with a few things mechanically and as he gets older to gain more strength in his arm.","Not necessarily a pure/smooth thrower, but possesses a quick release. Consistent footwork. Plays with a good base in control and throws on balance. Great understanding of defensive recognition and where to go with the ball with the given passing scheme. Good ball placement on short/intermediate timing routes. Anticipates windows in zone very well. Sees the field clearly. Consistently shows the ability to get through progressions, eliminating a read quickly and moving on to the next with relative ease. Great overall feel and discipline in the pocket. Athletic within the pocket and can burst to pick up key third downs with his legs.","Arm is limited. Doesn’t possess natural power to drive the ball. Needs to coil up to gain zip. Ball tends to finish low on the receiver the further down the field you get. Lacks pocket poise at times tending to bail out right when unnecessary. Feet can get a little frenetic when facing pressure. Inconsistent decision making outside of the pocket or late in the down at times."
"6","Davis Webb","Quarterback","Webb’s overall arm talent is intriguing. When throwing in rhythm vs. defined coverage looks, he is 100 accurate and has every throw in the book. His touch on fades and go routes is very good, and knows 90 how to pace the ball up and over defenders. When things don’t go as planned either with pressure or defensive movement his game takes a drastic change. His feet and mind get sped up and his ball placement suffers. He can be late to recognize coverage and try to make up for it with his arm, resulting in poor decisions. The learning curve from his offense at Cal will be steep. Overall Webb is a 40 developmental quarterback with a chance to be a backup down the road.","Very natural passer, whiplike release. Arm has a lot of pop even when his feet aren’t exactly right. Drives the ball well outside the numbers and windows in the intermediate part of the field. Good accuracy to each part of field when he’s in rhythm and confident where to go with the ball. Shows good touch on fade and go routes. At his best with coverage defined looks and reads.","Forces a lot of throws/inconsistent vision to see in front of the throw. Inconsistent seeing post-snap movement. Hangs in the pocket but feet will get jumpy and can look uncomfortable. Average pocket instincts and pocket poise. Feet are bouncy in the pocket with a narrow base. Drifts backwards in the pocket too often. Does not anticipate well and relies too much on arm to make up for it when he’s late. Left far too many deep passes short in one-on-one situations."
"7","C.j. Beathard",NA,"Beathard’s arm is very good, as he can make the majority of throws. He is a fastball thrower, with little to no finesse in his game of being a true passer. When he is playing in rhythm and knows where to go with the ball, he delivers on time and accurately. Certain throws required to throw up and over defenders he struggles with, as he needs a clear lane to throw through. The biggest questions come with his feel in the pocket and ability to see the field clearly to consistently get through reads, as well as decision-making particularly late in the down. Beathard’s arm and overall game is enough to warrant a late-round selection and a chance to develop as a third-string .","Fluid quick release with a natural whip arm. Arm is powerful with consistent zip at each level of the field. Athletic enough to evade defenders in the pocket and pick up valuable yards with his legs, tough runner. Good understanding of timing routes and anticipates well outside the numbers. When playing within the structure of the offense can be very efficient. Shows the ability to throw guys open in tight man-to-man coverage. Experience taking drops and diagnosing defenses from under center. Has flashed ability to work through pro-type passing progressions.","Questionable touch, flat ball thrower. Throws off balance too often (falls back and left) leading to accuracy issues. Very limited with his feel in the pocket and vision is inconsistent to work through progressions consistently. When forced to reset to second or third read, accuracy dips quite a bit. Doesn’t look comfortable making plays outside the scheme. Good fair amount of “pick and stick” to his game. Questionable decision-making late in the down. Tries to make too much happen and forces a good amount of throws. Questions if he can change speeds on the ball or if everything is a fastball."
"8","Nick Mullens",NA,"Mullens is a very solid and productive college player. His lack of size and arm strength are two major concerns in his transition to the . For what he lacks in size in arm strength, he makes up for with his accuracy, pocket poise, and ability to work through progressions and see the game clearly. Although he comes from a spread wide open offense, Mullens can play the game – and worthy of either a late round selection or with a chance to make a practice squad and develop.","Smooth, efficient release. Natural passer. Consistently throws on balance and shows proper footwork for the given route combination. Good accuracy to each level of the field but excels in quick game and intermediate routes in the middle of the field. Anticipates throws in zone windows very well. Good overall feel for the passing game and the type of throw needed. Shows great touch. Will stand in the pocket and shows good poise when the pocket closes in. Processes well post snap. Shows ability to eliminate a read quickly and move on to the next with poise. Good overall understanding of defensive structures and where to go with the ball.","Small build and stature is worrisome. Ball speed lacks the further down the field you get. Will force throws into tight windows that he can’t make. Not overly athletic and lacks quickness to escape pressure and make plays outside the structure of the offense given his size. Struggled throwing accurately when pressured."
"9","Dane Evans",NA,"Evans is a strong-armed thrower capable of getting hot and making a lot of plays with his arm. At this point he is more of a thrower than a passer and needs to develop different ball speeds to further his game. He lacks consistent touch at the intermediate and deep levels of the field. If a coach feels they can tighten up his mechanics and develop other parts of his game he warrants an deal with a chance to prove he can make a practice squad.","Possesses a very strong, whip arm. Throws with confidence. Good zip and ball placement on outside the numbers, timing throws. Flashes the ability to throw with anticipation. Athletic player with good escapability. Mostly makes plays with his legs when things break down. Can deliver strikes in tight windows in zone coverage. Throws in-breaking routes well. Most effective when staying in rhythm with the quick/intermediate timing based route concepts.","Questionable touch, virtually everything is a fastball. More of a thrower than a passer. Very inconsistent post-snap processing and defensive recognition. A lot of pre-determined reads. Locks on to initial read and struggles to smoothly get to the next receiver in the progression. First instinct is to find a running lane when affected by pressure or the route concept gets covered up Operated in an offense centered around run/pass options and half field, single defender reads."
"10","Dalvin Cook","Back","Cook’s big-play ability makes him a special player. When given a hole, he can take it to the house,and even when his blocking isn’t good, he has the ability to maximize what is there. Cook’s fumbling problems, like his hamstring, flares up too frequently, so there are some concerns. Despite those issues, Cook’s name will still be called early because of his prodigious potential.","Outstanding vision, patience to allow blocks to develop playside but also decisive when presented with backside opportunities Breaks long runs in spite of his blocking. Home run waiting to happen Great fit in an outside zone scheme, best using his instincts to pick lanes and athleticism on the move Elite acceleration ensures consistent big-play potential Sufficient long speed to outrun defenders. Angle-changing speed Able to make defenders miss at full speed, finished tops in elusive rating Aggressive north/south runner, rarely looks to bounce plays outside Not always searching for big play. Rarely takes losses, keeps the offense ahead of the chains Even behind subpar run-blocking in 2016, made the most of it and showed the ability to take what is given","Ball security – fumbled 14 times in 763 touches Failed to dominate as receiver out of backfield, although inhibited by scheme Ran a limited number of routes Didn’t always display the best hands, although improved as a junior Suffered nagging muscular injuries throughout his career at FSU"
"11","Christian Mccaffrey","Back","McCaffrey has shown the last two years that he is capable of being a lead back in addition to a receiverand punt and kick returner. McCaffrey is equally at home at running back or at slot receiver so his future in the NFL will be closely tied to his usage and the specific role his coaching staff has in mind when they draft him. McCaffrey’s combination of agility, acceleration, open-field running ability and versatility will make him an asset to any team.","Elite change-of-direction and open-field running ability leads to missed tackles and big plays. Tremendous acceleration, can get to full speed in a hurry. Leg strength and balance to gain yards after initial contact, 3.30 yards after contact per attempt. Can make cuts with little loss of speed, causing second-level defenders to miss badly. Vision and patience to set up blocks, effective running with or without a lead blocker. Experience running in man/gap scheme at Stanford and cutting ability to run zone scheme. Can be used heavily in the pass game either running routes out of the backfield or the slot. Mismatch in the pass game as he is too fast for linebackers to cover. Versatility could allow an offensive coordinator to be very creative with his personnel groupings & alignments. Has the rare ability to take games over. Dangerous as both a kick and punt returner.","A lot of carries and a lot of hits the last two years (745 combined touches). Could get lost in the mix if he goes to a team that is unwilling to be creative and tap into his versatile skillset. Slowed by injuries a bit in 2016. Needs to improve as a pass protector (surrendered 1 sack, 1 hit, 2 hurries in 2016). 50 drop rate ranked No. 51 among FBS running backs. Some teams may view him skipping the Sun Bowl negatively."
"12","Joe Mixon","Back","Despite his larger frame, Mixon is clearly more elusive than powerful, but still shows the ability to break 30 tackles with strength. He has room to improve his vision and patience as a runner. He was able to overcome it at times with pure athletic ability, but that likely won’t work as often in the . Mixon is 10 dynamic enough to be a game-changer as both a runner and receiver and has the potential to be an every-down running back. Strictly on the field, that would put him in the top-tier in this class and apotential first-round draft pick. However, his off-field incident raises concerns, from afar, whether he should be drafted at all, has reportedly caused some teams to remove him from draft boards completely,","Burst can beat defenders to the edge, although doesn’t have elite, breakaway top speed. Excellent receiving ability out of the backfield, both at the catch point and after the catch. Had to body-catch many targets due to route and throw location, but does show good hands when given the opportunity. Forces missed tackles in multiple ways. Possesses the elusiveness to make defenders miss, and also the strength to break through tackles. Shows quickness and lateral agility to make defenders miss in the hole. Forward lean helps him gain yards after contact, but it can also cause him to get off balance and go down earlier than he should from linebackers and safety just throwing themselves into him without wrapping up.","Shows average vision and patience. Pacing can be off at times and he can be late recognizing a seam that has opened up. Will he be as successful in a non-spread offense when reads aren’t as clear? Pass protection is an unknown due to heavy use as a receiver. Stayed in to block on less than 20 percent of passing plays, and actually engaged with defenders on even fewer plays. Allowed five pressures on 98 snaps where he stayed in to pass block over two years. Off-field incident was about as bad as it can get. Poses PR nightmare and moral decision for teams."
"13","Alvin Kamara","Back","Unlike the other top running backs in the draft class, Kamara doesn’t have nearly as much volume of production due to splitting playing time and a knee injury. When Kamara was given the ball though, he was nothing short of electric. He excels at making defenders miss, both in the open field and in tight spaces. He sets up downfield blocks and sees downfield cutback lanes, and shows the ability to actually make those cuts athletically. He had to deal with a poor offensive line to make the most out of what he had, and was still very productive as a runner. As a receiver, Kamara is excellent after the catch and still stands out in a strong class of receiving running backs. While he isn’t great at pass protection, at the very least he could step in immediately as a receiving back and make a significant contribution, but is also capable of being a No. 1 back right away as long as he can handle the increased workload.","Shifty runner, one of the better runners laterally in the draft class. Slips off tackles with ease. Strings together moves in the open field. Gets skinny through tight gaps very well. Was able to produce behind a bad offensive line that featured below-average run-blocking grades by all nine linemen with at least 30 run-blocking snaps. One of the best running backs after the catch coming out of the backfield in the draft class. Ranked third with 2.4 yards per route run. Forced 90 missed tackles on 284 touches over last two years, a strong rate of one every 3.2 touches. Yards Per Route","Not overly powerful as a runner, won’t move piles often at his current weight. Did not have a big workload. Carried the ball 15-plus times in a game just five times in two years. 14 games with fewer than 10 carries. Can also be viewed as a positive. Not a lot of experience in pass pro with his utilization as a receiver, stayed in on less than 25 percent of passing plays. Allowed seven pressures on 93 snaps in pass protection."
"14","Kareem Hunt","Back","Hunt is a well-rounded player who was highly productive in college. He’s one of the most elusive running backs in the draft class. Hunt’s balance stands out from the pack and is at his best when in the open field. His skill set fits best in a zone-heavy offense, but can run any concepts. Toledo got him more involved in the passing game in his final year and showed significant improvement. He forced the second-most missed tackles (22) in the nation on receptions for running backs. He has limited pass- protection experience, but otherwise could be an every-down back from the start if needed.","Outstanding balance through contact, able to stay up through hits that bring down most RBs. Finds extra yards by spinning off hits. Quick in and out of cuts, allows him to gets through tight creases at the first level before they close. Strings together moves as well as anyone in the draft class. Vision works great in zone schemes, but he’s not limited by run concept. Flourished in an increased role as a receiving back in 2016. Great ball security, had just one fumble on a reception on 722 total touches over past three years. Capable of being an every-down back.","Burst and top-end speed can be lacking on occasion. May not create yards on his own at the first level if behind a bad offensive line as well as others. Doesn’t have that much experience in pass pro due to being utilized as a receiver so often."
"15","Curtis Samuel","Back","Samuel has a very similar skillset as former Florida Gator Percy Harvin, who also played for Urban Meyer. Samuel possesses excellent speed and agility, along with the ability to produce as both a running back and a split receiver. Samuel is a stronger runner who isn’t limited to being just a speed 40 back. He’s capable of reading blocks as a running back and seems a bit more natural as a runner from the backfield than Harvin. While Samuel is a bit of a hybrid, he does not need touches schemed or manufactured for him. He can line up as a running back and be effective when just handing him the ball. 10 He’s capable of getting open on downfield routes — although could still benefit from some polishing — and taking advantage of mismatches without forcing him screens and trick plays. That said, his flexibilitycan allow offensive coordinators to create mismatches easier and his ceiling may be tied to how well his coaches can do that.","Excellent speed, can outrun majority of defenders. Moves very well laterally and can cut quick to cause defenders to over pursue. Shows the ability to read blocks across run concepts. Works best on the edge and in space, but can be effective running inside. Not the sharpest or most polished route runner, but a very good receiver that still has potential to improve in the area. Is a threat when lined up in the backfield and when split as a receiver. High points and attacks passes like a receiver. Not just a speed receiver, produced as a receiver running various routes. Positional flexibility provides a personnel advantage for offenses.","Sometimes tries to do too much in the open field instead of just utilizing his speed to outrun defenders. Only 107 carries, 65 receptions in his career against Power-5 opponents. Drops aren’t an issue, but probably body catches more than necessary. Will the lack of a true primary position cause issues for offensive coordinators on how to best use him?"
"16","D’onta Foreman","Back","Foreman is a bigger running back, but he runs with the finesse of a smaller back. Despite his size, he has very good lateral agility and can make defenders miss. He has good vision to find cutback lanes even if he’s not always patient. Foreman could improve on delivering contact to defenders instead of absorbing it so often, as well as moving piles better. He was an effective pass blocker in college but transitioning to pass protection will be an adjustment. Between that and rarely being utilized as a receiver, he may just be an early-down player early in his career. If he can be a little more physical and aggressive with the ball in his hands, he could be a highly productive runner right away.","Given his size, moves very well laterally and able to change direction quickly in both the open field and in the backfield to hit cutback reads. Speed and burst is sufficient to break off big runs, even if he can’t outrun everyone. Uses subtle cuts in open spaces to make defenders miss, especially ones trying to hit him low. More of a finesse runner in a bigger frame. Has proven capable of handling a heavy workload. Possesses the size and strength to be capable of powering through defenders.","Ball security. Even though he had the third-most carries among the draft class, his seven fumbles still gave him one of the highest fumble rates. While he didn’t give up a sack and very few pressures in pass pro, he’s fairly untested in a Texas offensive system that limited how often he actually had to engage with defenders. Pass pro and limited use as a receiver (caught 13 passes in three years) could limit his role in an NFL offense."
"17","Samaje Perine","Back","At a listed 235 pounds, Perine is a big, powerful running back who runs behind his pads. His balance through contact stands out and allows him to slip through tackles. He is active with his free arm to keep 60 and create separation between himself and defenders. He’s more of a downhill runner but possesses change-of-direction skills to make the necessary cuts at the line of scrimmage and second level. Perine has good but not great speed. He will need to prove he can make defenders miss in the open field instead of just running through them. He was highly productive as a freshman in 2014, and saw a decrease in both workload and production each of the next two years. Some of that was due to splitting 10 time with Joe Mixon, who was suspended in 2014, and an injury that caused him to miss a few games in 2016. However, he also averaged fewer yards per carry, yards after contact per carry, and his forced missed tackles less frequently. Perine is capable of handling a full workload, but he is probably bestsuited in a role as a power back paired with a more dynamic player to handle part of the workload and passing situations.","Powerful runner who can force defenders to slip off tackle attempts. Shows very good balance through contact and keeps feet churning. Uses his weapons well. Strong enough to keep and create more separation with stiff arms. Change-of-direction skills sufficient to make cuts based on at first and second levels. Can shoulder a full workload if needed. Physical, attacks defenders in pass protection, though will need to work on blocking technique.","Workload and productivity decreased over the last three seasons, partially due to Joe Mixon’s return. Can he make NFL defenders miss in the open field, instead of just running through them? Vision is sometimes an issue if there aren’t clean reads. May lack burst and speed to get the edge regularly in the NFL. Good hands but average receiving threat. Wasn’t utilized as a receiver very much despite playing for a team that passed fairly often."
"18","Jamaal Williams","Back","Williams doesn’t stand out athletically. Most of his running drills at the combine were average at best. However, Williams is a good example of a running back whose strengths don’t show up in timed tests and drills against air. He shows great balance to stay upright and continue gaining yards while getting hit, and the leg drive to go along with it. His change of direction skills won’t “wow” anyone, but they are more than sufficient to make a way though the first and second levels in a zone-blocking scheme. He succeeded in a zone-heavy offense, but could be effective in most blocking schemes. rarely utilized him as a receiver so he doesn’t have a lot of experience and it is uncertain if he can make any impact as a receiver in the . Williams likely isn’t dynamic enough to be a lead back, but he could make an impact as a power back to pair with a speed or receiving back in a running back rotation.","Great at keeping his balance through contact. Powerful runner who gains a good amount of yardage finishing runs through final contact. Capable of dragging defenders along with him. Utilizes stiff arm and spin moves to extend runs. Has good ball security, just two fumbles on 369 touches over two seasons.","Burst is a bit lacking and long speed won’t consistently turn big runs into long touchdowns. May have a harder time getting the edge on wide runs in the NFL. Little experience as a receiver out of the backfield in the passing game. Will need some work on pass protection, but at least does attack and is physical with pass rushers."
"19","Jeremy Mcnichols","Back","McNichols is coming off his best year as a runner, and did so behind blockers that were not nearly as 30 effective as in 2015. His vision can be a bit sporadic at times but he should be an above-average runner 20 at the next level. He’s physically capable of handling a large workload, but he might be most effective 10 splitting carries to be able to get him more involved in the passing game, where he may make the most 0 impact in the .","Keeps balance through contact. Can play bigger than his size, keeps feet moving to continue gaining yards after contact. Has significant experience in both zone and gap schemes, was effective in both but may fit better in the latter. Hits the backside cut quickly in the zone game. Workhorse who can handle a full load. Had 30-plus touches seven times in 25 games, including some games in the 40s. Can be a contributor in the passing game, utilized as a receiver often in college. Shows good hands, dropped just two of 107 catchable targets in three years.","Can be quick to cut back on zone or away from intended point of attack on gap schemes at times. Jack of all trades, but possibly a master of none? Will need to improve in pass protection to maximize his playing time in passing situations."
"20","Marlon Mack","Back","Mack’s greatest asset is his athletic ability. His speed, acceleration, and quick change of direction always make him a threat to break off a big run. However, it is also a double-edged sword for Mack. He’s too quick to bounce runs outside and runs east-west too often. While those do lead to some of his biggest runs, there are more times where he gains nothing extra and may have actually gained more yards by just taking on a single defender in the hole or at the second level. He needs to create a 10 better feel for when to bounce and when to stick inside. His athleticism made it work in college more than expected, but that works far less often in the against better athletes and more disciplined defenders, particularly when completely reversing field. Mack won’t be a lead back unless he learns tobe more willing to keep and finish runs inside. He also needs to show better ball security or teams may be less keen to give him the ball.","One of the best pure athletes in the running back draft class. Outstanding acceleration and change of direction, fast enough to rattle off big runs. Strings moves together exceptionally well. Utilizes stiff arm to keep distance from defenders and extend runs Experience with inside zone-, power-, and counter-blocking schemes out of a shotgun, spread offense. Showed improvement as a receiver over his college career. In 2016, he was utilized mainly on screens when lined up out wide, giving him space to make the first defender miss. Capable of creating his own yardage at every level.","Can be indecisive and dance in the backfield, tries to do too much. Far more willing to bounce runs outside than take on defenders on inside runs. Rather than cut his losses or just get what he can, he too often completely reverses field. Can lead to the occasional big play, but also causes him to lose even more yards. Sometimes will also bounce even when he’s not forced, which caused blockers to lose leverage and get called for holding as defenders changed direction. Fumbled 12 times in three years, one of the higher fumble rates in the draft class. Ball security gets more lax the further downfield he gets and/or after he changes from one arm to another Limited experience in pass pro in recent seasons."
"21","James Conner","Back","Conner has dealt with more adversity over the past year and a half than most college football players. 90 After having one of the most productive running back performances in the nation in 2014, his follow-up 80 season was derailed by a torn in the season opener, and a Hodgkin’s lymphoma diagnosis later in the season before he could return to the field. He was fortunate to be declared cancer-free in 2016 and 60 was able to reclaim his starting job last season. Understandably, he didn’t quite look like the same running back as before. However, he improved as the 20 season progressed, and his burst, change of direction, and strength through contact were all noticeably 10 better by the end of the year. He still is very difficult to bring down and will consistently gain yardage 0 through final contact. His balance on contact is impressive and allows him to shed tacklers with ease. Even if he never gets back to his 2014 form, he can make an impact as a short-yardage back in the .However, Conner could be one of the steals of the draft and earn a significant workload at the next level if another year removed from the health issues and having a full offseason of workouts help him fully get back to his prior level of play.","Scheme-diverse. Has experience and success in zone, gap, power schemes. Good vision, has a knack for finding his way through traffic and finding cutback lanes at the second level. Shows great balance through contact, tough to bring down and will drag defenders to gain extra yardage. Has an element of finesse to his game even with his big frame, can be much more than just a typical big, power back. Utilized in the passing game more in 2016. Not going to be a big receiving threat, but has showed he’s at least capable and has good hands.","While it’s not his game, lack of speed is somewhat of a concern. Will he leave some yards on the field when he is able to break off bigger runs? Should be better in pass protection than he is given his size. His impressive 2014 season came behind a Pittsburgh offensive line that was the best run-blocking line in the nation. Will he get back to his 2014 form?"
"22","Wayne Gallman","Back","Gallman was Clemson’s lead back for the better part of the last three years. He has a lot of experience 50 in a spread offense, and running zone-read option. The spread fits his skillset well and he may not be as 40 effective as a runner in tighter spaces with more defenders in the box. His jump cut and ability to plant 30 and get vertical are his greatest assets as a runner. His moves are limited beyond that, but he does 10 those exceptionally well. At times, he made a mockery of defensive backs, shedding their arm tackles 0 often and with ease. Gallman doesn’t consistently gain as much after contact against linebackers, andwere times where he would get stonewalled on first contact due to high pad level. He won’t “wow” anyone with this speed or burst, but it’s sufficient to be an effective runner in the NFL. As for the passing game, he can be effective on screens and check-downs, but not a special enough receiver to utilize him heavily on designed pass plays. Pass protection is a concern, and blocking for a less-mobile quarterback than Deshaun Watson could translate in more hurries becoming hits or sacks.","Excellent jump cut to quickly switch gaps behind the line of scrimmage when forced away from the intended point of attack. Breaks a lot of tackle attempts from safeties and cornerbacks. Good change of direction with cuts in the open field to string together moves and break defenders’ leverage. Burst is good enough to take advantage of imperfect pursuit angles by defensive backs, and can elongate runs even if he won’t outrun everyone often","Pad level can be too high, causing him to get stood up by head-on contact from linebackers. Can struggle to find and get through tight holes on interior runs. Did not earn as many yards after contact as other running backs of similar size and build. Allowed a noteworthy amount of pressure in pass protection each year."
"23","Donnel Pumphrey","Back","Pumphrey is the ultimate production player who became ’s all-time leading rusher in his senior Donnel Pumphrey Draft Class Avg season. He did so in a San Diego State offense that is heavily a pro-style, under-center offense whilebeing far on the small end of the spectrum of running back size. He’s never going to be a player that moves piles and there will be times where he gets very little yardage after contact. However, the yards that he won’t gain through contact due to his size will be more than offset by his ability to get through holes that others simply cannot. He has proven to be an effective inside runner because of his ability to find and get through those tight creases, or sometimes through the first level when holes are seemingly ATTEMPTS YARDS YDS/CARRY YCO YCO/ATT LG MT TD FUMBLES non-existent. Coupled with a quick burst that allows him to beat defenders to spots, he’s more than THREE YEAR STATS 934 5664 6.1 2843 3.0 93 208 54 8 capable of being an inside runner. He does even better when in space and can be utilized as a receiver exact role, he is capable of being an impactful player at the next level.","Elite quickness on cuts and change of direction. Excellent vision at both the first level to find a crease, and to find cut back lanes in the second level and beyond. Small size and quick burst allow him to get through tight holes, and even creases that barely exist. Decisiveness and quickness to and through the line of scrimmage can beat defenders to spots, even on times when defensive linemen win into the point of attack. Possesses very good balance, and can spin off contact to stay upright. An effective receiver in space, who can also be moved into the slot to create personnel mismatches. From 2014 to 2016, he had 19-plus touches in 38 of his 41 games and averaged 24.8 touches per game. Had over 1,150 career touches, showing that durability should not be a concern.","Played against a slightly lesser level of competition in the Mountain West Conference. Had only a handful of games against Power-5 teams in his career, and faced some questionable defenses there, too. While he’s shown to be capable of overcoming bad blocks and murky reads, he did run behind a pretty good offensive line that helped him get into open space a little more often than some other players. Not strong or big enough to take on pass rushers up high. Does a good job with cut blocks but may not be as effective with those against better athletes in the NFL. Will the large college workload catch up to him at some point, or shorten his pro career?"
