"","full_name","position","overview","pros","cons"
"102","Nico Siragusa","Guard","Siragusa was one of ’s most productive guards in 2016. At his best in a gap scheme Siragusa is powerful at the point of attack and can drive defenders off of the line of scrimmage to disrupt linebackers at the second level just as well as he can drive them out of the play as the pull blocker on power. The biggest question mark in assessing Siragusa is the depth of competition he faced and whether he can prove that his performance against Houston, and in particular freshman sensation Ed Oliver, was a one-off and that he can in fact raise his game against superior opposition to replicate his physical performances against the Mountain West.","Siragusa can dominate defenders, particularly in gap scheme runs on the playside of power; earned a positive grade on 22 percent of plays on the playside of power, working very well on double-team blocks taking defensive linemen off the line of scrimmage. Had a third-highest pass-blocking efficiency among FBS guards; excelled in particular against bullrushes from defensive tackles. Consistently found his targets and neutralized them at the second level and on pull blocks, especially kicking out defenders when pulling on power; Siragusa earned a positive grade on 23 percent of his blocks % pull blocks on power. One of the most efficient run-blockers in college football in 2016, Siragusa was downgraded on only Positive run block % 7 percent of his run blocks last season.","Struggled at times with cutoff blocks on the backside of outside zone. The level of competition he faced leaves questions for how he will cope with the step up to the NFL level. His worst grade of the season by far (51.6 overall) came in the bowl game against Houston. Siragusa lost his opportunity to allay some of these fears at the Senior Bowl after suffering an injury on the first day of practice."
"103","Dorian Johnson","Guard","Johnson’s college career saw him provide consistent quality displays for Pitt on inside-zone schemes 60 and pulling in their power-blocking scheme in 2014 and 2015. Johnson wasn’t asked to execute difficult 50 blocks but he performed at a consistently high level within the scheme he was tasked with executing. 40 His power and ability to move defenders is clear to see on tape but he will need to prove he can execute more difficult blocks and perform in more diverse schemes in the , particularly if he is to be 20 a contributor early in his career.","Johnson is very strong blocker at the line of scrimmage which he showed in particular creating movement on the backside of inside zone in 2016 and on the playside of power and other gap scheme runs prior to Matt Canada’s arrival as offensive coordinator. Has the ability to play on the move not just working through to locate linebackers at the second level but also on pull blocks in power in counter schemes. Takes good angles to blocks on the move, both at the second level and on pulls, rarely needs to adjust his angles or accelerate to make up for starting off on the wrong path. blocks % His strong base is clear to see both as a run blocker but especially in pass protection where he is rarely troubled by bullrushes, shutting any movement down before the pocket gets compressed.","Creates space on the backside of plays principally by driving defenders down the line of scrimmage, cutoffs were few and far between. Has a tendency to open his chest and allow defenders to control his body; this will be a much bigger issue against NFL defensive linemen. Throughout his career at Pitt played in gap- (2014-2015) and inside zone-heavy (2016) schemes. Across seasons he featured in different schemes but questions of he would fare in a more diverse run scheme. Pitt’s propensity for trick plays, run-pass options and extensive use of play action afforded some 100 protection in his pass protection assignments as well."
"104","Fred Zerblis","Guard","Zerblis graded exceptionally well in 2016 and earned a place on our All-American second-team for his fine season as both a run-blocker and pass protector. Zerblis’ best fit may be in a gap-blocking scheme to make best use of his consistent play to linebackers in space on pulls but he showed an ability to contribute in any scheme and his work in run and pass games mark him out as a player with a chance to forge a career in the .","Zerblis displays good upper-body strength and uses that to sustain and finish blocks in both run and pass games. Displays a good understanding of, and a lot of faith in, the angles he needs to take to defenders in space on pulls and at the second level. Uses these angles to efficiently close space on defenders without risking over-running blocks and allowing defenders to run under his blocks to the ball carrier. Absorbs contact well in pass protection locking down defenders before they can generate any blocks % movement to compress the pocket. Zerblis is very good at picking up stunts and slants; part of a Colorado State O-Line that allowed pressure on just 26 percent of pass plays where the defense stunted, 14th in the nation. Zerblis plays with good depth and awareness to pick up loopers while meeting slants with the necessary physicality to deny the penetration needed to setup the stunt. Showed good versatility in both zone and gap schemes at the college level, not just limited to being effective in one or the other.","Strength of competition in the Mountain West raises questions of his performance against top level competition; though isolated games against Colorado and Minnesota show his ability to step up. Doesn’t possess the top-end athletic ability of others at the position, though his efficiency and consistency overcomes this on a consistent basis. Doesn’t go and get players in space at the second level and on pulls, putting a lot of faith in the correct angles taken to blocks but on disrupted runs this can leave him unable to close down his defender."
"105","Damien Mama","Guard","If Mama can play the game in a small area and lock onto a target he can not only lock up his defender but also generate movement and create space at the point of attack. However, his limited athleticism means that if he has to close much ground to his assignment or make a block on the move he struggles to be as effective. A strong 2016 season in pass protection shows his ability to play with power and shut down certain types of rushers but a lack of exposure to more speedy and agile rushers may lead to more flaws being exposed at the next level.","At his best on down blocks pinning and moving defensive linemen on pin-pull plays and on the play- side of gap scheme runs. When he can lock onto a defender at any level his size and power becomes evident taking the defender out of his gap or off his track on zone and gap blocks. Consistent 2016 season in pass protection; rarely faced any speed or explosive rushers and so could set to control most pass rushers he faced with physicality.","blocks % Inconsistent in his two seasons as a starter with a better season as a run-blocker in 2015 than in 2016 and vice-versa in pass protection; which is the player you’re going to get? Lack of testing athleticism is clear to see on tape. Struggles to work laterally on outside zone plays in particular to cutoff defenders on the back-side of plays. Struggles with change of direction leads to difficulties in picking up slants and stunts in both run and pass games."
"106","Isaac Asiata","Guard","Asiata is a powerful run-blocker and capable pass protector who thrives on situations where a defender stands to fight with him and turn it into a matchup where Asiata can overpower his defender. His excellent work as a pull-blocker makes him an ideal fit for a team that runs a lot of power and counter 10 concepts, adept at both sealing and kicking out defenders on the move. Where Asiata must improve is winning the initial contact to control a defender. When a defender stands to fight Asiata he comes intohis own but when a defender tries to play around Asiata or he has to close ground to the defender he is inconsistent at controlling the initial contest to bring his power into play on a more consistent basis.","Powerful blocker when fully engaged with a defender, once he’s locked on he can really create good movement at the point of attack. At his best pulling from the backside on power and counter runs to the right; Asiata earned a positive grade on more than 30 percent of his pull blocks compared to 18 percent of his total run blocks. Comfortable in pass protection though he was rarely faced with a speed rusher this season to test his ability against more athletic and skillful rushers. Never idle in pass protection, when he doesn’t have a defender to block himself he is looking for blocks % another block to clean up and take that rusher out of the play.","More than half of the 15 pressures (4 sacks, 2 hits, 9 hurries) he allowed came on either stunts, pulls or delayed rushes just a little late into position for his assignment at times. Prone to ducking his head which led to most of the rest of his pressures allowed but also showed up in the run game over extending into some blocks allowing defenders to work back against his block. Had some struggles at the second level, failing to close ground to the defender and lunging at the block which allowed smaller defenders he could physically dominate to side step him easily. When he’s on the backside of zone plays, Asiata struggled to get into position to cut his defender off and seal the backside of the play. Zone blocking in general is an area for improvement in general for Asiata 100 earning positive grades on 17 percent of zone plays compared to 24 percent of gap scheme plays. Lacked consistency throughout the season, while games against Cal (83.7 overall) and UCLA (91.0 run block) were excellent performances against Southern Utah (53.5 overall), San Jose State (45.9 overall) 70 64.8 and Indiana (54.2 overall) raise question marks over his ability to perform week in and week out."
"107","Jake Eldrenkamp","Guard","When Eldrenkamp puts it all together both on runs to him in gap scheme and when pulling to the playside he can dominate opposing defenders. Consistency though is Eldrenkamp’s biggest question mark, just as well as he can take down a defender on a pull block he can miss the defender from the same spot and disrupt the play as a result. His progress in pass protection in 2016 was encouraging but 30 poor performances against his toughest opposition may raise questions as to whether he can excel at","Eldrenkamp pulled on power more than 50 times this season and sprung some big runs for 7.4 yards per carry on power right with Eldrenkamp pulling. His highlight block of the year came on a pull block against Arizona pancaking Paul Magloire Jr. to spring a 44-yard gain. Rarely loses at the point of attack; downgraded on just nine percent of his blocks on runs to the left blocks % Eldrenkamp improved his pass protection in his second season at guard allowing zero pressures in six games compared to four games in 2015.","Eldrenkamp is prone to lowlight blocks as much as highlight blocks on pulls; positively graded on 25 percent of pull blocks he was also negatively graded on 21 percent of his pull blocks. Struggled at times on stunts but this was not unique on a Washington offensive line that had difficulty with stunts for much of the season. Eldrenkamp had limited exposure to outside zone plays in Washington’s offense this season raising some questions of his ability to play outside of gap and inside zone heavy schemes. His two lowest-graded games came against Washington’s two toughest opponents in their two defeats (45.3 vs USC and 48.8 vs Alabama); can he perform against the best opposition?"
"108","Josh Boutte","Guard","Boutte produced a solid 2016 season highlighted by a strong game (90.9 overall) against Missouri where he helped pave the way for 100-yard rushing games for two running backs. This game was the exception however and for the most part Boutte’s play is highlighted as a player whose consistent positioning on blocks ensures that he doesn’t surrender the penetration in run or pass games that can blow plays up but who does little to add value to the running game and move defenders against their will to create extra space on the ground.","Boutte’s positioning before he engages on a block is his best work and crucial to his success. This consistent attention to detail in his positioning ensured he was very rarely culpable for play breaking penetration as either a run-blocker or a pass protector. This played out particularly well in pass protection where pass-rushers had to go through Boutte or side step him to get to the quarterback; Boutte almost never gave a pass-rusher a short path to the quarterback. Took good angles to blocks in LSU’s zone scheme again ensuring that defenders had to go through blocks % consistent platform to his running backs. Did his best work on pulls against defensive backs playing contain on pin-pull plays. Cleared defensive backs wide consistently to maintain and widen outside running lanes.","Boutte played very upright at LSU, which put a premium on his positioning before engagement on blocks as he consistently ceded the high ground to defenders after engagement. This limited his ability to bring power into blocks to create movement after blocks engaged as well. LSU’s offensive scheme was very zone-heavy, limited exposure to gap scheme (almost 4:1 zone to gap scheme ratio). There were some impressive double team blocks on play-side of power and counter but few and far between."
"109","Jonathan Mclaughlin","Tackle","McLaughlin may fit better at guard than tackle at the next level. While he played a lot of games at Virginia Tech and shows good power on some double team blocks there are some question marks in McLaughlin’s game. Most notably he loses blocks when he gets overextended with his upper body. McLaughlin was not a liability at tackle but he does not “wow” on tape and struggled from time to time 80 in his run blocking. McLaughlin’s best fit may be moving to guard and developing his game. McLaughlin 70 looks like a development prospect at the next level. Positive run block % Pass Block Run Block","Does a nice job on double-team blocks. Drops his hips well against the bull rush. Gave up a bull rush pressure every 257.5 dropbacks, ninth- best in the class. Has versatility to potentially play guard. Experienced player who had consistent performances. Ranked 14th among draft class tackles in run-block percentage (93.8 percent). Didn’t “lose” many blocks despite his low percentage of positively graded blocks in the run game.","Can get overextended at the second level, missing the block on linebackers from time to time. Moves just OK in space. OL-friendly scheme at Virginia Tech. What is his ceiling in different offense? Struggled in pass protection in “must-pass” situations. Low percentage of positively graded blocks. Ranked 75th in the draft class. Average grades and had some below-average run-blocking performances."
"110","Jermaine Eluemunor","Tackle","Eluemunor played tackle at Texas A&M and is probably a better fit at guard. He has some nice physical tools and did improve as the season went on. Eluemunor graded below-average and struggled from time to time losing blocks in the pass and run game. His best fit is probably a guard in a power run scheme however he will have to gain a physicality he has not shown at Texas A&M. Eluemunor is unrefined in his pass- and run-blocking techniques and will be a developmental project for a team.","Strong compact body, physically competed against big-time talent. Good at generating movement in double team blocks. Improved throughout the season and played his best football down the stretch in 2016. Has room for improvement within a pro offense coming from the spread at Texas A&M.","blocks % Not great at changing directions on the move. Unrefined in pass and run blocking techniques. 72.3 overall grade ranked 102nd in the nation. Limited scheme fit and possibly position. Overcommits at the second level in the run game. Struggled overall in his first year as starter. Ranked 48th out of 95 in percentage of positively graded run blocks in the draft class. Stands upright upon contact."
"111","Eduardo Middleton","Guard","Middleton’s strong production grades stem largely from a favorable system at Washington State. His frame, movement skills, and athleticism are below-average among guards, and finding a spot at the next 100 level will be a battle.","Solid mirror in pass protection. Possesses lateral agility required for guard. Adequate size for the position. As many reps in pass protection as any tackle in the class. 2,432 over last three seasons. Did not allow a pressure on 3-step (quick game) drops in 2016.","blocks % Engages with head and on toes in pass protection. Impatient. Gets caught flat-footed far too often and gets stuck. Pass protection technique will have to be rebuilt from the ground up and taught the kick slide. Aided by favorable quick passing scheme and coaching to match. Never asked to execute many difficult blocks in the run game. Serious issues finding linebackers in space. Ranked 71st among draft-class guards with a run-block success percentage of 86.0 percent."
"112","Combine Results","Center","Pocic does a lot of things well and his ability to make difficult reach blocks make him a fit in any scheme. 70 He’s sound in pass protection and even dabbled at offensive tackle to add some versatility, though he’ll 60 Positive run block % get a shot to stick at center where he looks like one of the best the draft has to offer. Pass Block Run Block","Uses size and strength to control blocks. Fires low off the ball, especially for a 6-foot-7 center. Puts him in good position for reach blocks and makes him a good fit for a zone-blocking scheme. Good balance getting to the second level and has the ability to lock onto blocks. Made some nice plays on pull blocks and screens, good angles on plays. Good awareness and understanding of center position. Showed ability to block man on man in pass protection from center position. Rarely beaten cleanly right off the snap. Held his own during his limited time playing tackle, adding some position versatility to the mix.","Quickness and athletic ability an issue; not great at changing directions. Allows defenders to get into his chest from time to time, can get thrown off of block. While he’s quick to get into position on his reach blocks, does have some issues sustaining and that led to a few holding penalties."
