player_name,position,college,consensus,text_source,sc_prediction,p_cornerstone,p_53_man,p_roster_bubble,p_out_of_league,sc_top_words,sc_words_against,sc_feat_consensus,sc_feat_round,sc_feat_position,sc_feat_beast_rank,sc_feat_text_length,sc_top_measurable,sc_top_measurable_contrib,draft_prediction,p_slide,p_consensus,p_reach,draft_top_words,draft_words_against,draft_feat_consensus,draft_top_measurable,draft_top_measurable_contrib,pred_apy_pct,pred_apy_pct_lo,pred_apy_pct_hi,p_real_contract,expected_apy_pct,apy_top_words,apy_words_against,apy_feat_consensus,apy_feat_round,apy_feat_beast_rank,apy_top_measurable,apy_top_measurable_contrib
Lander Barton,LB,Utah,214,beast,roster_bubble,0.8,19.7,57.5,22.1,second(+0.0031) | the second(+0.0031) | utah(+0.0029) | games(+0.0025) | test(+0.0025),the nfl(-0.0036) | him to(-0.0034) | backs(-0.0034),0.004,0.5152,-0.2168,0.0844,-0.1181,vert_jump,0.9687,slide,91.0,2.8,6.1,leading(+0.0071) | area(+0.0070) | next(+0.0069) | struggles to(+0.0069) | struggles(+0.0066),backfield(-0.0084) | him to(-0.0083) | the backfield(-0.0076),-0.0378,broad_jump,1.9377,0.73,0.629,0.832,20.5,0.15,tight(+0.0003) | the size(+0.0002) | six(+0.0002) | north carolina(+0.0002) | north(+0.0001),leading(-0.0003) | versus(-0.0002) | awareness(-0.0002),-0.0019,-0.1339,-0.0168,wingspan,0.0205
Aamil Wagner,OT,Notre Dame,215,beast,out_of_league,1.5,14.2,41.3,42.9,stay(+0.0062) | center(+0.0050) | as junior(+0.0046) | knee(+0.0043) | past two(+0.0038),arms(-0.0059) | right tackle(-0.0046) | which(-0.0041),0.0179,1.6556,0.333,0.0067,-0.1092,40yd,0.7018,consensus,19.4,45.6,35.0,dame(+0.0074) | notre(+0.0074) | notre dame(+0.0074) | half(+0.0069) | at notre(+0.0063),below(-0.0084) | below average(-0.0083) | mike(-0.0069),-0.0841,40yd,0.2345,0.806,0.705,0.907,15.7,0.127,center(+0.0002) | six(+0.0002) | right tackle(+0.0002) | past two(+0.0002) | past(+0.0002),below average(-0.0002) | drive(-0.0002) | below(-0.0002),-0.002,-0.1339,-0.0043,hand,-0.0207
Robert Spears-Jennings,S,Oklahoma,216,beast,53_man,2.0,46.0,27.7,24.4,burst(+0.0045) | leverage(+0.0035) | back(+0.0030) | times(+0.0029) | snaps(+0.0028),he has(-0.0050) | free(-0.0041) | punt(-0.0041),0.0146,-0.528,0.0791,-0.0244,-0.025,broad_jump,0.5811,slide,70.7,11.4,17.9,struggles(+0.0151) | struggles to(+0.0093) | at oklahoma(+0.0077) | below average(+0.0074) | below(+0.0074),special teams(-0.0123) | special(-0.0100) | standout(-0.0097),-0.0446,broad_jump,1.7009,0.744,0.642,0.845,48.0,0.357,six(+0.0002) | times(+0.0002) | punt(+0.0002) | to be(+0.0002) | free(+0.0001),ball carrier(-0.0003) | carrier(-0.0002) | ball(-0.0002),-0.0022,-0.1339,0.0083,hand,-0.0867
John Michael Gyllenborg,TE,Wyoming,217,beast,roster_bubble,6.7,7.9,70.2,15.2,receiving(+0.0085) | potential(+0.0068) | fits(+0.0050) | tight end(+0.0046) | fits best(+0.0041),best as(-0.0089) | running(-0.0078) | position with(-0.0060),0.0051,0.5152,0.1604,0.0,0.6762,height,-0.0,slide,46.9,20.5,32.6,receiving(+0.0165) | be limited(+0.0119) | slot(+0.0105) | the slot(+0.0103) | ability and(+0.0097),his blocking(-0.0247) | backfield(-0.0228) | best(-0.0216),-0.048,height,0.0,0.79,0.689,0.891,14.6,0.116,slot(+0.0006) | the slot(+0.0005) | tight(+0.0005) | high(+0.0003) | tight end(+0.0003),end who(-0.0003) | route(-0.0003) | be limited(-0.0003),-0.0024,-0.1339,-0.0,height,-0.0
CJ Daniels,WR,Miami (FL),218,beast,roster_bubble,0.3,22.1,68.2,9.4,percent(+0.0087) | percent of(+0.0050) | games(+0.0033) | productive(+0.0031) | focus(+0.0030),required(-0.0045) | lack(-0.0034) | special(-0.0033),0.0055,0.5152,0.4177,0.2946,0.0407,vert_jump,0.8851,consensus,32.2,48.3,19.5,best(+0.0078) | dame(+0.0070) | notre(+0.0070) | notre dame(+0.0070) | player(+0.0067),which required(-0.0068) | 2024(-0.0063) | skills(-0.0058),-0.105,3cone,0.1238,0.67,0.569,0.772,22.4,0.15,percent(+0.0002) | slot(+0.0002) | season(+0.0002) | miami(+0.0002) | past(+0.0002),after(-0.0002) | ball(-0.0002) | catch(-0.0002),-0.0026,-0.1339,-0.0588,wingspan,0.0145
Louis Moore,S,Indiana,219,beast,53_man,0.7,50.9,25.1,23.3,feel(+0.0054) | could(+0.0036) | wide(+0.0036) | feel for(+0.0035) | instincts(+0.0033),assignment(-0.0047) | defender(-0.0042) | where(-0.0042),0.018,-0.528,0.0791,0.0063,0.0478,broad_jump,0.5883,slide,78.5,3.7,17.8,take(+0.0091) | attempting(+0.0066) | receiver(+0.0062) | attempting to(+0.0062) | moore(+0.0062),where(-0.0128) | where he(-0.0115) | nickel(-0.0102),-0.0548,broad_jump,1.7219,0.681,0.579,0.782,51.6,0.351,six(+0.0002) | take(+0.0002) | slot(+0.0001) | season(+0.0001) | tight ends(+0.0001),moore(-0.0005) | routes(-0.0003) | middle(-0.0002),-0.0027,-0.1339,-0.0022,hand,-0.0473
Tanner Koziol,TE,Houston,220,beast,roster_bubble,3.7,20.4,66.0,9.8,percent of(+0.0040) | at the(+0.0034) | struggles(+0.0033) | percent(+0.0033) | catch(+0.0030),need(-0.0040) | the nfl(-0.0029) | doesn(-0.0028),0.0062,0.5152,0.1604,0.0213,-0.0877,vert_jump,0.8599,consensus,27.7,54.3,18.0,houston(+0.0136) | weight(+0.0087) | teams(+0.0064) | tight end(+0.0063) | outstanding(+0.0060),struggles to(-0.0067) | space and(-0.0066) | struggles(-0.0062),-0.1189,3cone,0.6183,0.788,0.687,0.89,24.1,0.19,the past(+0.0003) | slot(+0.0003) | tight(+0.0002) | defenders(+0.0002) | made(+0.0002),routes(-0.0003) | air(-0.0002) | the catch(-0.0002),-0.0029,-0.1339,-0.0043,3cone,-0.0254
Wesley Williams,DL,Duke,221,beast,53_man,1.8,37.8,29.4,31.0,feel(+0.0069) | leads(+0.0049) | feel for(+0.0045) | the edge(+0.0045) | tackle(+0.0044),defender(-0.0044) | gap(-0.0042) | past(-0.0040),0.0202,-0.528,0.2554,0.0186,-0.0254,3cone,0.779,consensus,1.7,82.3,16.0,special teams(+0.0110) | on special(+0.0097) | williams(+0.0090) | special(+0.0088) | leads(+0.0082),gap(-0.0081) | late to(-0.0058) | late(-0.0056),-0.1259,3cone,1.4327,0.719,0.617,0.82,39.6,0.285,passer(+0.0003) | four(+0.0002) | made(+0.0002) | five(+0.0002) | just(+0.0002),tape(-0.0003) | production(-0.0002) | the middle(-0.0002),-0.0031,-0.1339,-0.0064,3cone,-0.0588
Vincent Anthony,EDGE,Duke,222,beast,roster_bubble,0.9,10.9,53.3,35.0,school history(+0.0043) | in school(+0.0043) | career(+0.0042) | backside(+0.0037) | history(+0.0036),in run(-0.0058) | long(-0.0034) | run game(-0.0033),0.007,0.5152,-0.1762,0.1895,0.0327,vert_jump,0.6973,consensus,6.9,67.4,25.7,best(+0.0077) | upper half(+0.0065) | get off(+0.0052) | was(+0.0052) | career(+0.0049),has some(-0.0052) | some(-0.0049) | below(-0.0047),-0.1329,3cone,1.1663,0.735,0.633,0.836,11.7,0.086,four(+0.0002) | sacks(+0.0002) | have(+0.0002) | limits(+0.0002) | four year(+0.0002),how(-0.0003) | how to(-0.0002) | slender frame(-0.0001),-0.0032,-0.1339,-0.0378,3cone,-0.0479
Eric Gentry,LB,USC,223,beast,53_man,0.8,40.8,26.7,31.7,long arms(+0.0050) | cover(+0.0042) | long(+0.0041) | length(+0.0040) | how(+0.0039),games(-0.0055) | games as(-0.0049) | eight(-0.0047),0.0225,-0.528,-0.251,0.0801,-0.0206,wingspan,-1.3704,consensus,30.4,37.2,32.4,because of(+0.0073) | because(+0.0070) | ankle(+0.0069) | career(+0.0065) | that(+0.0059),below(-0.0084) | below average(-0.0083) | linebacker in(-0.0076),-0.1399,arm,0.2448,0.731,0.629,0.832,41.6,0.304,tight ends(+0.0002) | limits(+0.0002) | games(+0.0002) | ends(+0.0002) | four year(+0.0002),usc(-0.0002) | because of(-0.0002) | below average(-0.0002),-0.0034,-0.1339,-0.0273,hand,-0.075
