"","full_name","school","blurb1","blurb2","pros_a_cons"
"52","Dax Milne","BYU","Tagged as a two-star recruit coming out of Utah’s Bingham High School, Dax Milne received just three offers as part of the 2018 recruiting class: Air Force, Army and Weber State. He won two state championships with Bingham’s basketball team and three state championships with the football team, per BYU’s official athletic site. He was also named the Male Athlete of the Year following his final season at Bingham. He declined his three offers coming out of high school and instead decided to walk on at BYU after Weber State’s then-offensive coordinator, Fesi Sitake, took a wide receiver School coaching job with the Cougars.","Zach Wilson wasn't the only breakout star for BYU in 2020. Milne went from only 21 catches and 285 yards in 2019 to 70 receptions for 1,188 yards this past season. Previously a slot receiver, Milne did his work primarily from the outside in 2020. His ability to win on the vertical tree opened up BYU's DAX MILNE offense and paired perfectly with Wilson's strengths. It also makes Milne a difficult evaluation because the corners he beat on the outside weren't exactly NFL-caliber. Still, Milne is one of the","Strong hands and exceptional body control. Holds on through rakes with ease. Toys with route pacing well to get open on vertical % tree. Not just sprinting off the line. Already employs a few different releases. Wants to get physical along his routes. See him working to stack defenders when he gets a step. Juice is average. Not going to stack corners with speed alone. Not a guy. Doesn't have the strength in his lower half. Milne is an -caliber route-runner, but he's physically a tier Frame still thin to try to bang on the outside. below the guys at the top of the class. Worry about him getting pressed to the sideline. Low level of competition. Racked up easy yards on out routes vs. off coverage."
"53","Osirus Mitchell","MISSISSIPPI ST","Considered a three-star recruit out of Florida’s Booker High School in 2016, Osirus Mitchell received just over five scholarship offers and took official visits to Minnesota and Mississippi State before committing to the Bulldogs. He averaged 21.7 yards per reception and totaled 900 yards and 17 touchdowns as a senior at Booker School","While it's easy to envision every 6-foot-5 wide receiver becoming Calvin Johnson, that added height often hurts more than it helps at the NFL level. It comes at the expense of suddenness and flexibility, which is certainly the case with Mitchell. He's going to struggle mightily to separate at the OSIRUS MITCHELL NFL level, as was already the case at Mississippi State. The highlight-reel jump balls look awesome, but that's not going to be sustainable against NFL corners.","Massive wingspan at -foot-. Toss it up, and he'll find it. Plus ball skills. Not much body-catching on tape. % Flashes good body control. Contorts to off-target passes easily. Just can't sink. Route breaks at a snail's pace Unable to avoid contact at the line. Not strong enough to consistently play through it, either. Mitchell's game is built for the college level, not the . That makes Once he's stopped, it takes a while to get going it all the more concerning that he didn't dominate for the Bulldogs. again. Not particularly productive and a late bloomer at that."
"54","Elijah Moore","MISSISSIPPI","Named a 2018 Under Armour All-American, Elijah Moore received 33 offers out of St. Thomas Aquinas High School in Florida. Moore committed to Georgia after Hugh Freeze was dismissed at Ole Miss during Moore’s visit, but Moore eventually flipped to Ole Miss when Matt Luke — Moore’s primary recruiter throughout the process — was given the head coaching job, per Rivals’ Rob Cassidy. Moore was infamously involved in the Egg Bowl touchdown celebration that moved a game-tying extra point back 15 yards and lost Ole Miss the game against Mississippi State. School","Moore's infamous urination celebration back in the Egg Bowl of 2019 set off a series of events that ended with him finishing with the second-most receiving yards in the country this year. Moore became the focal point of Lane Kiffin's offense and hauled in 1,193 yards in only eight games. He's an ELIJAH MOORE elite all-around athlete who could run any route asked of him from the slot at a high level. And from the handful of reps we did see from him on the outside, I'd be willing to dabble with him there in the","Ideal combination of speed and quicks for the slot. A threat to get deep. Tough as nails. He took some shots at the catch point and still held on. As reliable as it gets. Only two drops this year; on catchable targets in his career. Focal point of the Ole Miss offense. Screen and weapon. He broke tackles this season. Primarily a slot . Played snaps vs. press all season. Height will scare some teams off, but he can still go up and get it. Moore is a quintessential slot receiver, but I wouldn't put it past Lot of schemed production over the middle of the him to be productive on the outside. field."
"55","Rondale Moore","PURDUE","Rondale Moore was a legit Kentucky high school football legend. He led Trinity High School to back-to- back Class 6A state titles as a junior and senior, including a perfect 15-0 season in the final year of his preps career. He set the school record for receptions (104), receiving yards (1,461) and touchdowns (16) on his way to Gatorade Kentucky Player of the Year honors in 2017. The then-5-foot-8, 175-pounder received more than 30 scholarship offers as a four-star recruit (247Sports), including Alabama, Texas and Purdue. He recorded the highest SPARQ rating in the country and clocked a 4.33-second 40-yard dash in the recruitment process. While he originally committed to Texas, he decommitted from the School program after a visit to Purdue and then committed to the Boilermakers soon after.","In his freshman season at Purdue in 2018, there wasn't a field Moore stepped where he wasn't the best player on it. That year was one for the ages, as he hauled in 114 catches for 1,258 yards with 12 scores and 37 broken tackles. Injuries kept us from seeing much of that guy after that, but the talent RONDALE MOORE didn't go away. He's a dynamic slot weapon at a minimum, but the plays on his tape where he gets to go vertical make you think he can be more than that. He's as powerful a 180-pounder as you'll see","One of the most electric players with the ball in his hands in college football. As strong a -pounder as you'll see in college football. Contact rarely slows him down. Elite stop-start ability. Can go from - and - in the blink of an eye. % Sneaky good route-runner and ball skills. He just didn't get to show it often. Likely not going to be a complete receiver at his size. May be pigeonholed into slot in . Ton of schemed production in Purdue's offense — of his catches in were screens. You can call him short, but don't call him small. Moore has the Limited route tree — mainly underneath. Only physicality to win in diverse ways in the . intermediate catches in . Only played seven games over the past two seasons due to injury."
"56","Dazz Newsome","NORTH CAROLINA","Dazz Newsome played wide receiver, running back, cornerback and safety at Virginia’s Hampton High School. He notched 35 touchdowns — 28 rushing, three receiving, two on punt returns and another two on interceptions. While Newsome’s older brother, Deon, and father, Myron, both played at Virginia Tech, Dazz picked North Carolina over offers from Maryland, the Hokies and several others. He originally committed to the Tar Heels as a three-star athlete who was expected to play cornerback, but he started two games at receiver as a true freshman (2017) and never looked back. School","Newsome really made a name for himself back in 2019 when he was one of the most productive deep receivers in college football despite operating from the slot. His inability to expand on that in 2020 shows the fickle nature of many ""schemed' slot targets. Newsome has a YAC pedigree that is a DAZZ NEWSOME small notch below the elite tier of the class. He will be a weapon in that regard at the next level, make no mistake. He has to bring a little more to the table to see the field, though, and we need to see his","Shifty as can be. Gorgeous sink and burst in his cuts. Can't pin him down after the catch: -plus % broken tackles in three straight years. % Strong track record at catch point — -for- in contested catches over the past two years. Speed to test vertical as well — deep catches over the past two seasons. Body catches all over his tape and serious drop history with drops on career catchable. Contact on his route robs him of all speed. Newsome's body catching will be more and more of an issue at the next Slot only in his career and unlikely to change in level. He may struggle to see the field if he can't garner a 's trust. . Not a seasoned route salesman. Should be deadlier on double moves."
"57","Antonio Nunn","BUFFALO","Antonio Nunn was tagged as just a two-star recruit coming out of Florida’s Jefferson High School in 2016. Per 247Sports, he received only two total offers and committed to Buffalo over Georgia State. He recorded 27 catches for 526 yards and three touchdowns as a senior at Jefferson. School","Nunn has been the unquestioned No. 1 target in Buffalo's offense over the past two years, even if his yardage totals might not suggest it. That's because Buffalo passed for all of 1,795 yards in 2019 and 1,337 yards this past year. That means Nunn accounted for over 40% of Buffalo's receiving yards ANTONIO NUNN over that span! He's on the shorter side but can still win outside and showed out to pretty much every level of the field. The question will be whether he can still do that with a drastic leap up in","Crisp, sudden cuts. Can get out of his breaks. Almost a running back build with thick lower half. Not easily moved on his routes. Raw numbers don't do him justice with how run-heavy Buffalo was. Averaged yards per route run in . Average athlete by standards. No special physical trait. Poor competition. Didn't have to do much to produce. Nunn is a very solid all-around receiver, but at the same time, he Not great playing through contact at the catch point. doesn't have much on tape that excites. Went -for- on contested targets over his career. Would expect more ability, given the type of player he is at his competition level"
"58","Josh Palmer","TENNESSEE","Josh Palmer's parents are of Jamaican descent, and he was born in Ontario, Canada. Per Tennessee’s official athletic site, Palmer grew up playing basketball and football but didn’t get serious about playing football until ninth grade. He graduated from Florida’s St. Thomas Aquinas High School and helped the team to a Florida 7A state title in 2016. He caught 32 passes for 506 yards and eight touchdowns that season. He committed to Tennessee as a three-star recruit over offers from UCLA, Illinois and Syracuse, among others. School","Palmer never caught more than 34 balls or recorded more than 484 yards in a single season at Tennessee, so it's safe to say that he isn't a household name. But given the role he played and the quality of quarterback play at Tennessee, it's tough to blame him. The Volunteers deployed Palmer as a deep threat almost JOSH PALMER exclusively -- his 16.6-yard average depth of target was one of the highest in the country -- but they just didn't have a quarterback who could maximize that ability. After Palmer put on a show at the Senior Bowl one- athlete, he could easily be more productive in the NFL than he was in college.","Drives low off the line of scrimmage and won't let corners square him up. Shows a nice second gear downfield to get on top of corners. Violent route-runner. Puts his feet in the ground with a purpose. Ideal frame at -foot-, pounds. Can win with physicality. Not going to shake many defenders. One-cut type of receiver. Goes to the same skip release pretty much every time. Needs to add to the arsenal. Palmer has the size, suddenness, ball skills and play strength to Never recorded more than yards in a season. be a starter in the league. His tape is better than stats suggest. Ran mostly vertical at Tennessee. Unpolished elsewhere."
"59","Whop Philyor","INDIANA","Whop Philyor earned first-team all-state honors as a senior and was a two-time all-county selection, as well. He totaled 140 career receptions for 2,026 yards and 25 touchdowns throughout his preps career at Florida’s Plant High School. He also competed on Plant’s track and field team. He committed to Indiana as a three-star recruit in 2017 over offers from Arizona, Iowa State and Louisville, among others. His given first name is Mister Elias De'Angelo. Per Indiana’s official athletic site, his parents began calling him Whop because of his love for Burger King’s Whoppers. School","Philyor might be listed at only 180 pounds, but you sure wouldn't know it by the way he plays. He's out there throwing stiff arms and lowering shoulders over the middle of the field. He's a YAC weapon from the slot with enough speed to win vertically, as well. The only problem for him is that there's a WHOP PHILYOR ton of players in that mold in the draft class. He doesn't separate himself with his route-running or his ability at the catch point. His future may even be as a scatback for some team.","Unafraid to go over the middle. No alligator arms on tape. Plus speed. Can win vertically from the slot. At his best after the catch. He's a natural with the ball in his hands. Goes through the motions with route stems. Not setting up his breaks. Slot-only at Indiana, and his physical tools project the same in the . To get by as a slot-only in the , you have to be crisp as can be Production inflated by screens — of his in the little things. Philyor isn't that yet. career catches were screens. Catch radius a legit concern. Not much outside his frame."
"60","Cornell Powell","CLEMSON","Cornell Powell received more than 15 scholarship offers as a four-star wide receiver recruit coming out of North Carolina’s J.H. Rose High School in 2016. He picked Clemson over offers from Alabama, Duke and Florida State, among others. He recorded 65 receptions for 1,557 yards and 25 touchdowns in addition to 249 rushing yards and five rushing touchdowns as a senior. He was also a four-year letterman in basketball. He finished his preps career with 1,310 points and 604 rebounds. School","There's no shame in not being able to overtake the likes of Tee Higgins or Justyn Ross for playing time. Powell has a legitimate excuse for why he was unable to see the field until he was a fifth-year player. Still, it's a concern, given that his physical playstyle is a big reason why he won. You can expect CORNELL POWELL a 20- or 21-year-old to continue developing in that regard once they get in the NFL, but at 23 already, Powell may be tapped out. Powell is very NFL-ready in many ways and can step on a field in","Big-time body control at the catch point. Seven contested catches on passes thrown -plus yards. King of the subtle —and sometimes not so subtle — push-off for separation downfield. Nuanced release package. Can win with shiftiness or strength. Plays a strong brand of football: strong routes, strong hands, strong . Ridiculously late breakout. He didn't record more than yards in a game until Week of Year . Speed is limited. Even in college, many of his ""wins"" downfield came at the catch point. Powell may not be the most exciting prospect, but he's got - He played with a perfect style of — one who ready tools as a No. or . was willing to give him chances to make plays Was actually a man among boys. Will turn as a rookie."
"61","Amari Rodgers","CLEMSON","Son of former USC offensive coordinator Tee Martin, Rodgers originally committed to his father’s USC Trojans as a four-star recruit out of Knoxville Catholic, but he later reopened his recruitment and flipped to Clemson. Rodgers was named Mr. Football in Tennessee in each of his final two seasons at Knoxville Catholic at the AAAA level. Per The Athletic’s Grace Raynor, Rodgers has been regularly implementing yoga in his workout routines since he was a senior in high school to improve his flexibility. School","Without Tee Higgins and Justyn Ross this season, Rodgers took a massive step forward for the Tigers. His role changed from almost an entirely underneath guy early in his career to someone seeing more downfield targets this past season. Still, Rodgers is firmly a slot receiver at the NFL level. AMARI RODGERS Teams may even see him as a possible running back convert with his size (5-foot-10, 210 pounds) and natural running ability (17 broken tackles on 77 catches this year). As purely a receiver, he hasn't","Consistent tackle-breaker after the catch. Very strong lower half. Good straight-line speed. Can be a vertical threat from the slot. Adjusts well to off-target passes and has shown consistently good hands throughout career. Not particularly good separator on underneath/intermediate route tree. Limited length with few wins at catch point. Five catches on contested targets in career. Rodgers might be the best candidate in the class to switch to Stout build but doesn't use it to his advantage to running back. His skillset is far rarer there than in the slot. get open. Pigeonholed into the slot in the ."
"62","Anthony Schwartz","AUBURN","There is fast, and then there is Anthony Schwartz fast. Schwartz had a prolific track and field career at Plantation American Heritage High School, where his 10.15-second 100-meter dash set the high school record in Florida and came in as the sixth-best time at the high school level all-time. He was the 2018 Gatorade national boys’ track and field athlete of the year, taking silver in the 100- meter dash in the IAAF U20 world championships in Finland in 2018. On the football field, Schwartz was a four-star receiver prospect with 28 offers on the table. He committed to Auburn over a School number of high-profile offers. including Florida and Alabama.","Every single NFL team is looking to get faster offensively. While there may not be much more he adds, Schwartz will at least add that. He moves at a different speed from everyone else in college football. The track star makes his side career obvious. His average depth of target on non-screens ANTHONY SCHWARTZ was 15 yards downfield, and that's from the slot. He is the definition of a one-trick pony, though, as he's a receiver in name only. He struggles to track the ball, run nuanced routes and play through","Fastest receiver in the class. Not a debate. - second personal best in 100m. One step hesitation release works well. Some agility to go with his speed. Hung out to dry by his . So many missed opportunities where Schwartz got open deep. % % Not a receiver. No feel for route running or ball skills. Speed zapped when hands get on him. Not great at getting them off, either. Schwartz is what I'd imagine most track stars look like on a Very thin. No physical aspect to his game. football field. That level of speed is at least worth a flier. Not really a tackle-breaker. Gets via forcing bad angles."
"63","Devonta Smith","ALABAMA","Tagged as a four-star recruit by Scout and 247Sports as part of the 2017 recruiting class, DeVonta Smith received more than 20 scholarship offers and took official visits to Florida State, LSU and Alabama before committing to the Crimson Tide. At Louisiana’s Amite High Magnet School, Smith totaled more than 800 yards and 13 touchdowns on his way to a 3A state football championship in his senior season. Amite lost in the championship game, but Smith still was named the Most Outstanding Player because he caught eight passes for 111 yards, returned an interception for a School touchdown and returned a kick for a touchdown in the game.","It's difficult to find on-field cons for Smith. His weight will be brought up again and again over the course of the spring, but that's it. That's his con. Not his routes, his ball skills, his releases, his body control or his speed. When that's your only concern — and it hasn't even come to light as an issue on DEVONTA SMITH a college football field — then there's not much to be worried about. Smith is a versatile game- breaker who just wins. That's a fit for any scheme in the NFL.","Ridiculous ball skills. Makes improbable catches look routine Uncoachable fluidity to his game. So loose at the % line of scrimmage. Natural . Played X role in Alabama's offense when unit had three other Round WRs. Plays above his weight consistently. One of the best in country at fighting for balls. Very skinny and unlikely to change after four years in Alabama weight room. Weight will be bigger issue in . There were reps where physical CBs took him out. Smith's size wasn't an issue in college. I don't see it being A lot of schemed production inflated anything other than a minor blip in the . numbers. Led country in screens."
"64","Shi Smith","S CAROLINA","Shi Smith was a coveted four-star receiver recruit who picked South Carolina over offers from Alabama and Clemson, among others. The Union, South Carolina, native caught 47 passes for 609 yards and 10 touchdowns as a senior, and he hauled in 54 passes for 1,337 yards and 17 touchdowns in the year prior. School","Smith started in the Gamecocks offense for four seasons yet never quite took any meaningful next step in productivity. His uptick this past season was almost solely due to the fact that he took over Bryan Edwards' role as the ""screen guy"" in the offense. He's a dynamic athlete but not overly elite as SHI SMITH to where he can be a gadget guy in the NFL. At the end of the day, it's difficult to see where he separates himself in a crowded slot class.","Livewire with the ball in his hands. As agile as he is fast. Can get up. Has some serious highlight reel catches on tape. Showed at the Senior Bowl he can run nuanced routes from the slot. situation and South Carolina passing game didn't help his career numbers. Shown little ability to play through contact. Shows in a variety of ways. Weak at the catch point. Went -of- in contested situations over the last two years. Smith's struggles with contact aren't going to get any easier at Over one-third of his catches were screens in the next level. That's a tough sell for a slot-only type of guy. Manned the slot for South Carolina. He doesn't have the skill set that wins outside."
"65","Ihmir Smith- Marsette","IOWA","Ihmir Smith-Marsette was considered a two-star cornerback coming out of New Jersey’s Weequahic High School as part of the 2017 recruiting class. He was listed at a thin 6-foot-1, 155 pounds but led his football team to a 12-0 record and a state championship in 2016. He was also a standout performer for the track and field team, running both the 110-meter hurdles and 400-meter hurdles. He initially committed to Rutgers but flipped his commitment to Iowa late in the process. He received five total offers: Iowa, Minnesota, Rutgers, Boston College and Temple. School","Smith-Marsette's raw numbers aren't going to tell the entire story of his game. The number of underthrown deep balls on his tape rivals anyone else's in the country. He was able to run past pretty much any defensive back in the Big Ten if he got shoulder to shoulder with them. That's not going to IHMIR SMITH-MARSETTE be a question at the NFL level, but it's the rest of his game that comes with concerns. He's still very skinny, and I don't think you can rely on him to get off the line of scrimmage consistently just yet. He","Real-deal juice. Can crank it up hot down the field. Doesn't lose speed on his breaks. Deadly on vertical tree. Knows his weaknesses and uses hands well to avoid contact on routes. Numbers hampered by limited Iowa passing attack. Contact brings him to a screeching halt. May have to be schemed free releases. Ball tracking a concern. Over % drop rate every year of his career. Smith-Marsette is likely a one-trick deep threat in the , but Super thin and not shifty enough to keep himself that's still a valuable role for a lot of offenses. from getting touched at the line. A little high in his routes. Not much of a separator underneath."
"66","Amon-Ra St.brown","Height & Weight","Amon-Ra St. Brown has an impressive background. He’s fluent in German and French. His father, John Brown, won two Mr. Universe and three Mr. World titles as a bodybuilder in the 1980s. His brother Equanimeous St. Brown was a standout wide receiver for Notre Dame and currently plays for the Green Bay Packers. His other brother, Osiris St. Brown, is an underclassman wide receiver at Stanford. At California’s Mater Dei High School, Amon-Ra earned a number of first-team honors as a junior and senior. He also led Mater Dei to a perfect 15-0 record and a California CIF Division I title as a senior in 2017. Amon-Ra received more than 25 scholarship offers as a five-star wide receiver recruit (247Sports) and took official visits to School Michigan, USC and Notre Dame before committing to the Trojans. He also received offers from Alabama, USC Auburn, Florida and Georgia, among others.","The bloodlines themselves started the hype train for the five-star receiver before he ever stepped foot on campus at USC. St. Brown didn't disappoint as a freshman in 2018, hauling in 60 catches for 750 yards. He then built-up expectations with 1,000-plus yards and 18 broken tackles in his AMON-RA ST. BROWN sophomore campaign from the slot. With possible Round 1 expectations heading into 2020, St. Brown finally got his shot as an outside receiver and fizzled out to a degree. He struggled to create of the other top receivers in the class, and this may just be what you're getting.","Tremendous body control. Shows up avoiding contact and adjusting to passes. Consistently makes the first man miss. weapon when he played slot. % Loose hips. Can execute a full route tree with ease. Productive since the day he stepped on campus freshman year. Still doesn't play a particularly strong brand of football. Rarely initiates contact. Limited experience against press coverage. Only such snaps in career. St. Brown doesn't do too much to get you excited, but he has a Disappointed a touch on the outside. Struggled to solid all-around profile to be a quality No. receiver. separate downfield. Not a burner. Not how he wins and not really a deep threat."
"67","Kj 2016 Recruiting Class. He Recorded More Than 1,500 Receiving Yards And 21 Touchdowns In His Final Two Seasons","Height & Weight","Though he was considered just a three-star recruit by 247Sports coming out of Florida’s First Coast High School in 2016, KJ Stepherson received more than 15 scholarship offers from top programs around the country. He committed to Notre Dame over Colorado, Florida and Georgia Tech, among others, as part of the STEPHERSON at First Coast and then totaled 25 receptions, 462 receiving yards and five touchdowns as a true freshman for the Fighting Irish in 2016. Stepherson transferred to Jacksonville State following his 2017 season at Notre Dame after being dismissed by the school. Per ESPN, Stepherson was arrested on misdemeanor marijuana School charges in August 2016 and then arrested again on misdemeanor shoplifting charges in December 2016. JACKSONVILLE ST Stepherson was also suspended for four games in 2017 due to an undisclosed team violation.","Flashback to 2016, when Notre Dame had sophomore Miles Boykin and freshman Chase Claypool in the receiving corps. Starting above both was true freshman K.J. Stepherson, who went for 25 catches, 462 yards and five scores. The talent was evident, as he just had ""it"" for the receiver KJ STEPHERSON position. Sadly, he would be arrested multiple times over the next year and was eventually kicked out of Notre Dame altogether. He caught on at Jacksonville State for one lackluster season in 2019, one at that.","Uncoachable route-running ability. Extremely fluid athlete. Explodes out of cuts. Has some absurd double- moves on tape. % Plus leaping ability and body control. Bigger catch % radius than most -foot- receivers. Shake at the line of scrimmage is excellent. Not particularly refined, but he has tools to beat press Arrests and drug issues derailed career. Only played one season () over the last three years. Hands need to get stronger. Too many lost opportunities at the catch point. Stepeherson's freshman tape is as good as any other receiver's No strength aspect to his game. Got moved by from this draft class. Can that innate talent ever be recaptured? corners. Looked slower on tape in than he did early in career at Notre Dame."
"68","Marquez Stevenson","HOUSTON","A consensus three-star recruit coming out of Louisiana’s Northwood High School, Marquez Stevenson earned first-team all-district honors as both a junior and senior. He caught 50 passes for 900 yards and eight touchdowns as a senior, per Houston’s official athletic site. He also rushed for 445 yards and five touchdowns that season. He committed to Houston over Baylor, TCU and Mississippi State, among more than 10 other scholarship offers. School","Stevenson topped the 1,000-yard mark in his first year of real playing time back in 2018, but he's been unable to make it back ever since. He's got track speed and is scary with the ball in his hands, but more often than not, that ball has to be schemed there. He's not nearly as impressive getting MARQUEZ STEVENSON vertical as he should be. The fact that he didn't dominate the competition with his physical tools is a red flag in itself. He's just not a complete receiver and will have to have a role carved out for him.","Has been timed in the .3s. High-end athlete. (Didn’t Meet Minimum Targets) Explosive after the catch. Double-digit broken tackles in both full seasons. Speed never led to special downfield production. Seventeen deep catches in three years as starter. Drops have been a problem every year. He even dropped passes in , his best year. Stevenson is a good example of why speed isn't everything for a Won't manipulate defenders with his stems. deep threat. He rarely plays up to those times. Telegraphs where he's going downfield. One of the lower win rates in the one-on-ones at the Senior Bowl (%)."
"69","Sage Surratt","WAKE FOREST","Surratt attended Lincolnton High School in Lincolnton, North Carolina, where he excelled in sports — earning the state player of the year for football and basketball. Suratt also shined in the classroom, becoming the valedictorian of his senior class and a member of the National Honor Society. As a senior wide receiver, Surratt had a state record-breaking season with 129 catches, 2,104 yards and 28 touchdowns. He also returned two interceptions for touchdowns. Surratt’s 366 career receptions set the state record, and he turned that into 5,926 yards and 80 touchdowns. He was named the State Offensive Player of the Year by The Associated Press and made the Parade All-America team. He was selected as the School Wendy’s High School Heisman winner for North Carolina as well as the NCHSAA Athlete of the Year.","Let's hope Surratt has been doing some sprint training during his year off because that's about the only thing keeping him from being one of the top receivers in this class. He is the best receiver in the class in contested situations, going 18-of-30 in 2019. But it's a problem that he had 30 opportunities SAGE SURRATT in the first place. He just doesn't possess the juice to stride away from cornerbacks down the field and may be limited to an underneath or intermediate threat at the NFL level. Unfortunately, that's","The most physical in the draft class. Wins ( Data – No Ranks or Percentiles) consistently with bully ball. Elite at the catch point. He went -of- in contested situations in . Physicality translated after the catch. Broke tackles on catches in . Was the Wake Forest offense. Unit went in the tank without him. So slow. Won't scare cornerbacks one bit as a vertical threat. Overt physicality will get him flagged a good deal for in the . The is trending away from players like Surratt, unfortunately. His Rarely gains separation on the vertical tree. Not best fit may end up being in the slot for some schemes. his game. Didn't get to see him in , as he opted out of the season."
"70","Tamorrion Terry","FLORIDA ST","Tamorrion Terry received offers from Auburn, Florida State, Florida, Georgia and Ole Miss coming out of Georgia’s Turner County High School as a four-star recruit in 2017. He finished his senior season with 40 receptions for 1,187 yards and 19 touchdowns. He was named to the Atlanta Journal Constitution Class A Public All-State First Team in 2015 and 2016. School","Terry was one of the most intriguing receivers in the country heading into 2020 after his breakout campaign the year before. His size-speed combination doesn't come along every year, and everyone is always looking for the next Calvin Johnson or Julio Jones, but Terry possesses neither the TAMORRION TERRY physicality nor the sink in his hips to be mentioned in that same breath — he struggled mightily to produce this past season. Still, if you really need a big catch radius in your offense, Terry is a nice","Legit top speed. Glides away from corners downfield. Lanky with a vast catch radius. Can come down with balls well outside his frame. Does well to work back to hill to the consistently and not let ball come to him. Far more sudden at the line than your average tall receiver.. Lethargic coming to a stop. Takes too long to realistically sell vertical tree. Simplistic route tree dominated by GOs, hitches and slants. A lot of the issues you worry about with taller receivers were Skinny and can get boxed out downfield too abundantly present on his tape in . easily. Production fell off a cliff in . Nowhere near the big play threat."
"71","Kadarius Toney","FLORIDA","Coming out of Alabama’s Blount High School, Kadarius Toney was tagged as just a three-star recruit by 247Sports but still received offers from Florida, Alabama, Georgia Tech, South Alabama and South Carolina, among others. He was a dual-threat quarterback who passed for 2,894 yards and 32 touchdowns and ran for 894 yards and 15 touchdowns as a senior at Blount. He also passed for 3,604 yards and 37 touchdowns and rushed for 896 yards and 16 touchdowns in the year prior (2015). School","It's players like Toney who make football the greatest game in the world. The way he stops and starts in the blink of an eye is truly amazing to watch. He has the kind of flexibility and explosiveness in his lower half that allows him to break tackles in ways I've truly never seen before. It's why he broke KADARIUS TONEY 32 tackles on only 80 catches the past two seasons. More of a gadget player early in his career, Toney finally looked like a true receiver in 2020. He's not a polished route-runner by any means, but","Rare ability with the ball in his hands. Some might say generational. Flexibility to sink in cuts is a sight to behold. Creates his own routes. Elite acceleration. Uses it well to vary speeds along route, too. Only three career drops on catchable passes. Plucks ball away from body. Wholly unpolished route-runner. Nowhere near as precise as he'll need to be in . How he'll fare in traffic is an unknown. contested-catch opportunities in career. You can't teach what Toney has. While he's raw as a route-runner, Injuries limited him to only snaps over first his physical tools say you can fix that. three years at Florida. Top speed doesn't match burst."
"72","T.j. Vasher","TEXAS TECH","T.J. Vasher earned close to 10 scholarship offers coming out of Texas’ S.H. Rider High School as part of the 2016 recruiting class. He picked Texas Tech over offers from Colorado, Houston and Mississippi State, among others. He recorded 2,553 receiving yards, 158 receptions, 29 touchdowns over the course of his 35-game preps career. His uncle, Nathan Vasher, played seven seasons in the NFL and was a Pro Bowl cornerback for the Chicago Bears and Detroit Lions. Nathan also attended Texas (2000-03) and earned all-state honors at Texas High School, per Texas Tech’s official athletic School site.","Watching Vasher on a football field, it's hard not to think that he may have chosen the wrong sport. He's so skinny for the position but actually has some quick feet that can get him off press coverage. When he doesn't get off press, you see his lack of muscle on his frame come into play. He simply T.J. VASHER can't gain leverage over corners, and the old ""low man wins"" saying comes into play. Defensive backs have their way with him, and Vasher's height advantage often gets nullified.","-foot- wingspan. About as lanky a receiver prospect as you'll ever see. Very good feet for a -foot- receiver. Got a little shake in his game. A stick. Measured in at -foot-, pounds at the All-Star game. Surprisingly poor speed, even once his long strides get going. Slow and skinny is a tough combination to overcome at the Not near the catch-point demon you'd expect. Went - level. of- on contested catches in his career. Hands are nothing special — drops on catchable targets."
"73","Tyler Vaughns","USC","Tyler Vaughns was an extremely coveted recruit coming out of California’s Bishop Amat Memorial High School as part of the 2016 recruiting class. He was listed as a four-star wide receiver and received offers from USC, Alabama, Texas A&M and Georgia, among others. As a senior at Bishop Amat, he recorded 84 receptions for 1,319 yards and 13 touchdowns. He also starred as a kick returner and a punt returner while also playing defensive back. He totaled 1,183 receiving yards and 12 touchdowns as a junior in the year prior (2014) and played basketball and baseball at Bishop Amat. School","Vaughns broke onto the scene as a redshirt freshman for USC in 2017 with a big 57-catch, 810-yard season. But in his three seasons since, he was never able to quite build on that breakout. In fact, he peaked that season in yards per route run (1.95), broken tackles (11) and contested-catch rate (10- TYLER VAUGHNS of-11). Vaughns doesn't have the explosiveness to win down the football field consistently and isn't strong enough to bully defenders underneath.","Basketball build. Can go up and get it. Catches outside of his frame with ease. Big catch radius Peaked as a freshman. No semblance of improvement in his game since. Still very skinny for the position at pounds. He only added five pounds since freshman year. Vaughns is a contested-catch type of wide receiver who doesn't Exaggerated breaks. Slow in and out. have near the play strength to get by in that regard in the . Long speed is lacking. Defenders routinely make up ground on him downfield."
