"","summary","pros_and_cons"
"1","Brosmer made his way to Minnesota after a successful career at New Hampshire, following his recruitment as a zero-star prospect out of high school. He doesn’t possess above-average NFL arm talent and will struggle to truly threaten defenses with his arm, though he does have decent zip on passes up to 30 yards. His lack of NFL height is noticeable when throwing over the offensive line, particularly over the middle of the field—there are reps where he’s visibly throwing on his tiptoes. However, he is generally a good decision-maker, especially in 2024, as he kept the ball out of harm’s way and avoided unnecessary sacks. His quick footwork and fast release allow him to navigate pressure well within the pocket.","Crisp footwork in dropbacks. Fluid, high-paced movements let him react quickly to pressure. Tough quarterback who can absorb contact. Displays decent zip on short and intermediate throws. Generally makes smart decisions with the football. Smaller-than-ideal frame, especially for a QB with limited mobility. Struggles with consistency under pressure. Arm strength is below average to average by NFL standards."
"2","Dart is a former four-star quarterback recruit who was not only a record-breaker on the gridiron—throwing 67 touchdowns to just four interceptions as a senior — but also a two-time all-state baseball player as a third baseman. He began his college career at USC but transferred to Ole Miss after Lincoln Riley brought in Caleb Williams. A natural athlete and solid playmaker, Dart has earned an elite passing grade over the last two seasons. His playing style is enticing — he is light on his feet in the pocket, capable of slipping sacks and possesses a decently quick release. His arm strength appears average by NFL standards. He is too comfortable throwing off his back foot, even when not under pressure. While his tape shows plenty of deep throws, his ball placement on those attempts leaves more to be desired. He is experienced in throwing concept routes that put a single defender in conflict (e.g., slant-flat, curl-flat, smash) but lacks anticipation when making full-field reads. His mobility is solid, and he is best suited for a shotgun-based system, having taken just eight snaps under center over the last two seasons.","Natural poise, both in and out of structure. Feet are light, balanced and ready to take off. Willingness to step up in the pocket. Above-average mobility/escapability. Average arm strength for the NFL level. Deep ball accuracy and touch is lacking. Eyes/anticipation must improve."
"3","Ewers is a former five-star quarterback and the No. 1 player in the 2021 recruiting class. He was also the 13th highest-ranked player in 247Sports history. His scouting report—both out of high school and now—starts with his unique arm talent. His high-point, explosive, sidearm release is something rarely seen. It allows him to attempt and complete impressive throws from all platforms. He also displays impressive touch, showcasing his natural playmaking ability when he isn’t overthinking. However, while his release is eye-catching, it is inconsistent. The timing and placement of the ball coming out of his hand are erratic, and his sloppy footwork only exacerbates the issue. He is skittish in the pocket, often muddying clean pockets himself due to poor awareness of when to step up and when to escape. As a result, he appears uncomfortable in clean situations. His accuracy on downfield throws is inconsistent. Despite this, he possesses the arm talent to be a three-level threat as a passer.","Has the arm talent to release the ball with zip and accuracy. Explosive, flick-of-the-wrist throwing motion. Has some truly special ""feel"" or touch throws. Backyard-football-type playmaker. Showed more confidence in 2024. Bad lower-body habits. Inconsistent throwing mechanics lead to inconsistent accuracy. Holds the ball low and loose in his stance."
"4","Gabriel has been on a long college football journey, but the road has led him to an ideal destination. A former three-star recruit and Gatorade High School Football Player of the Year for Hawaii, he traveled about as far from home as possible to play at UCF. After three years there, he transferred to Oklahoma for two seasons before finishing his career at Oregon. A natural left-handed passer, Gabriel is small—below the 10th percentile in both height and weight for the NFL level—but he simply knows how to play the position better than most, reminiscent of Bryce Young in that regard. He throws the most catchable passes in the class. His feet are lightning-quick, allowing him to reset for every throw, and his throwing motion is compact and efficient. He demonstrates a high IQ for the position, navigating the pocket smoothly and confidently while showing the ability to scan the entire field. His overall arm talent is limited and average at best for the NFL. He often has to put his entire body into his throws.","Quick movements for fast releases. Quick footwork in the pocket to avoid pressure. Does not panic under pressure. Knows how to get through his progressions, even under duress. Lefty quarterback, which can an adjustment for some receivers. Wide leg kick and open hips compromises accuracy on quick throws. Height will make middle-of-the-field throws a challenge in the NFL. Mobility is adequate for college but won't be as effective in NFL."
"5","Henigan is a former three-star quarterback who was a highly accomplished passer at Billy Ryan High School in Denton, Texas. Over his four-year high school career, he threw for more than 7,000 yards with over 70 passing touchdowns and just 14 interceptions. That starting streak continued at Memphis, where he has been the team's starting quarterback for the past four seasons. He is smaller in stature compared to NFL standards, which contributes to his below-average NFL arm talent. His throwing motion is compact and quick, but he has a tendency to short-arm his follow-through, which negatively impacts his accuracy. Henigan’s footwork on dropbacks is clean, but his lower-body mechanics can become erratic when throwing on the run. He also has a bad habit of retreating in the pocket and throwing off his back foot. His speed won’t be a difference-maker at the next level. That said, he plays with plenty of moxie, which makes him an intriguing player when the ball is in his hands.","Displays adequate NFL velocity on short/ intermediate throws. Experienced passer when targeting the middle of the field. Compact and quick throwing motion. Confident, moxie-driven play style. Tends to retreat too far and too often when pressured. Lower-body mechanics can be erratic on follow-throughs. Smaller stature with below-average overall arm talent."
"6","Howard is a former three-star quarterback who excelled in both football and basketball at Downingtown West High School, scoring over 1,000 points on the court. He committed to Kansas State, where he played for four seasons, earning sporadic starts in his first three years before locking down the full-time starting job in 2023. He then transferred to Ohio State, where he had his most effective and productive season, leading the team through the College Football Playoff. He brings adequate size to the pros, ranking above the 75th percentile in both height and weight. He is also a good athlete for his size, making him a viable threat on scrambles and RPOs. While his arm strength isn’t elite, it’s good enough to attack every level of a defense. He is experienced in reading all forms of coverage and is particularly comfortable throwing hole shots against Cover 2. His fundamentals are generally solid, though he has an elongated follow-through with his back leg.","Ideal NFL size for the position. Not hesitant to throw on the run and “be an athlete”. Above-average arm strength. Made every throw in the book at some point in 2024. Real experience under center. 35% of passes on third-and-long were short of the sticks. Some inconsistency with his release point, which affects accuracy. Not as experienced or confident throwing over the middle."
"7","Leonard is a former three-star quarterback from Fairhope, Alabama, where he was a two-sport athlete. He received basketball offers from Samford, Missouri State and North Alabama after averaging more than 20 points per game as a senior but ultimately chose football, committing to Duke. He made one start as a true freshman before becoming the full-time starter for the next two seasons, though he missed a significant portion of the 2023 season due to an ankle injury. He transferred to Notre Dame, where he helped propel the team to a College Football Playoff berth and eventually played for a national championship. Leonard is a well-built quarterback whose most alluring trait is his dual-threat ability. He is a battering-ram-style runner who isn’t afraid to take off, absorb hits and do the dirty work to move the chains. However, his passing remains too inconsistent. While he displays good throwing fundamentals, his accuracy and ball placement are issues.","Mobility and escapability are pluses to his game. Has some big plays when scrambling. Willing to go through progressions, front and back side. Can put adequate zip on short and intermediate passes. Consistent throwing fundamentals. Accuracy and ball placement are consistent issues. Pocket management is up and down. Velocity is better than distance."
"8","McCord was a high school football legend, winning three straight state championships and earning Pennsylvania Gatorade Player of the Year honors as a senior. He committed to Ohio State— alongside his high school teammate Marvin Harrison Jr.—and sat behind C.J. Stroud for two seasons before taking over as the full-time starter in 2023. After one year as the starter, McCord transferred to Syracuse for his final season. His play style is a mix of Baker Mayfield and Brock Purdy. He has the mindset of a gunslinger but lacks a true gunslinger arm. His feet are quick and light, allowing him to make throws on short notice with a quick release and follow-through, leading to a fast average time to throw over the last two seasons. He is a fiery competitor but remains relatively calm—or at least confident—in the pocket. McCord led the Power Five in big-time throws but ranked just 22nd in big-time throw percentage. Unfortunately, he also led the Power Five in turnover-worthy plays.","Light on his feet, constantly bouncing. Ideal throwing mechanics. Great touch passer, including over the middle. Smart football player who knows how to scan the field. Is a fiery competitor but looks calm in the pocket. Baker Mayfield mentality without a Baker Mayfield arm. Too comfortable throwing off his back foot and fading away. Arm strength appears below average to average for the NFL level."
"9","Mertz is a former four-star quarterback who led his team to back- to-back high school state championship appearances, winning the first and falling short in the second. He was named the Gatorade Kansas Football Player of the Year as a senior in 2018 before committing to Wisconsin. After redshirting his first season, he started the next three years before transferring to Florida, where he was the starting quarterback in 2023 and 2024 before tearing his ACL in Week 7. An older, experienced quarterback, Mertz’s decision-making reflects his extensive starting experience. He generally knows where to go with the ball and when to fire. He has ample experience operating under center from his Wisconsin days. Mertz possesses good size and adequate NFL arm strength, along with decent escapability. His experience serves him well under pressure. He reads defenses well pre-snap and does a good job manipulating defenders with his eyes while working through his progressions on time.","Fundamentally sound passer with consistent footwork. Strong understanding of pre-snap reads and progression timing. Adequate arm strength for the pro level. Effectively manipulates defenders with his eyes. Significant experience under center at Wisconsin. Accuracy declines when touch is required. His release causes ball placement issues. Struggled with deep-ball efficiency and accuracy in 2024."
"10","Milroe has one of the strongest arms in the class, and if he isn’t in the Tier 1 NFL arm category, he’s not far behind in Tier 2. That track background also makes him a lethal rushing threat. While his physical gifts make him an alluring prospect to invest in, his inconsistencies are why drafting and playing him early could end poorly. He is not consistently accurate. His twitchy throwing motion means that any deviation in his fundamentals can negatively impact ball placement. He also holds onto the ball too long, averaging over 3.00 seconds per dropback, leading to a high sack rate. He also struggles to read non-primary defenders — he can key in on one or two defenders pre-snap but fail to see the full coverage picture post-snap. Though he is a great athlete, his passing grades and efficiency on the run are poor. He does, however, post strong numbers on third-and-long, with more than 50% of his throws going beyond the sticks and a solid number of big-time throws.","Not just escapability but a true dual-threat athlete. Good enough athlete to force missed tackles in space. Twitchy athleticism evident in throwing motion speed. Can show really nice touch/accuracy on deep passes. Experienced RPO quarterback. Accuracy/decision-making variance is large right now. Holds the ball low and loose in his stance. Accuracy can dip when he takes speed off his throws. Time to throw/sacks taken is far too high."
"11","Rourke hails from the Great White North of Oakville, Ontario, where he led his team to a Halton Championship as a junior and finished as a runner-up the following season. He spent four years at Ohio as a multi-year starter before transferring to Indiana for his final season of eligibility. As a Hoosier, he had his most productive and efficient year. At over 6-foot-4 and 230 pounds, Rourke ranks above the 75th percentile in both height and weight. In 2024, he posted a career-low 2.5% turnover-worthy play rate while recording a 5.9% big-time throw rate, the second- highest of his career. His footwork and follow-through are solid, creating an aesthetically clean throwing motion for a passer his size. His accuracy is generally good, though not elite, and he has shown the ability to make impressive touch throws. However, his reliance on touch throws is partly due to a backhanded compliment—he has had plenty of practice with them because his arm strength and velocity are lacking, even for his size.","Smooth, fundamentally sound throwing motion. Touch is a plus in his passing game. Has some excellent ball-placement throws. Lacks expected velocity for his size. He is slow-moving outside the pocket. Tends to lock onto reads, struggling to feel and react to pressure."
"12","If you didn’t know his last name, you’d still recognize that Shedeur has NFL bloodlines—or at least that he’s been around high-level football minds—just from watching his tape. He has followed his father as head coach from Jackson State to Colorado and has developed into a legitimate NFL prospect. His scouting report starts with his clean fundamentals. At under the 30th percentile in both height (6-foot-1.5) and weight (215 pounds), those fundamentals are paramount, allowing him to maximize his average arm talent. His throwing motion is highly repeatable, leading to good accuracy and ball placement. His experience at the position helps him see the field well, both pre- and post-snap, resulting in very few turnovers and turnover- worthy plays throughout his career. His mobility is limited, especially by NFL standards. His top trait is likely his mentality— he’s tough as nails in the pocket and has delivered some true “ice in his veins” throws under pressure and on big downs.","Strong, wide base with good size in the lower half. Repeatable, fundamentally sound throwing. Good zip on passes within 25 yards. Mental and physical toughness to step up and take a hit. Good feel/anticipation for attacking zone. Ball speed can die on him in the air beyond 40 yards. Release speed is average-to-below-average. Arm strength is average for NFL standards."
"13","Shough is a big-bodied quarterback with ideal NFL size. He has a good but not great arm. He can zip passes into tight windows over the middle and has a higher big-time throw percentage than turnover-worthy play percentage in that area. He is at his best when throwing with velocity but also displays good touch and ball placement on deep passes—though he becomes more inconsistent at shorter distances. One of the older prospects in the class, coming from the 2018 recruiting cycle. He spent three years at Oregon before playing three more at Texas Tech and finishing his career at Louisville. His injury history is concerning, with two season-ending collarbone injuries and a broken fibula on his record. In terms of pocket management, he must be more willing to step up. Too often, he fades away on throws even when pressure is not imminent. While he won’t offer much in terms of mobility or playmaking outside of structure, he has the arm talent to attempt and complete throws from various arm angles.","Adequate height to make throws over the middle of the field. NFL-caliber arm talent with the ability to throw with good velocity. Arm strength is good, though not great. Shows the ability to apply the correct touch on passes. Extensive injury history. Limited mobility and escapability by NFL standards. Footwork and ability to align with his target are inconsistent."
"14","Ward's journey from zero-star recruit to potentially the top quarterback in his class is inspiring. His overlooked and underappreciated path shapes his character and gameplay. He believed in himself when most others didn’t, making him one of the most confident quarterbacks in any situation. His arm strength is good for the NFL, though not in the top tier. His throwing style is unorthodox and unique—he consistently throws with a sidearm motion, holds the ball low and often misaligns his hips and feet when throwing. As a result, his ball placement can be erratic, though it has also produced some incredible throws. His reads and progressions are generally correct, but he too often locks onto the biggest or longest throw. Despite the chaotic nature of his play style, he has graded highly in almost every stable category — an ironic truth, given the visual instability of his quarterback play.","True sidearm release that is David Carr-esque. Experienced and successful middle-of-field passer. Never say die type of playmaker with good escapability. Adequate arm strength for the NFL level. Impressive and natural touch passer. Holds the ball below the shoulders, making for a longer release. Side arm release is exotic but feels too varied throw-to-throw. Accuracy numbers are high, but ball placement isn't consistent."
"15","Allen is a former statsback three-star running youfrom won’t find Millville, N.J. At Millville Senior High School, he played running back, wide anywhere else. Alongside receiver and defensive back, earning Gatorade New Jersey that, Football Player of theplayer each Year honors alsoas ahas senior. He also competed career in track as a sprinter and in the shot put. In his three-year career at Syracuse, information, in-depth Allen started 27 of the 39 games he scouting played, earning two All-ACC selections. He holds the program record for most profiles, player comps, athletic receptions (119) and receiving yards (848) by a running back. He testing, is a reliable pass catcher,strengths/weaknesses and his receiver background givesand him confidence running routes. He is also a willing and tenacious pass protector,much makingmore. him an ideal third-down back. However, Allen is relatively thin for the position, ranking below the 30th percentile in weight. This affects his pass-blocking effectiveness Thanks so much for reading and as well as his ability to generate yards after contact. His vision is adequate, particularly behind man/gap-blocking concepts enjoy! between the tackles. Trevor Sikkema","Plus height and length for a running back. Massive hands aid in both ball security and pass catching. Former wide receiver with natural confidence in route running. Though lighter, runs behind his pads with maximum effort. Willing and tenacious in pass protection. High-waisted build and long legs limit agility. Struggles with balance, often stumbling after light contact. Lacks flexibility, limiting his ability to force missed tackles."
"16","Blue is a former stats four-star recruit fromyou won’t Houston, find Texas. At Klein Cain High School, he rushed for over 1,600 yards as a anywhere else. Alongside that, sophomore and more than 2,100 yards as a junior before opting out of his senior eachseason to focus player on college also has preparation. career He also competed as a sprinter, running the 100m and 200m, with a personal bestinformation, of 10.71 seconds in in-depth the 100m asscouting a junior. He spent 2022 and 2023 primarily as a backup before splitting carries with profiles, player comps, Tre Wisner in a two-back committee. His best trait athletic is his excellent long speed—if testing, strengths/weaknesses he finds a crease, he can take any carry the and distance. His movements are also sharp and explosive. His much vision and skill set seemore. best suited for a man/gap-blocking scheme, where he can make quick cuts around blockers to find open space. He has natural hands as a receiver but lacks the Thanks so much for reading and density to consistently hold up in pass protection. He must get stronger to play through contact more effectively and reduce the enjoy! fumbling issues that surfaced in 2024. Trevor Sikkema","Quick, agile footwork for hops, cuts, and forcing missed tackles. Precise movement skills translate well to route running. Game-changing long speed at the NFL level. Smooth yet explosive acceleration. Natural hands as a receiver. Needs to improve ball security after fumbling four times in 2024. Lacks the strength and density to be effective in pass protection."
"17","Brooks has beenadvanced racking upstats youhiswon’t yards since findyear of sophomore high school, as he recorded over 1,000 rushing yards in three anywhere else. Alongside that, straight seasons before committing to Texas Tech. As the full- time starter ineach 2023 and 2024, he player rushed also has for career over 1,500 yards in back-to-back seasons. He approaches rushing like a hunter— information, baiting defenders in-depth with patience before burstingscouting through tight spaces with quick footwork. This calculated style makes him profiles, player comps, athletichis film most comfortable running between the tackles. However, testing, strengths/weaknesses often leaves you wanting more once he reaches and open space—he hesitates to plant his foot and reach top speed. That hesitation much likely stems from more. top-end speed, contributing his below-average to his lower production and grades in zone-blocking schemes. Though not heavily used as a receiver, Brooks has extensive Thanks so much for reading and experience running routes. He is also a reliable and fundamentally sound pass protector. enjoy! Trevor Sikkema","Very willing pass blocker. Extensive experience as a receiver. Ironman—second-most snaps among FBS RBs in 2023. Fast footwork to evade defenders in tight spaces. Playmaker mentality, creating missed tackles in the open field. Low yards per route run (YPRR) average. Can hesitate when faced with unexpected looks. Vision and feel for the best rushing lanes can be inconsistent."
"18","Edwards is aadvanced former five-starstats youwas recruit who won’t namedfindGatorade Michigan Football Player of the Year and Mr. Football in Michigan anywhere else. Alongside that, as a senior. Edwards began his college career as a rotational back before serving each asplayer Blake Corum’s also has backup as a sophomore career and junior. In 2024, he started the season as Michigan’s lead back but laterinformation, moved into the RB2 in-depth role behind scouting Kalel Mullings. He tied for the FBS lead in 50-yard runs in 2022, but the bigger issue profiles, player comps, athletic is how he gets to open space. At 6-foot-1, his taller frame is an asset in termstesting, strengths/weaknesses of measurables, but it seems to hinder and his flexibility and change-of-direction ability, making him look stiff. He also struggles withmuch more. vision, often lowering his head and plowing into the back of his offensive linemen rather than making a simple cut into an open lane. His cuts also take multiple steps, leading to Thanks so much for reading and inconsistent success in zone schemes. He offers value on third downs. He has soft hands as a receiver and has shown promise enjoy! in pass protection. Trevor Sikkema","Explosive once he commits to a direction. Maintains good balance and quick feet in pass protection. Decent top-end speed for breaking long runs. Strong awareness and technique in pass protection. Soft hands make him a reliable option in the receiving game. One-cut moves take a few extra steps to fully change. Didn’t play with the same speed in 2023/2024. Needs to process space and blocking developments more quickly."
"19","Etienne didn’tadvanced stats have to look far youback for running won’t find inspiration—his older brother, Travis, was a three-time All-American at Clemson anywhere else. Alongside and a first-round pick by the Jacksonville Jaguars, where hethat, remains theireach lead back. Trevor,also player a four-star hasrecruit career out of Louisiana, signed with Florida over offers from Clemson and LSU. After two information, productive seasons in-depth scouting with the Gators, he transferred to Georgia for his final year. While he isn’t a first-round profiles, player comps, athletic talent like his brother, Etienne has a clear role in the NFL for testing, teams that utilize strengths/weaknesses a zone-blocking scheme. He has quick and footwork and runs with more physicality than expected for a 202- pound back. much However,more. that size likely limits his ability to be an effective downhill runner or a reliable pass protector. Etienne also wasn’t heavily utilized as a receiver in college, though he flashed Thanks so much for reading and high-level ability as a pass catcher at the Senior Bowl, hinting at untapped potential in that area. enjoy! Trevor Sikkema","Makes sharp cuts at full speed with excellent quickness. Runs with physicality and finishes through contact. Flashed receiving upside at the Senior Bowl. Undersized at 5-foot-8.5 and 202 pounds. Scheme-dependent—best suited for a zone-heavy system. Underwhelming receiving production in college."
"20","Giddens worked advanced his way fromstats youat won’t a walk-on Kansas Statefindto a starting role, rushing for over 2,500 yards over the last two anywhere else. Alongside that, seasons. His high school grades—not a lack of talent—were the primary hurdle in his recruitment. each player also He ishas a taller back, and with that career bigger frame comes longer strides that give him good long speed. information, Overall, his athleticism in-depth appears above averagescouting for the NFL level. He is shifty with impressive vision and anticipation, particularly profiles, player comps, behind man- and gap-blocking schemes. He excels athletic when he can testing, strengths/weaknesses set up defenders in space and make sharp cuts and to force missed tackles. His patience as a runner is a strength, but he lacks some muchofmore. physicality because how cerebral he tries to be. He has a decent amount of experience as a receiver, though most of his work has come on flat and wheel routes. He shows good eyes Thanks so much for reading and and anticipation in pass protection but needs to sustain his blocks longer to be a reliable asset. enjoy! Trevor Sikkema","Above-average athlete for the NFL level. Long strides provide good top-end speed. Displays nice wiggle and one-cut ability for a taller back. Has the frame to hold up in pass protection. Shows decent potential as a receiver. Patient runner but could play with more explosiveness. Lacks a true violent edge to his game. Inconsistent at generating yards after contact."
"21","Gordon is a former four-star stats youaveraged recruit who won’t9.9find yards per carry as a senior, racking up over 2,500 rushing yards and 35 anywhere else. Alongside that, touchdowns. He chose Oklahoma State, and after serving as a backup in 2022, eachbecame the full-time player also starter as a sophomore. He has career went on to win the Doak Walker Award as the nation’s top running back. At overinformation, in-depth 6-foot-1 and 220 pounds, Gordon scouting has an enticing frame. He possesses nimble feet, allowing him to maneuver profiles, player comps, athletic behind man- and gap-blocking schemes. In 2023, he displayed testing, strong balance, brushingstrengths/weaknesses and off arm tackles and keeping runs alive. However, his 2024 season was a step back. His game lacked the muchofmore. physicality expected a big back, and his patience often crossed into hesitation. Flexibility and agility have never been his calling cards. He also has minimal experience as a receiver. In pass Thanks so much for reading and protection, his size gives him the potential to be an asset, but much of his blocking effectiveness comes from chop blocks enjoy! rather than proper technique. Trevor Sikkema","Prototypical NFL size for a running back. Impressive top-end speed for his frame, adequate for the NFL. Nimble footwork behind the line of scrimmage. Strong balance and power to absorb contact and shed tackles. Willing pass blocker, but lacks sound technique. More of a buildup-speed runner than an explosive one. Stiff in stop-start situations and lateral direction changes."
"22","Even before donning stats Carolina you won’t blue, Hampton find — a four-star running back — was a state star as a high schooler. As a senior, anywhere else. Alongside that, he was named the North Carolina Gatorade Football Player of the Year and North Carolina's each playerMr. also Football. hasHecareer then contributed for the Tar Heels right away as a true freshman before earning full- time starting information, roles as a sophomore in-depth and junior. scouting At 6 feet and 220 pounds, he brings ideal size to the position for the NFL. Hampton profiles, player comps, athletic is also one of the class’ most physically gifted backs, boasting testing, strengths/weaknesses top-tier explosiveness for his size. He has a high and missed tackles forced average, which is rooted in his ability to stay balanced and drive throughmuch contact.more. His vision as a runner can be hit-and-miss. He is better behind zone blocking where he can hit a running lane with momentum. When asked to truly read behind inside zone Thanks so much for reading and and gap concepts, Hampton can get impatient and get north before it is necessary. As a pass blocker, he has the frame to do enjoy! it. He is also a good option out of the backfield as a receiver. Trevor Sikkema","Built like an NFL back in measurables, weight and athleticism. Change-of-direction explosiveness is impressive for his size. Relishes in the physical aspects of the position. Wants to erase people in pass protection. Inconsistent blend of patience and hesitancy behind the line. Can be overeager to get upfield. Sometimes second-guesses himself when setting up defenders."
"23","Harvey was aadvanced stats multi-sport athlete youschool in high won’t findtrack, (football, basketball and baseball). That translated to him being a dual- anywhere else. Alongside threat quarterback throughout his high school career. Hethat, committed toeach Virginiaplayer to play quarterback also hasbutcareer transferred back home to UCF after just one year, switching positions to running information, back during the process. Harveyin-depth was vying for scouting UCF’s RB1 spot in 2021 before tearing his ACL. He didn’t return to form until 2023, profiles, player comps, and he then rushed for more than 2,900 combined athletic yards in 2023 testing, strengths/weaknesses and and 2024. Harvey is a natural playmaker. He processes defensive movement and blocking quickly to find daylight behind muchbutmore. man/gap concepts, he is more productive behind zone as a slasher type. His missed tackles forced average ranked above the 96th percentile. He also brings natural hands as a receiver Thanks so much for reading and and good receiving production. The big concern with Harvey is his overall play speed. He takes too long to read the blocking and enjoy! defense and so he doesn’t have enough power to hit the LOS. Trevor Sikkema","Fast first step, even when changing direction. Elusive player with good short-area burst. Good (not great) long speed. Playmaker mentality to set up defenders and make them miss. Patient with good vision, especially behind zone. Willing pass blocker but lacks the weight to stand up to defenders. Can be hesitant behind man/gap blocking concepts. Overall play speed concerns."
"24","At Ohio State, advanced stats you Henderson contributed won’t since his true find freshman season, rushing for more than 1,200 yards in his first year. But a anywhere else. Alongside that, foot injury hampered his sophomore and junior seasons, and he did not look the same. each Fully healthy player alsoagain hasin career 2024, he played like a promising NFL running back. He shows good patience and one- information, cut ability to find in-depth space behind man/gap scheme scouting blocks but isn't as successful doing so behind zone right now. It's almost as if he profiles, player comps, athletic is confident being patient behind the line, but once he kicks it into high gear, hetesting, homes in onstrengths/weaknesses and getting upfield (not the worst mindset at all). When Henderson commits to that top gear, it is impressive. He much is also more. quick and agile when he wants to be, with a decent missed tackles forced average in 2024. He looks like a natural receiver with soft hands and quick footwork for routes. His Thanks so much for reading and body isn't made for bulldozing through tacklers, but he does play with high effort through contact. enjoy! Trevor Sikkema","Gets up to full speed very quickly. Fast footwork to force missed tackles and find running lanes. Very agile back- balances momentum well at high speeds. Soft hands and good potential as a receiving back. One fumble lost in his career (573 carries and 75 receptions). Not much body density to power through full tackles. Isn't as decisive behind zone blocking compared to man. Tends to want to bounce to the sideline a little too much."
"25","Hunter startedadvanced stats games in all four yearsyou of hiswon’t find Auburn career, serving as the full-time starter for the last two. He finished his anywhere else. Alongside that, career fourth on Auburn’s all-time rushing list, trailing only James Brooks, Carnell Williams each and Bo player Jackson. also hasHunter careeris small — below the 25th percentile in both height and weight — which information, impacts his ability in-depth to take on tacklers, scouting his long speed and his effectiveness in pass protection. However, he doesn’t let that profiles, player comps, athletic affect his mentality. He welcomes contact and often dictates it. testing, His smaller frame allows strengths/weaknesses and him to slip through tight spaces, making for impressive runs between the tackles. He is also patient when working behindmuch pullingmore. blockers and zone-blocking schemes. He is quick, but he lacks the elite flexibility to consistently make defenders miss or change direction on a dime. Still, he earned Thanks so much for reading and rushing grades above 80.0 in all four years. He was on the honor roll all four years at Auburn and graduated with a degree in enjoy! natural resource management in just three years. Trevor Sikkema","Earned rushing grades above 80.0 in all four collegiate seasons. Patient running style allows him to read blocks. Compact build and strong core help him shrug off arm tackles. Smooth acceleration to reach top speed efficiently. Natural leverage against defenders in pass protection. Patience in reading blocks can sometimes lead to hesitation. Smaller frame limits overall effectiveness in blocking."
"26","A dual-threatadvanced quarterback instats youJackson high school, won’tearnedfind a four- star recruiting grade from 247Sports and committed to Texas, anywhere else. Alongside that, where he redshirted in 2020. He transferred to Utah the following season and over each the player next threealso years transitioned has career from backup QB to QB/RB/special teams player before ultimately becoming information, the team's starting back. In 2024,in-depth he transferredscouting to Arkansas and surpassed 800 rushing yards for the second straight season. profiles, player comps, athletic Jackson is taller than the typical running back at over 6-foot-2. His height andtesting, frame givestrengths/weaknesses and him long strides, allowing for decent top-end speed when he reaches open space. He also shows much However, good foot quickness. more. his lack of experience is evident. His vision is inconsistent—he struggles with patience in waiting for blocks to develop and sometimes fails to attack rushing lanes Thanks so much for reading and with purpose (or misses them entirely). And while he has the frame to be a strong pass protector, his technique and enjoy! anticipation need significant refinement. Trevor Sikkema","Fluid movement skills for a taller, bigger back. Long strides generate solid getaway speed. Decent footwork for his size. Strong frame to develop into a reliable pass protector. Good top-end speed once he builds momentum. Needs to recognize when to lower his shoulder and fight for yards. Higher pad level limits natural balance and yards after contact. Lack of full-time experience at running back."
"27","James was aadvanced four-star recruitstats you won’t out of Nashville, find Tennessee, choosing Oregon over offers from Georgia, Tennessee, and anywhere else. Alongside Alabama. As a sophomore, he served as the Ducks' No. 2 back that, behind BuckyeachIrving, player flashing brilliance also has in that role—his 94.8 career rushing grade led all FBS backs. Once Irving departed for the NFL, where he information, had a stellar rookiein-depth season withscouting the Tampa Bay Buccaneers, James took full advantage of the starting job, profiles, player comps, earning a 90.9 rushing grade, which tied for seventh athletic in the nation. testing, strengths/weaknesses As his elite grades suggest, James is a no-nonsense runnerand who takes care of the football while maximizing his yardage. At this much stage, he projects as anmore. early-down back due to his inconsistent hands and lack of experience in pass protection. While he isn't an elite athlete, he is an efficient runner capable of succeeding in Thanks so much for reading and any scheme within a committee. enjoy! Trevor Sikkema","Not the biggest back, but runs with power and physicality. Gets north-south quickly with minimal wasted movement. Scheme-versatile—effective in both gap and zone schemes. Excellent ball security—zero fumbles on 429 career touches. Lacks top-end speed and isn’t much of a home-run threat. Limited experience in pass protection. Has not been a major receiving threat and has issues with drops."
"28","Though smaller in height, hestats youforwon’t is built well findat 5- an NFL back foot-8 and 215 pounds. His body is dense and powerful, as anywhere else. Alongside that, evidenced by any play where he makes contact with a defender. He ranks in the 99th percentile each player also in yardshas aftercareer contact, and his total rushing yards after contact would have led college football in information, 2024 if compared in-depth to others’ overall scouting yardage totals. But that's not to say he can't make people miss in space. His 0.39 missed profiles, player comps, athletic tackles forced per attempt average placed in the 98th percentile. testing, Jeanty is a quick strengths/weaknesses processor and and has good vision for space behind zone and gap blocking schemes. His footwork is fast and much explosive, and more. although he isn't the fastest, his long speed will allow him to rip off 30-40-yard runs in the league. He is a willing blocker in pass protection, but his size affects his efficiency. He Thanks so much for reading and shows soft hands in the receiving game, and once he catches the ball, his ability to force missed tackles comes into play. enjoy! Trevor Sikkema","Dense, compact frame for good center of gravity/balance. Long speed adequate to break off big runs in NFL. Naturally soft hands in the receiving game. Does not shy away from contact. Excellent one-cut vision behind zone blocking concepts. Size makes pass blocking difficult, but he is willing to do it. Can shimmy too much when setting up a defender up space."
