"","summary","pros_and_cons"
"177","Bowman was four-star recruit coming out of Denton, Texas and chose to play at Oklahoma over Alabama, Texas and others. He saw playing time immediately with the Sooners, starting seven games as a true freshman. While spending the majority of his career at free safety, Bowman has also seen 500-plus snaps both in the box and as a slot corner. His evaluation is a fairly simple one. Bowman is one of the best ball-hawks in this class thanks to his elite combination of range, ball skills and instincts. On the other hand, he's missed over a quarter of his career tackle attempts due to a lack of length and his slight frame.","Outstanding ball skills and instincts. Elite speed. Versatility to man up in the slot or play centerfield at free safety. Powerful upper body to stack blockers at contact punch. Long arms for a 6-foot-2 frame. Undersized to be a true safety. Has had major issues over his career bringing down ballcarriers. Big-bodied receivers can box him out in contested situations."
"178","Bryant, who is indeed named after the late NBA legend Kobe Bryant, was a full-time starter at Kansas over the past three seasons. At 5-foot-10 and 170 pounds, he is near the lowest weight percentile for an NFL cornerback. Yet, how he plays the game makes him impossible to write off. Beyond his good movement skills and plus arm length, Bryant is a top-tier competitor. He plays with an attitude you want from a defensive back. He yearns to be physical and is comfortable hand-fighting to disrupt and annoy receivers. This can get him in trouble with penalties, but it has its pros, too. He has ideal ball skills, notching multiple interceptions in every year of his college career. His feet and change-of-direction speed are slower than ideal, which likely limits him to off-zone coverage roles to keep things in front of him and downhill. His long speed appears average for the position. Despite his smaller and slender frame, he is a competitive run defender and tackler.","Fiery competitor. Will run at tackles full speed with a hitter's mentality. Playmaker who wants to make the biggest play, every play. Closing speed in off coverage is good enough to jump passes. Long arms to get hands on receivers and disrupt catch point. Very slender build limits how well he can wrap up tackles. High-waisted build makes change of direction less sharp. Aggressive mentality can get him in trouble."
"179","Burke missed all but one game in his senior high school season due to a dislocated shoulder, but that didn't stop him from making an immediate impact at Ohio State, as he started 11 games as a true freshman. He went on to start in every season of his four- year career with the Buckeyes. He's a natural mover and has plenty of experience in man and zone, but his skill sets lend themselves to a zone-heavy scheme in the NFL. That’s because of his lack of long speed/recovery speed. When Burke can space himself in off coverage correctly, he can mitigate his lack of long speed with some savvy bump-and-run coverage. If he can't dictate the route with good physicality in press, he can get beat over the top too easily. He put himself in good positions to make tackles but wasn't a reliable finisher in college. He was more reliable in 2024, though. Burke recorded just four interceptions in his career, but his forced incompletion rate was high across his first three seasons.","Natural, smooth mover. Good eyes in zone. Good feel for spacing to bait throws/warrant no throws. Willing to be in position in run defense. High forced incompletion rate despite lack of INTs. Feet can be a tick slow to mirror out of press. Top speed is average so, he can get grabby against faster WRs. Instincts and anticipation are still a work in progress."
"180","Dotson was named a second-team All-American at Kansas in 2024. He has a good build, ranking above the 50th percentile in height and length, though he is around the 40th percentile in weight. He has a good understanding of technique and spacing and can stop to change direction and trigger downhill at an adequate pace for the NFL. His arm length yielded a decent forced incompletion rate over the past two years, with multiple interceptions in each of the past three seasons. He has decent strength for run defense and tackling, though getting off blocks can be a struggle. He has suitable movement skills but leaves room for receivers to separate; he's never too far away, but he isn't as sticky as you want. Dotson is smooth in his backpedals and shuffle technique, which helps him stay close to receivers and lends itself to him playing in press man. While his teammate Cobee Bryant did most of the talking in Kansas’ cornerback group, Dotson was more of a silent killer.","Good twitch and change-of-direction movement ability. Nice recovery speed. Keeps his shoulders square when lining up tackles. Oily hips. Good stop-and-start control and explosiveness. Can get pushed off the line in press against bigger receivers. Foot speed could be faster, more precise and ready to explode."
"181","Fortune arrived at South Carolina as a safety but moved to cornerback in his redshirt season. He played as a rotational cornerback over the following two years before becoming a full- time starter in 2023 and 2024. He has a long, athletic build at over 6 feet. That length and strength help him disrupt the catch point in close coverage. He has a slender build but brings good pound- for-pound strength. Despite his safety background, he is an inconsistent tackler in timing and technique. He lacks the overall long speed and hip fluidity for press-man coverage. Fortune is more experienced, controlled and effective as an off-zone cornerback, primarily in Cover 3. He brought in nine interceptions over the past three seasons but recorded a low forced incompletion rate as a starter. That seems to stem from a lack of stickiness in single coverage over a lack of ball skills (he is a pretty natural catcher). He also consistently has his eyes on punching the ball out.","Ideal length (height and arms) for the NFL. Good length to disrupt the catch point when close in coverage. Always has his eyes on punching the ball out. Lateral movements are good for a player of his size. High missed tackle percentages in each of past three seasons. Currently lacks the lateral quickness needed for off-ball LB work. Anticipation needs to be a bit quicker for zone coverage."
"182","Hairston became a full-time starting cornerback in 2023 at Kentucky and missed a good chunk of 2024 with a shoulder injury. Mad Max, as he is nicknamed, has a quick play style that makes for a fun watch. He is a constant pre- and post- snap communicator and also gets verbal with wide receivers throughout the game. His height and length appear to be average for the position, but his 180-pound weight profile ranks in the single-digit percentiles (8th). Hairston’s hands are active in press, at the catch point and through the route. His interception total in 2023 stemmed more from bad throws, but his forced incompletion rate was above 10% over the past two seasons. He brings a feisty play style that, of course, can lead to penalties. He is one of the more explosive cornerbacks in the draft with some of the best top speed in the class.","Solid wrap-up tackler. Visible communicator pre- and post-snap. Shows a good understanding of run-fit duties. Adequate first-step quickness and acceleration. Very light build. Hands get grabby when he’s in trouble. Lacks true anticipation and can look of control at times."
"183","Hill committed to Arizona State but transferred to Nebraska after one season. He played as a full-time outside cornerback in 2024 but missed most of the year due to plantar fasciitis. Hill plays a physical brand of football. He knows he brings plus size for the position at over 6 feet and 210 pounds. He is a bit clunky when flipping his hips out of press and looks more natural in off coverage. He has the physical profile to play man but lacks the savviness to do so. His best work comes in zone assignments where he can keep things in front and come downhill. Because of his build, Hill is a strong run defender and tackler, making it tempting to put him closer to the line of scrimmage. He has some fluidity stiffness, so a move to safety could be in his NFL future, but he did not play there much in college. Despite his receiver background, he didn’t have much ball production outside of 2023. His overall athleticism seems good, but it’s hard to see it at all times.","Massive measurements for an outside cornerback. Good baseline of natural movement skills. Strong player, given his build. Shows flashes of good anticipation for breaking on the ball. Good understanding of spacing/leverage. Not super comfortable in straight backpedal from press. Footwork is clunky out of press. Athleticism could be lacking for the NFL."
"184","The No. 1 overall recruit in the 2022 class, Hunter is a legitimate NFL starter at cornerback and wide receiver. He lived up to the hype as the Heisman Trophy winner and a consensus All- American in 2024. His profile starts with a rare playmaker's mentality. Hunter’s long, lean frame gives him plus length at cornerback. His feet move fast, and his first-step explosiveness is very good to break on passes. He has the best ball skills of any defensive back I have ever scouted. He has good instincts in space but can get erratic, stemming from a desire to make a big play. His frame is lighter, leading to some strength and tackling deficiencies, but it looks like he can put on good weight in the NFL. His movements out of press-man coverage can be out of control. Playing him more in off-coverage zone allows him to hawk the ball and limit missteps. He also has plenty of talent to play man coverage. Most negatives feel like nitpicking, as Hunter boasts an All-Pro ceiling.","Impressive top speed/recovery speed. Height/length is a big plus in press coverage. Some of the best ball skills you'll ever see in a DB. Knack for baiting QBs and making them pay in zone. Elite zone coverage player in every way. Foot speed can be delayed due to longer legs. Lack of weight shows up when tackling and hand-fighting. Can be a bit out of control at times."
"185","Johnson earned five starts in 2022 as a true freshman before starting 11 games in Michigan's national championship campaign in 2023. He missed most of his 2024 season due to a severe case of turf toe, as well as a minor shoulder injury. The 6-foot-2, 200-pound outside cornerback has some of the quickest feet you will see. Though his limited long speed makes zone schemes his best fit, he can play press-man due to how quick he is to stop, start and change direction. His long arms come in handy for forced incompletions, a number that was near the 55th percentile over the past two years. His frame is leaner and lighter, but he still shows decent effort in run defense. Strength and tackling aren't his strong suits, though, and he was even more inconsistent there in 2024. When Johnson keeps his eyes on the quarterback in off-zone coverage, he has good instincts to jump routes and bait throws, as evidenced by his nine interceptions and three pick-sixes in college.","Change-of-direction ability is that of a much smaller corner. Versatile to play on left or right side. Very good understanding of leverages. Smooth when passing off receivers and picking them up in zone. Fluid transitions from backpedal to shuffle to full stride. Some inconsistent/ineffective timing with punches in press. Top speed is good, but doesn't appear to be great with recovery. Sloppy with tackling attempts in 2024."
"186","Longerbeam is a fast, explosive athlete, but he currently weighs only 175 pounds. He plays bigger than his size in coverage, and the vast majority of his college snaps came at outside cornerback. Longerbeam can frequently put himself in a good enough position in zone coverage to read the quarterback and impact coverage zones outside of his own. His tremendous foot quickness makes him a sticky red-zone coverage player. He has the long speed to stay with bigger wide receivers in press coverage. Longerbeam also has a knack for making plays on the ball, tallying two interceptions and nine pass breakups in 2024. He will need to add some weight and strength, but his quick feet, deep speed and long arms are a valuable combination.","Elite change-of-direction ability. Very good recovery speed. Long arms come into play at the catch point. Timed physicality at the catch point to prevent completions. Will overrun the ball carrier on run plays. Thin frame can get pushed around by run blockers. Peeks at the QB for too long and get beat deep in off coverage."
