player_name,player_key,team,position,headshot_url
Myles Bell,myles bell,UAlbany,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4426666.png
Matthew Bedford,matthew bedford,Oregon,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4426670.png
Jalen Bell,jalen bell,Memphis,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4426674.png
Kaiden Bennett,kaiden bennett,Delaware State,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4426688.png
De'Jon Benton,dejon benton,Hawai'i,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4426695.png
Mark Biggins,mark biggins,Campbell,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4426703.png
Jack Bouwmeester,jack bouwmeester,Texas,P,https://a.espncdn.com/i/headshots/college-football/players/full/4426752.png
Shadrick Byrd,shadrick byrd,Prairie View A&M,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4426840.png
Zach Calzada,zach calzada,Kentucky,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4426847.png
Chayce Chalmers,chayce chalmers,Stony Brook,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4426895.png
Kenan Christon II,kenan christon ii,Jackson State,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4426910.png
Antonio Clary,antonio clary,Virginia,S,https://a.espncdn.com/i/headshots/college-football/players/full/4426931.png
Anthonie Cooper,anthonie cooper,Arizona State,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4426967.png
Javien Cuff,javien cuff,UT Rio Grande Valley,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4426998.png
Vic Cutler,vic cutler,Louisville,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4427011.png
Levani Damuni,levani damuni,Utah,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4427017.png
Na'Drian Dizadare,nadrian dizadare,UT Martin,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4427081.png
Wyatt Draeger,wyatt draeger,Towson,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4427098.png
Quindarius Dunnigan,quindarius dunnigan,Michigan State,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4427117.png
Keyvaun Eady,keyvaun eady,Western Oregon,NA,https://a.espncdn.com/i/headshots/college-football/players/full/4427119.png
Jett Elad,jett elad,Rutgers,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4427135.png
Naki Fahina,naki fahina,Utah State,DT,https://a.espncdn.com/i/headshots/college-football/players/full/4427161.png
Myles Farmer,myles farmer,App State,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4427163.png
Noah Fenske,noah fenske,Southern Illinois,C,https://a.espncdn.com/i/headshots/college-football/players/full/4427177.png
Dequan Finn,dequan finn,Miami (OH),QB,https://a.espncdn.com/i/headshots/college-football/players/full/4427191.png
Ta'Quan Roberson,taquan roberson,Buffalo,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4427313.png
Xavior Gray,xavior gray,Northwestern,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4427328.png
Richie Hagarty,richie hagarty,Northwestern,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4427360.png
Tate Hallock,tate hallock,Western Michigan,S,https://a.espncdn.com/i/headshots/college-football/players/full/4427368.png
Cade McNamara,cade mcnamara,East Tennessee State,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4427455.png
Thomas Joe-Kamara,thomas joekamara,UAlbany,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4427607.png
Garrison Johnson Sr.,garrison johnson sr,The Citadel,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4427611.png
Marqui Johnson,marqui johnson,Bethune-Cookman,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4427622.png
Oscar Adaway III,oscar adaway iii,South Carolina,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4427630.png
Broderick Roman,broderick roman,Southern Miss,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4427641.png
Jermaine Johnson,jermaine johnson,Duquesne,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4427647.png
Sitiveni Havili Kaufusi,sitiveni havili kaufusi,Oklahoma State,DT,https://a.espncdn.com/i/headshots/college-football/players/full/4427684.png
Siale Taupaki,siale taupaki,UCLA,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4427804.png
Tony Mathis Jr.,tony mathis jr,Marshall,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4427916.png
Demetris Allen,demetris allen,UTSA,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4427959.png
Maverick McIvor,maverick mcivor,Western Kentucky,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4427966.png
Dontae McMillan,dontae mcmillan,Eastern Michigan,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4427971.png
Pat McMurtrie,pat mcmurtrie,James Madison,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4427977.png
Dawaiian McNeely,dawaiian mcneely,Valparaiso,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4427983.png
Jakai Moore,jakai moore,North Carolina,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4428046.png
Thomas Nance,thomas nance,Temple,TE,https://a.espncdn.com/i/headshots/college-football/players/full/4428095.png
Zion Nelson,zion nelson,SMU,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4428103.png
Mosai Newsom,mosai newsom,South Dakota,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4428112.png
Kendric Nowling,kendric nowling,Norfolk State,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4428141.png
Justin Olson,justin olson,Charlotte,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4428167.png
Luke Painton,luke painton,Massachusetts,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4428192.png
Jared Pedraza,jared pedraza,Southeast Missouri State,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4428214.png
Alec Pell,alec pell,Austin Peay,TE,https://a.espncdn.com/i/headshots/college-football/players/full/4428216.png
Jake Pope,jake pope,Illinois State,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4428255.png
Cecil Powell,cecil powell,Sam Houston,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4428267.png
Juwaun Price,juwaun price,Massachusetts,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4428272.png
Gino Quinones,gino quinones,Fresno State,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4428285.png
Trel Riley,trel riley,Southeast Missouri State,CB,https://a.espncdn.com/i/headshots/college-football/players/full/4428352.png
Brett Seither,brett seither,Georgia Tech,TE,https://a.espncdn.com/i/headshots/college-football/players/full/4428451.png
La'Vontae Shenault,lavontae shenault,Northeastern State,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4428475.png
Latrelle Smith-Leaks,latrelle smithleaks,William & Mary,S,https://a.espncdn.com/i/headshots/college-football/players/full/4428534.png
Blaine Spires,blaine spires,Pittsburgh,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4428559.png
Mateo Sudipo,mateo sudipo,Bowling Green,S,https://a.espncdn.com/i/headshots/college-football/players/full/4428605.png
Nate Temple,nate temple,Pittsburgh,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4428652.png
Smith Vilbert,smith vilbert,North Carolina,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4428758.png
Myron Warren,myron warren,Incarnate Word,DT,https://a.espncdn.com/i/headshots/college-football/players/full/4428786.png
Jaymason Willingham,jaymason willingham,Lindenwood,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4428900.png
Zaylin Wood,zaylin wood,Vanderbilt,DL,https://a.espncdn.com/i/headshots/college-football/players/full/4428925.png
Javin Wright,javin wright,Nebraska,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4428941.png
Isheem Young,isheem young,Memphis,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4428966.png
Justin Flowe,justin flowe,UNLV,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4428986.png
Haynes King,haynes king,Georgia Tech,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4428993.png
Arik Gilbert,arik gilbert,Savannah St,TE,https://a.espncdn.com/i/headshots/college-football/players/full/4428994.png
Sav'ell Smalls,savell smalls,Colorado,TE,https://a.espncdn.com/i/headshots/college-football/players/full/4428997.png
DeMonte Capehart,demonte capehart,Clemson,DT,https://a.espncdn.com/i/headshots/college-football/players/full/4429007.png
Antoine Sampah,antoine sampah,Campbell,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4429021.png
Chris Thompson Jr.,chris thompson jr,Tulsa,LB,https://a.espncdn.com/i/headshots/college-football/players/full/4429028.png
Turner Corcoran,turner corcoran,Nebraska,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429031.png
Marcus Dumervil,marcus dumervil,Arkansas,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429039.png
Jaylan Knighton,jaylan knighton,West Virginia,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4429043.png
Walker Parks,walker parks,Clemson,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429044.png
Jeff Sims,jeff sims,Arizona State,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4429066.png
JJ Evans,jj evans,Norfolk State,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429069.png
Keyvone Lee,keyvone lee,UNLV,RB,https://a.espncdn.com/i/headshots/college-football/players/full/4429077.png
Chad Lindberg,chad lindberg,North Carolina,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429078.png
Luke Doty,luke doty,South Carolina,WR,https://a.espncdn.com/i/headshots/college-football/players/full/4429079.png
Ethan Pouncey,ethan pouncey,Georgia Southern,DB,https://a.espncdn.com/i/headshots/college-football/players/full/4429081.png
Drew Pyne,drew pyne,Bowling Green,QB,https://a.espncdn.com/i/headshots/college-football/players/full/4429088.png
Geirean Hatchett,geirean hatchett,Washington,OL,https://a.espncdn.com/i/headshots/college-football/players/full/4429089.png
