"","url","title","player_from_title","position_from_title","college_from_title","date","height","weight","hand","arm","wingspan","dash40","cone3","shuttle","vertical","broad","positives","negatives","statistics","notes","overall","article_grade","overall_rank","position_rank","pro_comparison"
"20","https://bleacherreport.com/articles/10021379-zion-johnson-nfl-draft-2022-scouting-report-for-boston-college-iol","Zion Johnson NFL Draft 2022: Scouting Report for Boston College IOL","Zion Johnson","IOL","Boston College",NA,"6'2 5/8""","312",NA,"34""","6'10 3/8""","5.18","7.38","4.46","32""","9'4""","— Stout, compact build throughout his frame with thick limbs and a rugged, physical playing style. | — Plays with a low center of gravity, good pad level and very good play strength to root his feet and anchor against the bull rush. | — Impressive mobility in his lower half with a consistently wide, strong base and tight elbows to leverage blocks, sustain and maximize his power output. | — Smooth and patient in pass protection to handle stunts and twists with alert eyes, patience and the spatial awareness to maintain levels with his linemates. | — Outstanding run-blocker who creates consistent movement on double-teams with same foot/shoulder technique to hit, lift and drive opponents off the ball. Has good feel for when to overtake and release to the second level. | — Takes good tracks and angles as a puller and at the second level to line up his target with overwhelming strength to finish once latched. | — Provides thump to cave in and feed defenders on double-teams using a gallop technique and when uncovered looking for work in pass protection.","— Can lose his balance late in the rep against stout run defenders that find a way inside his frame for control. | — Doesn't redirect suddenly and can be late to pick up quick-trigger linebackers shooting gaps.","— 11 starts (10 at LG, 1 at LT)","— Was a 0-star recruit with one offer to play at FCS Davidson College. | — Two-year starter (19 starts) and All-Conference first-team selection at Davidson in a triple-option offense. | — Transferred to Boston College in 2019. Started seven games at left guard in 2019, 11 games at left tackle in 2020 and 11 games (10 at LG, 1 at LT) so far in 2021. | — Graded out as the team's best lineman in 2020 while missing only two snaps all season and was named a team captain. | — Johnson accepted an invite to the Senior Bowl in 2020 before deciding to return to school and again accepted the invite to attend this season. — Named the practice player of the week at the Senior Bowl.","Johnson is a former 0-star recruit who played in Davidson's triple-option offense for two years before transferring to Boston College in 2019. Johnson has started 29 games over that span (17 at LG, 12 at LT) in a predominantly multiple-run scheme. Johnson is a stout pass protector with the patience and processing to handle stunts effectively and the strength to anchor against power to create a firm pocket. He is also patient and accurate with his strike timing to create leverage with his hands and mirror against shiftier rushers who want to attack either edge. Johnson plays with a strong base, low center of gravity and excellent grip strength to hit, lift and drive defenders off the ball with the control to sustain and finish blocks consistently. He is fundamentally and technically sound with his aiming points and footwork to fit on different alignments on the first and second levels in all run concepts (inside/outside zone, duo). Johnson is more of a smooth than explosive athlete in space, so when he has to redirect and adjust his track against second-level defenders with a quick trigger, he can be a tick late getting to the spot. Overall, he is a polished, well-rounded player with the play strength, power and body control to be a reliable, plus starter in a downhill or multiple-run scheme.",NA,"20","IOL2","Kevin Zeitler"
"21","https://bleacherreport.com/articles/10021394-nakobe-dean-nfl-draft-2022-scouting-report-for-georgia-lb","Nakobe Dean NFL Draft 2022: Scouting Report for Georgia LB","Nakobe Dean","LB","Georgia",NA,"5'11 1/4""","229",NA,"31 7/8""","6'4 1/8""","DNP","DNP","DNP","DNP","DNP","— Great speed. Flies around as a blitzer, run defender and tackler in space. | — Brings physicality and energy. | — Smooth, comfortable mover in tight spaces. Quick feet and can redirect with ease. | — Good at beating blocks with quickness and agility. | — Great lower-body explosion and core flexibility. Can fight through contact and explode off a block to cover ground. | — Rare knack for finding work while sifting through chaos. | — Above-average tackler. Has the speed, strength and body control to consistently wrap up and run through tackles. | — Elite blitzer. | — Very good man coverage ability against RBs thanks to his eyes and speed.","— Small frame. Could become more of an issue against NFL OL. | — Not sure he has the power to knock blockers back in the NFL. | — Less-than-ideal length. Sometimes has issues being the one to initiate contact. | — Does not have the length or size to handle tight ends in coverage consistently.","15 G, 72 TOT, 10.5 TFL 6 SK, 2 FF, 2 INT, 5 PBU","— 2021 Butkus Award winner. | — 2021 first-team All-American. | — 2021 first-team All-SEC. | — Two-year starter. | — 5-star recruit in 2019.","Nakobe Dean has the best speed among linebackers in this class. Not only does he have easy sideline-to-sideline range, but he also has the explosiveness to fire downhill with great speed and the smooth hips to redirect himself in space, making him capable of finding the ball-carrier no matter the angle. Dean also has rare ability when working in congested areas. He does best to beat blocks with quickness, but he flashes the ability to do so with violence. Additionally, Dean plays with short, controlled steps when playing tight to the line of scrimmage, giving him incredible range in short areas when paired with his explosiveness. That explosiveness and feel for navigating space is also what makes Dean an elite blitzer, both off the edge and up the middle. Dean also brings solid fundamentals. Though he's prone to occasional false steps, particularly against splitters coming across the formation, he generally does well to see the picture developing versus a number of different run concepts and trigger on them. Dean showed comfort shooting gaps and flowing over the top as the back-side player, as well as the trigger and violence necessary to take on blocks as a front-side player. He is also a strong tackler, showcasing the body control to adjust his angle properly and the strength to finish plays. The questions with Dean come down to size and how many coverage tools he will need. He handled himself well from a physical standpoint in the SEC, but the NFL is a different level, and Dean's shorter frame could pose more issues than cropped up in college. In addition, Dean's coverage ability was often limited to man-to-man on the running back or popping off the line of scrimmage to play a short zone. He did not showcase much ability to handle tight ends, which makes sense given his smaller frame. Dean's speed, energy and craft for navigating congested areas give him an enticing foundation of traits to build upon. His size may make it difficult for him to ever cover tight ends down the field or blow up blocks the way he wants to, but he still wins in enough other ways to provide value. Dean could play both ""Mike"" and ""Will in the NFL, and he has the potential to be a multi-time Pro Bowler.",NA,"21","LB1","Lavonte David"
"22","https://bleacherreport.com/articles/10021334-travon-walker-nfl-draft-2022-scouting-report-for-georgia-dl","Travon Walker NFL Draft 2022: Scouting Report for Georgia DL","Travon Walker","DL","Georgia",NA,"6'5""","272",NA,"35 1/2""","7'0 1/4""","4.51","6.89","4.32","35.5""","10'3""","— Great length. Tall frame with long arms. | — Flashes a very good first step. | — Violent hands. Packs a major punch. | — Great upper-body strength. Can control blocks with ease. | — Very good lower-body strength. Anchors consistently. | — Very good speed and fluidity in space, especially for his size. | — Above-average bend and flexibility around the edge for his size. | — Great discipline and technique versus the run. | — Positional flexibility. Lined up anywhere from 3-tech to a stand-up 6-tech.","— Could stand to sequence his hand-fighting better as a pass-rusher. | — Tends to wait too long to shed blocks in the run game, especially when working laterally. | — Does not cover as much ground when coming off blocks as expected. | — Leg drive and power as a pass-rusher comes and goes. | — Acceleration to the corner is lacking. Does not build momentum through second and third steps as a pass-rusher.","13 G, 33 TOT, 7.5 TFL, 6 SK, 1 FR","— 5-star recruit in 2019. | — 2019 freshman All-SEC team. | — Dropped weight since getting to Georgia. Was listed at 290 his freshman year.","Travon Walker provides some of the best versatility in the class. At 6'5"" and 275 pounds, Walker played with his hand in the dirt as a 3-technique, 5-technique and 6-technique, as well as from a stand-up outside linebacker position. He'll likely play 5- and 6-technique in the NFL, but his flexibility at other alignments could make for some devastating situational packages. Walker thrives in run defense. His initial punch is as violent as it gets and he rarely misses. He tends to do a great job controlling blocks following his initial punch, allowing him to keep eyes in the backfield and leverage his gap correctly. Walker also has impressive lower-body power, which is showcased both by his first step and his anchor once engaged with blockers. Though he can be a hair slow in deciding to come off blocks at times, he generally executes his gap assignment without issue and can force the play to other defenders. On passing downs, Walker lacks consistency, but the tools are there. He flies off the ball at times (usually better when standing up) and displays better flexibility than expected for a player his size, which is a devastating combo when paired with his length and overwhelming punch. Walker needs to hone his sequencing as a pass-rusher, as well as be more consistent in how he drives his legs through contact, but he can still be disruptive as he is right now. Though rare, Walker also dropped into coverage at Georgia on occasion and did not look out of place. Walker's easiest projection is as a strong-side defensive end in an even front, but he could just as easily add a few pounds to be a 3-4 defensive end or drop a few to be a full-blown edge player. His run-defense skills and athletic profile will allow him to be a functional player early on as he works on becoming a more consistent pass-rusher.",NA,"22","DL2","Trey Flowers"
"23","https://bleacherreport.com/articles/10021336-logan-hall-nfl-draft-2022-scouting-report-for-houston-dl","Logan Hall NFL Draft 2022: Scouting Report for Houston DL","Logan Hall","DL","Houston",NA,"6'6 1/8""","283",NA,"32 3/4""","6'7 1/8""","4.88","7.25","4.44","30""","DNP","— Plays light on his feet as a pass-rusher. Effective when combined with sound hand usage. | — Leg drive is impressive. Constantly churning his legs with a nonstop motor and power behind each step. | — Heavy hands. Can jolt offensive linemen off balance with his first punch. | — Bully mentality. Stronger and more violent than his opponents, and makes sure to let them know it. | — Good anchor and ability to control blocks, especially for a sub-300-pounder. Can even get low at the snap and handle double-teams vs the run. | — Above-average sense for what kind of blocks he's facing in the run game and how to adjust. | — Alignment flexibility. Can play anywhere from 2i- to 5-technique. Fits today's NFL.","— Has moments where he leans when taking on blocks rather than keeping his weight over his feet. | — Height can lead to some natural leverage issues. Sometimes lumbers trying to settle down and get low when faced with pulling blocks in space. | — Height also makes it tough for him to bend low and work under blocks as a pass-rusher. | — Not a great gap shooter. Does better to come off the ball and control blocks rather than shoot through the line of scrimmage to create chaos.","12 G, 47 TOT, 13 TFL, 6 SK","— Recruited to Houston in 2018 as a 225-pound 3-star defensive end. Bulked up over the years to become more of an interior player. | — Two-year starter at Houston. | — Saw some work on special teams throughout his career. Blocked a field goal in 2019.","Logan Hall is a tone-setter up front. He packs a ton of power into his punch and plays with an attitude on every snap. In run defense, Hall's heavy hands and strong anchor allow him to take control of blocks early on. His lower-body strength and heavy hands show up just the same in the passing game. Hall has relentless leg drive as a pass-rusher in addition to active, violent hands. With that said, Hall is not the quickest or bendiest defensive lineman, which could explain why Houston moved him away from the edge after getting him on campus. He is not one to fire through open gaps and immediately blow up the backfield. His height can also occasionally give him some leverage issues when he needs to bend and manipulate his body around blocks. Hall's best fit will be in a front that moves him around from a 4i/5-tech position on base downs and kicks him inside on passing downs. That should allow his anchor and violent nature to keep linebackers clean on base downs, while using his power and relentless motor to muck things up inside on passing downs. Hall has the tools to be a cornerstone piece for a defensive line.",NA,"23","DL3","Arik Armstead"
"24","https://bleacherreport.com/articles/10021245-andrew-booth-jr-nfl-draft-2022-scouting-report-for-clemson-cb","Andrew Booth Jr. NFL Draft 2022: Scouting Report for Clemson CB","Andrew Booth Jr.","CB","Clemson",NA,"6'0 1/4""","194",NA,"31 1/2""","6'4 7/8""","DNP","DNP","DNP","DNP","DNP","— Rangy, long-armed athlete. Uses his hands and length well in press and attacking the ball. | — Loose, fluid hips allow him to open up and run | — Has a good burst out of his breaks. Best breaks are when he has a clear view of the ball and man. | — Plays with good positioning, especially when running downfield. Gets his head around to play the ball. | — Doesn't panic with the ball in the air. Has the ball skills to attack the ball or timing to play through the hands of the receiver. | — Shows good aggression in the run game. Attacks blockers with his physicality. Has very good strength for the position.","— Struggles with pad level at times. Can be high out of breaks, causing false steps and wasted movement. | — Long strider who takes a while to get going. Long speed downfield is a question. Looks to strain at times. | — Change of direction is an issue at times. Shows tightness when moving laterally. Slow reaction and recovery vs. in-breaking routes. | — Often is out of control when tackling in the open field.",NA,NA,"Andrew Booth Jr. is a full-bodied cornerback with long arms. He has the ability to play multiple techniques from man and zone. A long strider with above-average speed, Booth occasionally has trouble with his change of direction and breaking, with his top-end speed being a question of concern. There are times where he lacks the crisp breaks desired due to his high pad level. Though he has good press-man skills, Booth works best when he can see routes develop in front of him. With the ball in the air, he has shown the ball skills needed to defend short and deep passes as well as the ability to play through the receiver. One of Booth's best attributes is his physicality when taking on blockers. He has the strength to control and shed most blockers from the receiver position. Though Booth has the mindset needed in the run game, his tackling can be a question at times. He doesn’t always wrap up in the open field and occasionally ankle-bites, making shoestring tackles. Booth will need to play in a scheme that mixes its coverages and gives him the flexibility to play both press and off coverage.",NA,"24","CB5","David Long"
"25","https://bleacherreport.com/articles/10021338-devonte-wyatt-nfl-draft-2022-scouting-report-for-georgia-dl","Devonte Wyatt NFL Draft 2022: Scouting Report for Georgia DL","Devonte Wyatt","DL","Georgia",NA,"6'2 7/8""","304",NA,"32 5/8""","6'6 1/4""","4.77","DNP","DNP","29""","9'3""","— Great first step. Explodes off the ball with good pad level. | — Does a good job to fight across the OL's face into another gap. Ton of speed and energy. | — Good power and momentum behind his pads. Can knock blockers into the backfield right away. | — Above-average eyes and discipline. | — Great flexibility and movement skills. Can contort his body to make himself tougher to block. | — Plays with above-average anchor and balance when faced with a single blocker. Can stop, redirect and cross-face too.","— Hand placement wavers at times. Can get too wide and fail to get a clean punch off. | — Below-average anchor against double-teams. Can only beat them by splitting them early. | — Not as threatening of a pass-rusher right now as his explosiveness suggests he should be.","13 G, 39 TOT, 7 TFL, 2.5 SK, 2 FF, 1 FR","— 4-star high school recruit in 2017 but was deemed academically ineligible to play as a freshman. Wyatt then spent one season at Hutchinson Community College (Kansas) before going back to Georgia. | — Four-year contributor; two-year starter. | — 2021 first-team All-SEC.","Devonte Wyatt is stuck being the ""other"" Georgia defensive tackle in this class, but he is a good prospect in his own right. Though he may not have ideal length, he rocks a sturdy build that he can still move well enough to play all over the line. Wyatt played a little of everything between 0-tech and 5-tech at Georgia. In the NFL, he projects mostly as a 3-tech who can moonlight at 1-tech, but the versatility he showed in college was encouraging. Wyatt's game is defined by how well he comes off the ball. He can explode up the field to knock a lineman back, as well as rip across the line of scrimmage into a different gap. Wyatt also plays with excellent leverage to ensure he delivers on his explosiveness, which is absolutely necessary considering his average length and inconsistent hand placement. Wyatt also handles himself well in the running game against single blocks, in part because of how well he takes control early. He can then finish on plays thanks to his good balance to stay upright and eye discipline to see the backfield correctly. That said, Wyatt's anchor suffers immensely against double-teams because he does not have the raw strength in his lower body to withstand that much weight trying to move him. Early on, Wyatt's ability to come off the ball and play with discipline should be enough for him to be a quality starter while he works to get more consistent with his hands and develop a fuller pass-rushing approach.",NA,"24","DL4","Kenny Clark"
"26","https://bleacherreport.com/articles/10021349-arnold-ebiketie-nfl-draft-2022-scouting-report-for-penn-state-edge","Arnold Ebiketie NFL Draft 2022: Scouting Report for Penn State EDGE","Arnold Ebiketie","EDGE","Penn State",NA,"6'2 3/8""","250",NA,"34 1/8""","6'9 3/4""","DNP","DNP","DNP","38""","10'8""","— Top-notch flexibility around the edge, perhaps the best in the class. Can consistently get the edge against offensive tackles and turn back to the quarterback without being pushed too far behind the pocket. Also has rare ability to turn back up into the pocket and accelerate if the quarterback slides up. | — Hand usage and pass-rushing variety is a plus. Has an effective dip-and-rip as well a decent long arm to help unlock his flexibility around the edge. Flashes the ability to work down the middle of an offensive tackle and knife back inside, thanks to his quickness and understanding of how to make his frame ""skinnier"" when working past offensive tackles. | — Light on his feet for a player over 250 pounds. Shows the ability to feint a move inside to keep offensive tackles short in their set before working back outside. | — Flashes the build-up power to bull-rush through offensive tackles. Doesn't have the heaviest hands or the ability to summon his strength from any position, but when he fires off the ball and gets a few steps to build up speed, he can pop an offensive tackle in the chest and work them back into the quarterback. Will never be his signature move, but he has it in his arsenal. | — Has the speed and quickness to fly right through the gap as a run defender on occasion. Also a good chase-down defender from the back side of run plays.","— First step is nothing special. Isn't slow off the ball, but he does not come flying off the ball the way many elite pass-rushers do. | — Strength as a pass-rusher runs hot and cold. If snatched up by the offensive tackle early in the rep, does not always have the strength to shed them off and work back to the quarterback. Needs to win reps before offensive tackles get the jump on him (which he usually does). | — Same strength issues show up against the run. Offensive tackles can turn him out of gaps. Also does not always show the power to fit up the run against pulling players, even if willing to do so. Strength issues against the run do not make him unplayable, but he likely will not be a plus-value run defender in the NFL, at least not early on. | — Could improve his technique as a run defender. Would like to see more reps where he stays square on the line of scrimmage, gets two hands into an offensive tackle’s frame and raises them above his eyes to take control of the block. Perhaps improved technique in this regard would make up for his middling anchor.","12 G, 62 TOT, 18 TFL, 9.5 SK, 2 FF","— Transferred from Temple to Penn State for his final season.","Arnold Ebiketie spent the first three seasons of his career at Temple. Though he was an effective player, he accrued only six sacks over those three seasons (two as a sophomore and four as a junior). Ebiketie chose to make a bold transfer up to Penn State in 2021, and it’s done wonders for his draft status. Ebiketie is a dangerous pass-rusher off the edge. His first step will not amaze anyone, but everything afterward is a marvel. Ebiketie’s flexibility around the edge and ability to make himself a tough target for offensive linemen to hit is up there with anyone else in this class. Moreover, his ability to turn the corner all the way back up to the quarterback and finish on pass-rushing reps is exactly what scouts should want in a speed-rusher type. Ebiketie also has the precise hand usage to use a variety of pass-rush moves and consistently change up his approach to keep offensive tackles guessing. If anything, Ebiketie’s issue is that his strength can be dependent on gaining momentum, leaving him a bit more vulnerable against the run. He does not get bounced off the line of scrimmage every rep, but there will be times where creases around him get opened up wider than they should. Ebiketie does have the speed and hustle to be a good backside-chase player, though, so he does still have some function against the run. Ebiketie should at least be an effective designated pass-rusher off the bench early in his career before ascending to a legitimate starting role. Continued improvement in the strength department would help raise the floor for Ebiketie’s game, but the pass-rushing traits are all there for a potential 10-sack player in the NFL.",NA,"26","EDGE4","Harold Landry III"
"27","https://bleacherreport.com/articles/10021516-treylon-burks-nfl-draft-2022-scouting-report-for-arkansas-wr","Treylon Burks NFL Draft 2022: Scouting Report for Arkansas WR","Treylon Burks","WR","Arkansas",NA,"6'2""","225",NA,"33 1/2""","6'7 1/8""","4.55","7.28","DNP","33""","10'2""","— Good height with a very good build for the position. | — Natural ball-catcher with very large hands. Ball sticks as soon as it hits his gloves. | — Smooth athlete. Is always under control and shows off very good burst out of breaks and with the ball in his hands. | — Aligns all over the formation for Arkansas. The team tried to get the ball in his hands as much as possible. | — Flashes the ability to make the spectacular catch. Can come down with any throw near him. | — Valid weapon on handoffs and at all three levels of routes. Has good speed for his size to split defenders. | — Hard tackle for DBs. Has good play strength and balance. | — Has returned punts and kicks in his career.","— Effort wanes when blocking and when he isn’t a primary read on concepts. | — Lacks attention to detail at times. Seems to be guessing on what his assignment is. | — Needs to continue to refine route running technique. Can be loose on breaks.","12 G, 66 REC, 1,104 YDS (16.7 AVG), 11 TD, 14 ATT, 112 YDS (8.0 AVG), 1 TD","— 2021 first-team All-SEC","Treylon Burks is a big-bodied receiver who aligned across the formation for Arkansas but projects as an outside receiver at the NFL level. Burks is a good overall athlete who consistently shows burst, balance and body control to smoothly start and stop on routes. His very good burst also shows up when he gets north with the ball in his hands. Burks is able to split defenders in a hurry, and his play strength lets him break through tackles from smaller defenders. He has large hands that allow him to pluck throws out of the air with ease, and he can often make the spectacular catch away from his body, although he will have some concentration drops crop up. Arkansas likes to move Burks around the formation to highlight his talent, often putting him in motion before targeting him with a throw or designed run. And while he is a talented athlete, he will need to continue to refine his technique and route-running. Burks flashes body control and the ability to win on vertical and straight-line routes but is inconsistent on his shorter route breaks. He also lacks attention to details on plays where he isn’t highlighted, often listlessly running his route or giving inconsistent effort blocking knowing that the ball isn’t coming his way. Overall, Burks is a unique talent who has the potential to be a No. 1-type option at the NFL level, but he is far from a finished product. He will need to improve on some details to make the most of his ability, which makes his floor to be an every-down contributor a bit lower when he starts his professional career. But the unique skillset Burks has at his size and with his athleticism makes his potential sky high. And he could be one of the more dynamic weapons in the NFL if he goes to the right team with a creative play-caller and a little bit of patience.",NA,"27","WR6","Josh Gordon"
"28","https://bleacherreport.com/articles/10021421-bernhard-raimann-nfl-draft-2022-scouting-report-for-central-michigan-ot","Bernhard Raimann NFL Draft 2022: Scouting Report for Central Michigan OT","Bernhard Raimann","OT","Central Michigan",NA,"6'6 1/8""","303",NA,"32 7/8""","6'8 1/8""","5.05","7.46","4.49","30.5""","9'9""","— Very good athletic ability, body control and weight distribution to stay centered and balanced on blocks. | — Adept and crafty use of hands to consistently find his latch, create leverage, reset when needed and tie up defenders. | — Plays firm with his eyes up, head back and a strong posture to keep his head out of blocks. | — Despite not having a lot of sand in his lower half, he smoothly transitions to his anchor with sound technique to brace, create force through the in-steps of his feet and throttle down momentum from the bull rush. | — Sticky run-blocker with the hand placement and pop to create lift at the point of attack and consistent leg drive to strain, steer and stay attached to blocks. | — Dependable and steady finisher.","— Tends to prematurely open his hips in pass protection when speed-rushers attack his edge, creating a soft outside corner. | — Lacks the girth and weight in his lower half to drop an immediate anchor when needed. | — Can be late to strike near the top of the quarterback's drop, leaving his outside hand vulnerable to getting chopped or swiped. | — Pads tend to rise in the ""drive"" portion of angle-drive blocks, giving defenders an opportunity to access his frame and shed him off. | — Has middling arm length that can become an issue against certain NFL body types.","— 12 starts at left tackle | — First team All-MAC selection","— Born and raised in Vienna, Austria, before becoming a foreign exchange student his junior year of high school (2016) in Michigan. This led to a 2-star rating as a tight end recruit and an offer from Central Michigan. | — Raimann returned to Austria for his senior year of high school, served six months in the military and didn't play football in 2017. He returned to the U.S. in 2018 and went on to play two seasons (11 starts) at tight end for Central Michigan before making the switch to offensive line at 245 pounds. | — 18 career starts at left tackle. | — Has a 3.8 GPA as an Actuarial Science & Statistics double major. | — Selected to Bruce Feldman's annual ""Freaks List."" | — Will be 25 years old in Week 1 of the 2022 NFL season.","Raimann is a two-year starter in Central Michigan's spread, zone-based scheme with 18 career starts at left tackle. Despite being an older prospect, he is still very new to football and even newer to playing on the offensive line. Raimann is surprisingly polished, with an uncanny knack for staying attached to blocks using skilled, strong hands. He also has excellent body control and weight distribution to recover and maintain his center of gravity. Raimann understands how to sustain and steer in the run game and cut grass in his anchor despite not having a lot of power or weight to throw around. He is also a dependable and reliable finisher who runs his feet through the whistle. While Raimann needs to continue working on staying square longer in his pass set to avoid creating a short corner against wider rush angles, he has the necessary foot quickness, balance and dexterity to work around it, recover and be a functional pass protector right away and a plus pass protector if he can correct it. Overall, Raimann's age and inexperience are unique and present a bit of a conundrum for how to value his long-term outlook. On one hand, he is going to be 25 years old as a rookie, which theoretically gives him less time for peak play. On the other hand, he has a longer runway for improvement than other rookies due to how new he is to football and the offensive line. Given how rapidly he has improved in such a short amount of time and how skilled he already is, the optimistic view seems like a safe bet. Raimann's athletic ability, body control, balance and competitive toughness make him an immediate starter with the toolkit to improve over time.",NA,"28","OT4","Jake Matthews"
"29","https://bleacherreport.com/articles/10021422-trevor-penning-nfl-draft-2022-scouting-report-for-northern-iowa-ot","Trevor Penning NFL Draft 2022: Scouting Report for Northern Iowa OT","Trevor Penning","OT","Northern Iowa",NA,"6'7 1/8""","325",NA,"34 1/4""","6'10 7/8""","4.89","7.25","4.62","28""","9'3""","— Light on his feet with fluid movement skills in space. | — Prototypical height, weight and length. | — Imposes his will with a bully mentality and dominates competition regularly. | — Uses a mixture of crafty hand techniques (snatch, flash) to keep rushers guessing. | — Generates major torque on command to toss defenders off their feet. | — Has the quickness and play strength to operate in any scheme.","— Tends to drop his outside foot, open his hips early and create a short corner against wider-aligned speed-rushers who attack his edge. | — Pads tend to rise after the snap and he plays high too often, leaving his inside shoulder vulnerable to getting opened up by speed to power. | — Has moments where he looks disinterested or bored, playing down to competition.","— 12 starts at left tackle.","— Has put on close to 100 pounds since arriving on campus as a lightly recruited 235-pound tight end. | — Set the school squat record at 625 pounds. | — 33 career starts. | — Was on Bruce Feldman's Freaks List.","Trevor Penning is a three-year starter with starts at both tackle spots and guard. He has prototypical size with light feet and high-level power to play on an island and generate movement as a run-blocker on double-teams, down blocks and frontside kick-outs. Penning does a nice job of snatching defenders who lean in pass protection, with the ability to drop his hips and anchor quickly. He imposes his will and dominates competition with overwhelming size and torque, but he has occasional lapses where he appears to go through the motions, letting defenders slip blocks too easily. Penning tends to turn his hips early toward widely aligned speed-rushers who attack the corner with high pads, leaving his inside shoulder vulnerable to getting lifted and pried open. He also needs to work on resetting his hands quicker when his punch lands high on defenders to prevent getting forklifted and shed. Penning has ideal size with high-level power, above-average athletic ability and the demeanor to be a quality starter right away. He can become an impact starter if he can learn to play with more discipline, consistent leverage and hand placement.",NA,"29","OT5","Matt Feiler"
"30","https://bleacherreport.com/articles/10021403-chad-muma-nfl-draft-2022-scouting-report-for-wyoming-lb","Chad Muma NFL Draft 2022: Scouting Report for Wyoming LB","Chad Muma","LB","Wyoming",NA,"6'2 3/4""","239",NA,"31 5/8""","6'3 3/4""","4.63","7.06","4.28","40""","10'9""","— Good build. Tall, long frame with muscle. | — Good speed. Can cover in space as well as attack the perimeter versus the run. | — Great short-area flexibility and explosion. | — Elite tackler. Wraps up and drives to finish. Very physical. | — Good eyes and discipline. Deciphers different run concepts well and reads run versus pass effectively. | — Comfortable playing tight to his DL and navigating cluttered spaces. | — Good at evading blocks in space. Uses hands to keep himself clean. | — Good play strength at times. | — Above-average zone-coverage ability. Disciplined eyes and smooth movements. | — High-energy player. Always playing to the end.","— Physicality at the point of attack runs hot and cold. Could attack blocks with more fire at times. | — Can get flat-footed, especially if playing man-to-man on TEs. | — Moments of stiff hips when flying downhill. Takes too many steps to settle down.","13 G, 142 TOT, 8 TFL, 1.5 SK, 3 INT","— Two-year starter. | — First-team All-Mountain West in both 2020 and 2021.","Chad Muma is a converted safety whose skill set offers a little bit of everything. In Wyoming's defense, Muma almost exclusively played to the field in nickel sets and would occasionally play down on the line of scrimmage in certain situations. Playing in space so much allowed Muma to regularly showcase his speed and outstanding angles of pursuit toward the ball, both when working to the perimeter or back to the core of the formation. Muma also has a natural feel for the run game, both in terms of tracking the ball-carrier and being aware of blockers. His ability to dodge blocks in space is also fantastic. Moreover, Muma is a dominant tackler, showcasing the technique and strength to strike, wrap up and bring the ball-carrier down consistently. Unlike most converted safeties playing linebacker, Muma crosses the threshold for strength and willingness to play in cluttered spaces. Though his violence at the point of attack wavers at times, he generally anchors versus the run well, which is part of why he saw some reps on the edge. Muma's strength shows up better as a tackler, as he often stood opponents up in the gap. As expected of a former safety, Muma is most impressive in coverage. His feel for zone coverage is outstanding, particularly with respect to what windows are behind him. He also does a great job staying on top of routes out of the backfield in man coverage. Muma occasionally shows stiff hips when flying downhill to rally and tackle, as well as when forced to match up man-to-man in space, but his zone skills should be more than enough to keep him on the field. Muma could play all three linebacker spots with the right coaching, though ""Mike"" may offer the most natural transition. Muma's run-game skills and elite tackling give him a relatively high floor, while his coverage tools and athleticism open the door for real-deal potential. Muma should be able to play in the NFL right away and has the makings of a Pro Bowl player by the end of his rookie contract.",NA,"30","LB2","Sean Lee"
"31","https://bleacherreport.com/articles/10021464-jaquan-brisker-nfl-draft-2022-scouting-report-for-penn-state-safety","Jaquan Brisker NFL Draft 2022: Scouting Report for Penn State Safety","Jaquan Brisker",NA,"Penn State Safety",NA,"6'1 3/8""","199",NA,"31 3/4""","6'4""","4.49","DNP","DNP","34.5""","10'4""","— Smart player who shows instincts and awareness for the game. | — Excellent in the box. Shoots gaps and holds up very well when taking on linemen. | — Has very good burst when blitzing and the flexibility to bend on the edge. | — Does a great job of tracking the ball in the open field and through traffic. | — Violent tackler who arrives at the ball with bad intentions. | — Can play underneath coverage in zone as well as man coverage from the slot. | — Plays the post safety with range and timing. Has the skills to play the ball in the air.","— Has rocked on his heels when pressed with speed. | — Tight pedal at times; has hip stiffness when flipping to recover. | — Can struggle when asked to disguise deep coverage. Needs to be preset in deep coverage before the play.","12 G, 63 TOT, 6 TFL, 2 INT, 5 PBU, 1 FR","— Three-year player, two-year starter","Brisker is a physical safety who has developed well over his career. He took advantage of the “COVID” year and used the offseason to improve some of the weaker parts of his game. On the field, Brisker is a multi-use safety who does his best work in the box. There, he uses his hands when taking on blocks and has the speed to track and chase down ball-carriers. He can blitz between the tackles as well as on the edge, where he shows a burst and bend. A physical tackler, Brisker uses all of his 204-pound frame to punish anyone with the ball. As he moves back from the line of scrimmage, he can still track and make open-field tackles. In the passing game, he has great awareness in zones and the understanding for his role and the defense as a whole. When playing man, he has good feet in his pedal, although there are times when speed can put him in unfavorable positions. He has good lateral quickness to play catch technique and does a great job of swiping through the reception point to separate the receiver and the ball. Brisker can hold his own while playing as a deep safety, although there were times when he was burned by not being completely set. Other than that, he has shown some range and ability to play deep balls on the sideline. Brisker has a high ceiling and room to grow. His physicality and overall athleticism are staples of his game and will easily translate to the pros. Look for Brisker to be selected on Day 1.",NA,"31","S2","Harrison Smith"
