"","url","title","player_from_title","position_from_title","college_from_title","date","height","weight","hand","arm","wingspan","dash40","cone3","shuttle","vertical","broad","positives","negatives","statistics","notes","overall","article_grade","overall_rank","position_rank","pro_comparison"
"1","https://bleacherreport.com/articles/10021355-kayvon-thibodeaux-nfl-draft-2022-scouting-report-for-oregon-edge","Kayvon Thibodeaux NFL Draft 2022: Scouting Report for Oregon EDGE","Kayvon Thibodeaux","EDGE","Oregon",NA,"6'4""","254",NA,"33 1/8""","6'7 1/2""","4.58","DNP","DNP","DNP","DNP","— Perfect build for the position. Long, lean frame that still holds plenty of weight and muscle. | — Good first step. Gains a ton of ground right off the snap. | — Acceleration through his second and third steps is excellent. Can win the corner straight away. | — Very good flexibility. Can get low, bend around the edge and turn to explode back to the QB. | — Flashes of good power. Not a true bull-rusher but has it in his arsenal. | — Great change of direction and explosiveness. Allows him to knife inside as a pass-rusher. | — Above-average anchor against the run. | — Great speed. Shows up when finishing as a pass-rusher, as well as in space against the run. | — Surprising coverage versatility. Was regularly asked to drop and cover at Oregon and did so effectively.","— Hand usage needs work. Too often just latches on rather than striking with his hands. | — Can struggle against non-zone runs. Does not always see pullers and kickout blocks coming to him.","10 G, 49 TOT, 12 TFL, 7 SK, 2 FF","— 5-star and second overall recruit in 2019. Oregon's highest-rated recruit in school history, per 247Sports. | — Three-year starter. | — Was hampered in 2021 by an ankle injury early in the season. Injury forced him to miss the Ohio State game.","Kayvon Thibodeaux checks every box for a high-end pass-rusher with potential through the roof. Primarily a speed-rusher, Thibodeaux shows threatening burst off the snap and accelerates as well as anyone through his next few steps, regularly giving him the outside edge against offensive tackles. While Thibodeaux's hand usage and pass-rushing plan could use some development, he already has the speed, strength and bend to regularly win around the outside in rare fashion. Few players can bend and explode the way he can. Thibodeaux also has the side-to-side suddenness to work inside counter moves and disrupt inside when the opportunity arises. Thibodeaux is also comfortable from a number of alignments, from being head-up over the tackle to all the way out in a Wide 9. Though a pass-rusher first and foremost, Thibodeaux also has the right traits—speed, length and enough anchor—to contribute in the run game right away. He can rip through the backfield as well as stand up a blocker in his gap and set the edge. Thibodeaux even has added value on passing downs in that he can drop to play the flat area comfortably, which could add extra value for some teams. It may take a year or two for Thibodeaux's technique and pass-rushing plan to catch up to his talent, but the fact that he has been as effective as he has to this point while only showing adequate hand usage is a testament to all the other tools he has. Thibodeaux can be a good player in any scheme right out of the gate and has the long-term potential to be an All-Pro.",NA,"1","EDGE1","110% Josh Allen"
"2","https://bleacherreport.com/articles/10021425-evan-neal-nfl-draft-2022-scouting-report-for-alabama-ot","Evan Neal NFL Draft 2022: Scouting Report for Alabama OT","Evan Neal","OT","Alabama",NA,"6'7 1/2""","337",NA,"34""","6'11""","DNP","DNP","DNP","DNP","DNP","— Exceptionally explosive and smooth out of his stance at 350 pounds. | — Has the range, footwork and weight distribution to play on an island. | — Ideal length with powerful, jolting hands to strike through the hands of rushers with accurate hand placement to create a quick, overwhelming latch. | — Syncs his hands and feet together on contact to redirect, recover and mirror up the arc against speed and inside to cut off counters. | — Shows excellent mobility and pad level as a run-blocker to get into his fit as the low man with the hip snap to displace on angle-drive, double-team and zone cut-offs. | — Impact puller to both sides with the burst and agility to track moving targets and make a difference on screens, counters, tosses and sweeps.","— Can adjust more quickly against sudden post snap movement as a run-blocker to avoid overextending into contact and losing his balance. | — Tends to get wide with his hands at the point of attack on angle-drive blocks in the run game in an attempt to wrap up defenders and is late resetting his hands inside, sacrificing some control and balance through contact. | — Will lean on rushers when driving them past the QB, leaving him vulnerable at the top of the QB's drop to falling off of blocks when rushers plant and redirect inside.","— 15 starts at left tackle.","— Former 5-star recruit and No. 1 offensive tackle in the nation out of IMG Academy in Bradenton, Florida. | — Started 13 games at left guard as a freshman, 13 at right tackle as a sophomore and 15 games at left tackle as a junior. | — Attended the 2021 OL Masterminds event in Frisco, Texas. | — Listed as the most physically gifted player in the nation, according to Bruce Feldman's annual ""Freaks List."" | — Will be 21 years old in Week 1 of the 2022 NFL season.","Neal is a former 5-star prospect with a rare blend of size, athletic ability, balance and play strength. As a pass-protector, Neal explodes out of his stance with silky footwork to get to his landmark under control and square with the weight distribution and posture to effectively mirror and cut off counter moves. He has excellent length and powerful, jolting strikes to punch through the hands of rushers into their frame and latch with overpowering grip strength. Neal has a tendency to lean into rushers up the arc, leaving him vulnerable to falling off blocks when they plant and attempt to redirect inside at the top of the QB's drop that will need to get cleaned up. As a run-blocker, Neal plays with tremendous pad level, play strength and quickness to fit, drive and overwhelm defenders on down, double-team and cut-off blocks. He has good agility and nimbleness to track moving targets in space as a puller and lead blocker. Neal needs to maintain a stronger/wider base through the 'drive' portion of blocks and to better adjust to sudden post-snap movement across his face to prevent getting overextended and missing his target. He also needs to tighten up his hand placement on contact and reset quicker inside of defenders to prevent getting pulled off balance and falling off blocks. Neal's blend of physical traits, polish despite limited time at one position and youth make him an immediate-impact starter at either left or right tackle with Pro Bowl potential if he can play with better overall posture and hand placement in the run game.",NA,"2","OT1","Marcus Gilbert"
"3","https://bleacherreport.com/articles/10021424-ikem-ekwonu-nfl-draft-2022-scouting-report-for-north-carolina-state-ot","Ikem Ekwonu NFL Draft 2022: Scouting Report for North Carolina State OT","Ikem Ekwonu","OT","North Carolina State",NA,"6'4""","310",NA,"34""","7'0 1/4""","DNP","7.82","4.73","29","9'0""","— Unbelievable combination of size, power and athletic ability. | — Dynamite in his hands to jar and shock defenders on contact. | — Bulldozes defenders across the field once he gets inside their frame. | — Twitchy, smooth movement skills to glide around the field with excellent speed to track and erase second- and third-level targets. | — Has a vicious snatch/trap technique to end reps quickly in pass protection.","— Technique started to break down as the season progressed with a series of repeated mistakes. | — Needs to shore up his landmarks in his 45-degree set to reduce the number of times he oversets and opens the door for inside counters. | — Hit-and-miss strike location using his hands that leaves him vulnerable to rushers with a plan and understanding of how to set up their moves. | — Can unnecessarily open his hips early in his vertical set rather than taking an extra kick or two to stay square longer. | — Tends to fly out of his stance on frontside, outside-zone kick-out blocks, opening the door for alert defenders to cross his face for quick inside penetration.","— 11 starts at left tackle.","— Former 3-star recruit with offers from Yale and Harvard who played both offensive and defensive line, was the anchor in the relay for track and won a state championship as a wrestler. | — The name Ikem (pronounced ee-kem) means ""my effort will not be in vain."" | — His father came to the United States from Nigeria, played college basketball and is a doctor. His mom is a former high school track star, his sister is in medical school, one of his two brothers is a linebacker at Notre Dame, while his other brother is an animator for various Netflix shows. | — Earned second-team All-ACC honors as a sophomore in 2020 at both guard and tackle. | — Academic All-ACC performer for two straight years coming into his 2021 junior season.","Ikem Ekwonu is a former 3-star recruit with a state championship under his belt as a wrestler and impressive track career running the anchor position in the relay at 285 pounds. Ekwonu plays inside the Wolfpack’s zone-heavy run scheme while operating on an island for the bulk of his reps as a pass protector. He has a special blend of size, power and athletic ability to go along with a tenacious, nasty demeanor as a finisher. Ekwonu is able to hit, lift and drive defenders around the field and off the screen while imposing his will at an unmatched level relative to other Division I linemen. He fires out of his stance with light feet in his 45-degree sets and heavy hands to strike and stun rushers on contact. He has the quickness to mirror against counters and ride rushers deep in the pocket past the QB’s drop, but he has a recurring issue of oversetting that leaves him susceptible to losing inside. He also needs to stay square a little longer in his vertical set to avoid giving up two-way go's. As a run-blocker, Ekwonu uses a stunning blend of athletic ability, size and power to dominate on the front and backside of wide-zone runs and in space as a puller to both sides. His ability to track down smaller targets in space as a puller is special, and it results in at least a few spectacular blocks per game. He does have a tendency to get overaggressive at the point of attack on angle-drive and down blocks with a need for more control and patience to his game. Ekwonu will need to learn to harness his aggressive nature and play with better precision before reaching his full potential at tackle, but he has A+ physical traits and the white-hot motor to appeal to scouts and coaches at multiple positions. He has the versatility to be a longtime impact starter at either tackle or guard in any scheme.",NA,"3","OT2","Jason Peters"
"4","https://bleacherreport.com/articles/10021316-derek-stingley-jr-nfl-draft-2022-scouting-report-for-lsu-cb","Derek Stingley Jr. NFL Draft 2022: Scouting Report for LSU CB","Derek Stingley Jr.","CB","LSU",NA,"6'0 1/4""","190",NA,"30 5/8""","6'2 1/8""","DNP","DNP","DNP","DNP","DNP","— Willing in run support. Shows good quickness and ability to slip blocks with physicality to stick his nose in on tackles. | — Can be physical in block destruction. Uses hands well to control receivers. | — Triggers quickly to run reads. Displays very good tackling in the open field. | — Fluid athlete with the ability to quickly sink his hips while showing seamless hip swivel. | — Patient in press at the line of scrimmage, also displaying very good lateral quickness to keep leverage and cushion. | — Possesses very good speed and recovery speed to quickly get back in phase with the receiver. | — Versatile player with the ability to play in zone coverage. Has very good vision and anticipation. Looks to bait quarterbacks and jump routes. | — Tracks the ball in the air very well. Has the ball skills needed to succeed at the next level.","— Lacks strength and physicality when tackling bigger backs. | — Can get shielded in the run at times. | — Occasionally gets lazy or bored. Allows other defenders to make tackles or play on ball.","3 G, 8 TOT, 3.5 TFL, 1 FF","— Injured left foot in summer. Was able to play three games before sitting out and .css-wrcrjw{margin:0;font-size:1.6rem;-webkit-text-decoration:none;text-decoration:none;font-family:Proxima Nova,Proxima Nova Fallback Helvetica,Proxima Nova Fallback Arial;font-weight:700;font-style:normal;letter-spacing:0rem;line-height:1.92rem;color:var(--br--palette-foreground__link__secondary__default-mainChannel);font-size:inherit;overflow-wrap:break-word;white-space:normal;}.css-3nqh9c{-webkit-text-decoration:underline;text-decoration:underline;text-decoration-color:rgba(var(--br--palette-primary-mainChannel) / 0.4);margin:0;font-size:1.6rem;-webkit-text-decoration:none;text-decoration:none;font-family:Proxima Nova,Proxima Nova Fallback Helvetica,Proxima Nova Fallback Arial;font-weight:700;font-style:normal;letter-spacing:0rem;line-height:1.92rem;color:var(--br--palette-foreground__link__secondary__default-mainChannel);font-size:inherit;overflow-wrap:break-word;white-space:normal;}.css-3nqh9c:hover{text-decoration-color:inherit;}.css-lu48cp{margin:0;font:inherit;color:var(--br--palette-primary-main);-webkit-text-decoration:underline;text-decoration:underline;text-decoration-color:rgba(var(--br--palette-primary-mainChannel) / 0.4);margin:0;font-size:1.6rem;-webkit-text-decoration:none;text-decoration:none;font-family:Proxima Nova,Proxima Nova Fallback Helvetica,Proxima Nova Fallback Arial;font-weight:700;font-style:normal;letter-spacing:0rem;line-height:1.92rem;color:var(--br--palette-foreground__link__secondary__default-mainChannel);font-size:inherit;overflow-wrap:break-word;white-space:normal;}.css-lu48cp:hover{text-decoration-color:inherit;}getting procedure done.","Derek Stingley Jr. is a crafty defensive back who was interchangeable throughout LSU’s secondary in 2020. He is a fluid athlete with a smooth running style and hip swivel. Stingley shows very good patience in press while using his hands well to control receivers in both the run and pass game. He has the speed to run with receivers downfield and the recovery speed to make up for when out of position. He sinks his hips well to get in and out of breaks while showing a good burst to the reception point. Stingley plays with good physicality in the run game, with the willingness to tackle. He reacts quickly to the reads, doing a good job in block destruction. He occasionally struggles with bigger blockers and the tackling of bigger running backs, though. Stingley has the ideal length teams are looking for in cornerbacks. Paired with his elite athleticism, ball skills and scheme flexibility, he should be an early pick for the cornerback positions. A foot injury kept him out of all but three games this season, so he will have to prove to doctors that he is back to 100 percent.","8.9 (Impact Player - 1st Round)","4","CB1","DeAngelo Hall"
"5","https://bleacherreport.com/articles/10021520-drake-london-nfl-draft-2022-scouting-report-for-usc-wr","Drake London NFL Draft 2022: Scouting Report for USC WR","Drake London","WR","USC",NA,"6'3 7/8""","219",NA,"33""","6'5 3/4""","DNP","DNP","DNP","DNP","DNP","— Excellent size and length for the WR position. | — Good body control for his size. Can sink when he has to break on his routes and can bend enough to win leverage against DBs. | — Good overall route-runner who understands how to tempo his routes to keep CBs off balance. Able to stay tight at the top of his routes, which is even more impressive given his size. | — Very good hands with excellent catching range. Is comfortable extending away from his body to haul in throws. Makes his big frame even bigger by snatching throws in traffic. | — Not overly shifty but can create yards after the catch because of balance and body strength. Smaller defenders bounce off of him. | —.Has burst with the ball in his hands that shows he’s viable on screens and underneath throws. Can get north in a hurry. | — Understands when to settle in soft spots versus zone coverages and stay friendly to the QB on his routes. | — Has the flair for the spectacular catch. | — Willing blocker who will attempt to find work down the field for his teammates.","— Large size limits his lateral quickness. | — Blocking technique can be inconsistent and disappointing given his size. Brings effort but is inconsistent with sustaining it.","8 G, 88 REC, 1,084 YDS (12.3 AVG), 7 TD","— 2021 first-team All-Pac 12 | — 2021 AP third-team All-American | — Also played basketball at USC | — 99th Percentile ""breakout age"" (18.1) according to .css-wrcrjw{margin:0;font-size:1.6rem;-webkit-text-decoration:none;text-decoration:none;font-family:Proxima Nova,Proxima Nova Fallback Helvetica,Proxima Nova Fallback Arial;font-weight:700;font-style:normal;letter-spacing:0rem;line-height:1.92rem;color:var(--br--palette-foreground__link__secondary__default-mainChannel);font-size:inherit;overflow-wrap:break-word;white-space:normal;}.css-3nqh9c{-webkit-text-decoration:underline;text-decoration:underline;text-decoration-color:rgba(var(--br--palette-primary-mainChannel) / 0.4);margin:0;font-size:1.6rem;-webkit-text-decoration:none;text-decoration:none;font-family:Proxima Nova,Proxima Nova Fallback Helvetica,Proxima Nova Fallback Arial;font-weight:700;font-style:normal;letter-spacing:0rem;line-height:1.92rem;color:var(--br--palette-foreground__link__secondary__default-mainChannel);font-size:inherit;overflow-wrap:break-word;white-space:normal;}.css-3nqh9c:hover{text-decoration-color:inherit;}.css-lu48cp{margin:0;font:inherit;color:var(--br--palette-primary-main);-webkit-text-decoration:underline;text-decoration:underline;text-decoration-color:rgba(var(--br--palette-primary-mainChannel) / 0.4);margin:0;font-size:1.6rem;-webkit-text-decoration:none;text-decoration:none;font-family:Proxima Nova,Proxima Nova Fallback Helvetica,Proxima Nova Fallback Arial;font-weight:700;font-style:normal;letter-spacing:0rem;line-height:1.92rem;color:var(--br--palette-foreground__link__secondary__default-mainChannel);font-size:inherit;overflow-wrap:break-word;white-space:normal;}.css-lu48cp:hover{text-decoration-color:inherit;}player profiler. | — Youngest WR in the 2022 draft class. Turns 21 in late July.","Drake London is a big-bodied receiver who aligns primarily on the outside but has snaps of running routes from the slot based on the play call. His basketball background shows up in his play with his ability to use his length and consistently extend and snatch throws away from his body. London has more to his game than you’d initially think given his size. He is able to run a varied route tree that asks him to throttle down, which is even more impressive given his large frame. He has enough long speed to threaten defenders vertically but is able to sink and stay tight on his route breaks. His ability to tempo his routes makes him more of a valid weapon on routes than just back-shoulder throws where he overwhelms defenders with his size, which he can also do. London also shows the ability to consistently create yards after the catch because of his good burst and ability to get north with the ball in his hands on underneath throws. That makes him a valid option for routes at all three levels. He also shows spatial awareness and feel for space when working against zone coverages or on scramble drills, knowing how to settle in soft spots and stay friendly to the quarterback. Overall, London’s size, athleticism and route-running ability project him as a valid Day 1 X WR for NFL teams with true mismatch potential every week of the season. And he has enough polish and nuance to his game to be asked to line up across the formation given the play call that only adds to his All-Pro potential.","8.9 (Impact Player - 1st Round)","5","WR1","Mike Evans"
"6","https://bleacherreport.com/articles/10021337-jordan-davis-nfl-draft-2022-scouting-report-for-georgia-dl","Jordan Davis NFL Draft 2022: Scouting Report for Georgia DL","Jordan Davis","DL","Georgia",NA,"6'6 3/8""","341",NA,"34""","6'9 1/8""","4.78","DNP","DNP","32""","10'3""","— Rare body type and length. Will be bigger than almost every offensive lineman he faces off against, even at the NFL level. Long arms help keep offensive linemen out of his frame. | — Off-the-charts strength. Has a thick lower body that supports a great anchor. Also has plenty of pop in his hands when he takes on blockers. Can hold his own against double-teams. | — Controls blocks well when engaged. Strong hands that fire inside at blockers' chests. Does well to cross face and play a secondary gap when asked to. | — Powerful off the ball with his first step. Allows him to stay ahead of blocks away from him and take on blocks coming at him with force. | — Impressive flexibility and light feet for his size. Allows him to more freely work to and through gaps in the run game than other players his size. | — More positional flexibility than his size suggests. May be pigeonholed at 0-tech based on size alone, but can play anywhere between 0-tech and 3-tech, both head-up or in a gap.","— Can get overly excited coming off the ball and get too far upfield at times. Not a detrimental weakness, but something to monitor as he gets comfortable in the NFL. | — Needs to develop a more dynamic pass-rushing plan. Approach lacks depth right now. Hand usage is lackluster, and his leg drive can die out if he does not win right away. | — Questions about why he played as few snaps as he did. Played fewer than half of Georgia's defensive snaps.","14 G, 32 TOT, 5 TFL, 2 SK","— Only a 3-star recruit in 2018. Not a typical blue-chip SEC recruit coming into Georgia. | — Four-year contributor. Davis logged over 200 snaps in all four seasons.","Jordan Davis is a rare prospect based on his measurables alone. There aren't many 6'6"", 340-pound players period, let alone those as athletically gifted as he is. Davis gets out of his stance with power and snaps right onto opposing linemen, giving him the immediate upper hand on almost every block he takes on. He can play a primary to secondary gap in the run game when faced with single blocks and hold his ground against double-teams. Davis also has the side-to-side mobility to shoot off the ball into another gap for stunts, twists, etc., to let the defense play games up front, as Georgia often did. His positional flexibility makes him valuable, too. Davis can play anything from 0-tech over the center to 3-tech in the B gap, serving as either a two-gap or one-gap player. However, Davis' limited snap count (even though that's true for all of Georgia's front-four players) and middling pass-rushing traits could hurt his value in the draft. He's an exceptional run defender, but his pass-rushing reps leave something to be desired, especially since it's clear that he has the athletic traits to do it effectively. Davis' middling pass-rushing traits and the general value of defensive tackles may scare some teams off in the top 10, but he will be a force multiplier in the run game right away.",NA,"6","DL1","John Henderson"
"7","https://bleacherreport.com/articles/10021465-kyle-hamilton-nfl-draft-2022-scouting-report-for-notre-dame-safety","Kyle Hamilton NFL Draft 2022: Scouting Report for Notre Dame Safety","Kyle Hamilton",NA,"Notre Dame Safety",NA,"6'4 1/8""","220",NA,"33""","6'7 3/4""","4.59","6.90","4.32","38""","10'11""","— Possesses rare length and movement combination. He uses his length to his advantage by getting in passing lanes and creating size mismatches. | — Has a very good feel in zone coverage, particularly the underneath coverage. He looks to play the quarterback's eyes, baiting and jumping routes. | — Very good coverage skills. He has a smooth pedal with quick feet in his breaks. Excellent change of direction for his size. | — Flows well to the ball with good tracking and feel in the run game. Rangy player with very good speed. | — Great tackler.","— Covers ground across the field but lacks top-notch twitch. | — Has difficulty at times in man coverage against shiftier, quicker receivers. | — Needs to continue to build strength for when taking on offensive linemen.","7 G, 34 TOT, 2 TFL, 3 INT, 4 PBU","— 2021: Knee Injury (fat-pad impingement) | — Three-year contributor, two-year starter | — Phil Steele first-team All-American | — ​​Additional Awards","Hamilton is a rare athlete who has the frame of a linebacker and the movement skills of a defensive back. He is a long strider who covers a lot of ground, no matter if he is playing as a deep safety or down in the trenches. He has the man-coverage ability to defend all types of threats—from the bigger tight ends, to the shorter traditional slot receivers. Although he can play in all schemes and coverages, he does some of his best work when he drops in underneath coverage. There, he does a great job of reacting to what he sees. He anticipates routes and uses his length and short-area quickness to get his hands on passes. Hamilton is a great blitzer who uses his hands well to take on and control blockers. On top of his physical stature, he is a hard-nosed tackler who throws his body around, delivering massive blows to ball-carriers all over the field. He will continue to fill out his frame, which might eventually look even more like a linebacker than a defensive back. Notre Dame employed him very similarly to how Clemson used Isaiah Simmons. It's logical that's how he will be used as a pro. He is a generational talent who gives defensive coordinators endless options. Hamilton will be the first safety taken off the board and has the chance to be an early, if not immediate, starter.",NA,"7","S1","Isaiah Simmons"
"8","https://bleacherreport.com/articles/10021354-george-karlaftis-nfl-draft-2022-scouting-report-for-purdue-edge","George Karlaftis NFL Draft 2022: Scouting Report for Purdue EDGE","George Karlaftis","EDGE","Purdue",NA,"6'3 3/4""","266",NA,"32 5/8""","6'6 7/8""","DNP","DNP","4.36","38""","10'1""","— Great first step. Coils and explodes out of his stance. | — Gains a ton of ground through his second and third steps. Helps threaten the edge immediately and gain momentum behind his frame. | — Very good pop in his hands. Can knock blockers back straight away versus both run and pass. | — Active hands with a wide array of pass-rushing moves. Could be even better if he displayed more patience. | — Great change of direction and agility for a player his size. Can redirect and explode in a new direction comfortably. | — Power can be overwhelming. Flashes of relentless lower-body explosion and leg drive. | — Can deal with double-teams. Knows how to get skinny and fight through the gap.","— Needs to be more consistent in how he approaches speed-rushing attempts. Too often aborts early and gets square to the quarterback. | — Pad level can get too high. Lets blockers get under his frame and stall out his leg drive. | — Does not have ideal length. Long-armed OTs can get into his frame early.","12 G, 39 TOT, 10 TFL, 4.5 SK, 2 FF, 2 FR","— Three-year starter. | — Born in Greece. Moved to the United States at 13 years old. | — 4-star recruit in 2019. Currently ranks as Purdue's third-highest recruit ever, per 247Sports.","Aside from ideal length, George Karlaftis has just about every trait necessary to bloom into a star power-rusher. Karlaftis coils and explodes off the snap even without having to time the snap perfectly. In turn, he often gets the jump on opposing offensive tackles, opening up the floor for him to show off his relentless bull-rushing or array of hand-fighting tactics. Blend that together with the ability to change directions and get skinny much better than any player his size should, and Karlaftis lands in special territory as an athlete. He also has all the awareness, anchor and motor to be a high-end run defender right away. That said, Karlaftis' ceiling takes a little bit of projection. He sometimes has issues aborting too early on his pass-rushing plan when trying to win around the arc. He has the explosion and flexibility for his size to run a tight corner with power, but he doesn't always stay committed to it, which could be something a good defensive line coach can unlock. Otherwise, Karlaftis already wins as a bull-rush and inside rusher, even against double-teams, with some value to be able to slide inside on clear passing downs. Karlaftis has exceptional potential and will already have some ways to provide value early on as he continues to develop. As a three-year starter, he got better each season at Purdue, which should bode well for him unlocking himself further in the NFL. Karlaftis has the size, explosiveness and run-pass versatility to be one of the most disruptive players in the NFL in a few seasons.",NA,"8","EDGE2","Ryan Kerrigan"
"9","https://bleacherreport.com/articles/10021353-aidan-hutchinson-nfl-draft-2022-scouting-report-for-michigan-edge","Aidan Hutchinson NFL Draft 2022: Scouting Report for Michigan EDGE","Aidan Hutchinson","EDGE","Michigan",NA,"6'6 5/8""","260",NA,"32 1/8""","6'6 1/8""","4.74","6.73","4.15","36""","9'9""","— Above-average first step. Can be reliant on snap-jumping, but still covers ground when he doesn't. | — Great run-versus-pass awareness. Rarely caught guessing or playing too far upfield. | — Great recognition versus the run. Sees different kinds of concepts and blocks well. | — Very good technique and strength against the run. | — Very good lateral explosion. Can work two-way opportunities on OTs effectively. | — Great power as a pass-rusher. Does well to generate and sustain momentum through explosive steps. | — Good hand usage and pass-rushing variety. Specializes in inside counter moves. | — Played both from a stand-up position and with his hand in the dirt.","— Can get too upright off the snap. Exposes his chest. | — Will occasionally lunge into offensive tackles to make first contact rather than keep his feet with him. | — Below-average flexibility on film. Often plays upright and stiff. | — Not a particularly smooth athlete in space. Definitely cannot cover; may struggle chasing better athletes around. | — Can be a bit of a snap jumper. Worked in college, but will not be as effective in the NFL.","14 G, 62 TOT, 16.5 TFL, 14 SK, 3 PBU, 2 FF, 1 FR","— Father Chris Hutchinson also played at Michigan between 1989-1992. | — Consensus 2021 first-team All-American. | — 4-star recruit in 2018.","Aidan Hutchinson is the high-floor type of edge-rusher whom teams dream of. Hutchinson has great size for the position and clears the bar for most athletic traits. He possesses good explosiveness along with moments of overwhelming strength, particularly when he can get a head of steam as a pass-rusher. While his bend is lacking, his speed, technique and functional length all help make up for his non-elite flexibility. Hutchinson should still be able to win consistently as a power rusher with strong hands and a mean inside counter. Hutchinson will enter the league as a valuable run defender, too. The way he sees plays develop right at the snap is impressive for a young player, and he has the strength and attitude to take on blocks with force. Hutchinson has all of the tools to set the edge consistently as well as the first-step quickness to find himself in the backfield from time to time. Pair all of Hutchinson's powerful pass-rushing traits together with a tough, smart run defender, and the end result is an immediate starting edge-defender with Pro Bowl potential.",NA,"9","EDGE3","Maxx Crosby"
"10","https://bleacherreport.com/articles/10021519-chris-olave-nfl-draft-2022-scouting-report-for-ohio-state-wr","Chris Olave NFL Draft 2022: Scouting Report for Ohio State WR","Chris Olave","WR","Ohio State",NA,"6'0 3/8""","187",NA,"31 1/8""","6'1 1/8""","4.39","DNP","DNP","32""","10'4""","— Good overall athlete who plays fast. Consistently gets off the ball quickly at the snap. Uses his snap anticipation to his advantage to get vertical on defenders at a faster speed than they are expecting. | — Very good route-runner. Uses his body control, core strength and balance to consistently win. | — Displays an advanced route tree and polish at all three levels. Asked to run more technique-driven routes in high-leverage situations like the red zone and third down and is consistently able to do so. Plays with tempo and understanding of route concepts. | — Has the feel to find soft spots in zone coverages. Knows how to stay friendly to the QB and uncover. Great on scramble drills due to his spatial awareness. | — Good, natural hands. Comfortable extending away from his body to maximize his size. | — Has the ability to align both inside and outside. | — Good with the ball in his hands. Gets north and can pull away from defenders.","— Lacks strength to consistently hold up in blocking. | — Limited snaps vs. press coverage. Flashes ability to win but will be considered a question mark due to size.","11 G, 65 REC, 936 YDS (14.4 AVG), 13 TD","— 2021 first team All-American (AFCA) | — 2021 first team All-Big Ten | — 2020 first team All-Big Ten","Chris Olave is an average-sized WR who can align outside as well as in the slot. He is a smooth athlete who plays fast but is always under control. Olave is a great route-runner with polish. He shows an understanding of not only the routes he runs but the concept that the offense is running and will tempo his routes accordingly. Olave plays with balance and body control, which allows him to battle through contact and also attack defenders vertically before running by them or uncovering on a route. His understanding of space is on display when he's asked to run more ""advanced"" routes and also during scramble drills, where he has to find unoccupied areas of the field. Olave's lack of size and play strength does show up when he's asked to block in the run game, where he is currently a below-average contributor. Although it wasn't a detriment in college, there will also be some concerns about how well he can consistently win vs. press coverage due to his skinnier frame. Overall, Olave projects as a Day 1 starter as an inside and out ""Z"" WR for any NFL offense due to his comfort level with an assortment of concepts and his steady and consistent play style. His versatile skillset as a receiver can translate to any offense.",NA,"10","WR2","Calvin Ridley"
