"","full_name","blurb","pros","cons","where_wins","what_role","what_improve","bottom_line"
"65","Logan Bruss","After redshirting his freshman year in 2017, Bruss has been seeing the field for the Badgers ever since. He made spot starts down the stretch in 2018 at right tackle before taking over as the starting right tackle in 2019. After moving to right guard in the shortened 2020 season, Bruss was back at right tackle in 2021 where he had a career year. Guard is still likely where he ends up in the NFL, but that cross-training will serve him well. Kimberly, WI","Plus athlete for the position that can locate well off combo blocks. Balance to recover blocks when they aren't clean. Won't see him on the floor often. Only five penalties over the course of his entire college caerer.","Won't keep his base into blocks on the move. Plays less agile than he has because of it. Won't always utilize his length. Let's defenders into pads too often. Average drive in his lower half. Won't move the line of scrimmage in the NFL.",NA,NA,NA,"Bruss is a scheme diverse guard with tackle versatility that should be a starter sooner rather than later."
"66","Charles Cross","Cross was a former top recruit who was thrown to the fire in a big way when Mike Leach took over in 2020. He went from pass-blocking snaps in 2019 to 574 in 2020. He struggled a bit, understandably, allowing 44 pressures. But as a redshirt sophomore in 2021, Cross showed up a different animal. Top-10 He only allowed 16 pressures, and his run blocking prowess took a gigantic step forward. He still hasn't done a ton of NFL concepts in the run game, which should be a steep learning curve in the league. Laurel, MS","Super light on his feet. Upper-echelon mirror ability. Uses his length really well. Punch timing and placement are pluses. Progressed year over year and even improved as 2021 season went on.","Inexperienced in pro-style run blocking concepts. All base zone blocks. Needs to get more consistent depth in his pass sets. Unique stance with feet really tight together, leading to massive first steps.","LEN G T H Cross has prototypical traits to be a blindside pass protector. His feet, length and core strength are all top notch. He's been in pass protection a ton over the past two seasons.","LEF T T A CKLE Cross is a left tackle. There will likely be a learning curve early on but get this guy on the football field.","F OOT WOR K The most encouraging thing for Cross is that he can still improve a lot of areas within his skill set. He graded very well despite inconsistent footwork.","Cross has the most impressive pass-blocking toolbox in the class. It may take time, but everything is there."
"67","Austin Deculus","Deculus is the rare four-year starter at a blue blood program in the SEC that really never registered on NFL radars. He's got an NFL frame, but not quite NFL caliber physical ability. It's a big reason why he saw his grade plateau over his five years at LSU. Sadly, I'm not sure there's a next level in 7-UDFA Deculus' development to be had and a move inside to guard isn't going to alleviate his problems. Cypress, TX","Idea size/length to stick at tackle in the NFL. trouble. Very high in pass sets. Can fire out of his stance and gain depth to match speed in pass protection. Independent hand usage in his sets that's NFL- ready.","Stiffness to his lower half that gets him in serious Get's push-pulled like clockwork when technique isn't perfect. Won't outleverage defensive ends at the point of attack.",NA,NA,NA,"Deculus is battle-tested in the SEC, but never quite won those battles frequently enough to excite."
"68","Kellen Diesch","Diesch has one unique build for the tackle position at 6-foot-7, barely scraping 300 pounds and with oddly short 32 1/4-inch arms. But, if you can get past that, you'll find one heck of a pass-protector. He is one of the smoothest-moving tackle prospects in the draft class and has never allowed more than two pressures in a single game, even if his career has been brief. He couldn't lock down a starting role in four seasons at Texas A&M before transferring to Arizona State, where his 2020 season lasted all of four Trophy Club, TX","Moves like an athlete in space. This is the guy you want leading a screen. Hands are ultra quick to reset and regain leverage. Plays with a tremendous base as a run-blocker and alleviates some size issues.","So slim even after years upon years in college weight rooms. Looks like a tight end. No pop to his punch. Hands can be swatted away too easily. Sixth-year senior coming out.","F EET Diesch can consistently gain the upper hand on defenders due to his nimble feet and quick first step. He's never going to be a people mover but can still be effective.","SWIN G T A CKLE Diesch is an investment who could pay off big dividends. He's either a left tackle or not seeing the field. The best fit for him is an outside zone scheme due to his athleticism.","SIZ E Diesch has the frame and athleticism to pass protect at the NFL level, but none of the play strength. He can't see a field until he gets stronger.","If a team can get his play strength to even a serviceable NFL level, Diesch can be a starting left tackle in the NFL."
"69","Ikem Ekwonu","You won't find too many top-10 draft picks who once held offers from Harvard coming out of high school, but Ekwonu will soon be one of them. You also won't find too many true juniors who can throw around 250-plus- pounders the way Ekwonu did last year, but that's something he's been doing ever since Top-10 he was a freshman back in 2019. His pass- blocking prowess earlier in his career led some to think he'd have to kick inside to guard, but after seeing the strides he made in 2021, he's firmly a tackle in the NFL. Charlotte, NC","Biggest bully in college football. Defenders don't want to see him coming their way. Long arms that pack a punch. If he's latched onto your pads, good luck. Incredible power in his lower half. Legs like tree trunks.","Pass sets are wholly inconsistent and unpolished. Almost clicks his heels. Didn't even take vertical sets, just angle sets. Agility and mirror ability are just OK and not high end for the position.","P OWER He wins with prodigious power throughout his frame. When he uncoils his hips into contact, defenders move backward. It's just physics due to the amount of force he's capable of generating.","T A CKLE- G U A R D I wouldn't argue with teams that see him as a guard because of how nasty he is in a phone booth. This guy can stay at left tackle, though, and should be given every opportunity to succeed there.","P A SS SET S His pass sets need to be completely reworked. His base is very inconsistent, and he has limited answers for pass-rushers at the moment. Ekwonu definitely has the physical capability to clean all that up, though.","Any run-heavy team should have this guy as OT1. He's a work in progress in pass protection, but his issues are very fixable."
"70","Obinna Eze","Eze grew up playing basketball and didn't play football until his junior year of high school. He quickly took to the game and started garnering offers from blue-blood programs. Not quite understanding the college football landscape, Eze eventually committed to Memphis because he liked their coaches the best. After four years there - two as a starter - Eze transferred to TCU to face better competition and he still showed out in pass protection at left tackle. Nashville, TN","Insanely long arms. Like an octopus enveloping it's prey. Basketball background shows in his pass sets. Not fleet of foot, but balanced. Uses every bit of his wide frame. Coordinated with his hands to catch rushers.","Carries hands oddly low at his sides in pass sets. Throws his timing off a lot. No hip drive in the run game. Leans on guys. Still a project yet turns 24 in June.",NA,NA,NA,"Eze is well behind the learning curve for a player his age. He's a project without project-esque testing numbers."
"71","Daniel Faalele","Faalele had never played American football before traveling from Australia to IMG Academy in Florida back in 2016. The mammoth of a man immediately drew interest from college coaches across the country but settled on Minnesota after P.J. Fleck flew his mother out for a recruiting visit. Still new to the game, Faalele's ascent has been slow and steady after starting since his true freshman year. He returned after opting out in 2020 to have easily his highest-graded year. The allure of what his size and movement skills can end up doing in the NFL will be strong. Bradenton, FL","One of the largest players in college football history at 6-foot-9, 380 pounds. Impervious anchor. He just doesn't get moved backwards. Only been playing football for five years and has improved considerably every year.","Does he have the killer instinct? Not much iolence to his game. Limited dropback pass protection reps by design in Minnesota offense. Hands like Ricky Bobby — unsure what to do with them too often.","SIZ E He wins with immovability at the moment. With good enough mirror ability, Faalele presents a massive road block who defenders have to go around.","P R OJECT T A CKLE You aren't drafting Faalele with 2022 in mind. Similar to another Aussie in Jordan Mailata, Faalele is a three- or four-year vesting option for whoever drafts him","MEN T A LIT Y Hand placement, pass sets, mentality — you name it, he can probably improve there. He's still playing good football without being close to a finished product.","Faalele has unparalleled physical tools in addition to the kind of upward career progression teams can buy into."
"72","Luke Fortner","Fortner went from rotational guard in to starting guard in 2019 and 2020 to finally starting center as a sixth-year senior in 2021. It was the center position that really tapped into his high-level football IQ and you saw him flourish from a grading perspective. While he has the body type and experience 3-4 at all three interior positions, it's that processing speed that sets him apart at center. He cleared out pockets for quarterback Will Levis regularly this past fall. Sylvania, OH","Will-imposing upper body strength. Sends rushers off their path. Eyes work so quickly. Was a menace vs. Georgia's stunts last fall. Rodeo cowboy hanging on blocks. He's not letting go.","Not a space player. Limited when locating linebackers. Real issues getting off double teams. Doesn't have the foot speed to react. Grade didn't reach high-level until late in career and turns 24 in May.",NA,NA,NA,"Fortner brings a steady, powerful presence to the middle of your offense with all three interior position versatility."
"73","Kenyon Green","Green came into the 2021 season as a potential top tackle, and it was his versatility that ended up hurting his draft stock. He was a starting right guard in 2019 as a true freshman and left guard in 2020. This past fall, he was supposed to be their starting right tackle, but after injuries struck, he started at four different line positions the first six weeks of the season. His tape at left guard for the final four games of last season should give you a good idea of what he's capable of. Humble, TX","Flexibility and strength in his lower half is top notch. Extremely versatile. Played every position except center in 2021. Gets on linebackers so quickly at the second- level that it catches them off guard.","Bear-hugger. Approaches blocks with exceedingly wide hands. Ducks into blocks on the move instead of gathering his lower half. Penalty issues at start of 2021. Seven penalties in first eight games.","EX P LOSIV EN ESS Green is the most explosive interior lineman in the class. His pop on contact is special, and he can absorb a hit as well. His performance and versatility as a true junior is why he's so coveted.","V ER SA T ILE OL Green is still early enough along in his development that someone could easily make him a tackle. His body type enables you to slot him into any position along the offensive line.","H A N D U SA G E Hand usage is the biggest room for growth. Obviously, that will improve with more consistent reps at one position, but he still needs to carry them tighter to his frame.","Once Green stopped getting jostled around and could focus on playing solely left guard, his tape was elite."
"74","Luke Goedeke","Goedeke redshirted in 2018 before taking over as the starting right tackle in 2019. He showed out in his very first season with an 81.4 overall grade on 1,031 snaps before tearing his ACL and missing all of 2020. In 2021, he not only returned to form, but looked like a new man altogether. He took his consistency to another level. On 321 run blocking snaps, Goedeke was downgraded all of 17 times all season. He'll be a guard convert, but a damn good one. Whitelaw, WI","Outstanding and consistent hand placement. Quick to establish leverage and reset. Eyes work in unison with his feet. Quick to recognize stunts. Uncoils hips into contact. Can deliver and absorb blows.","Length issues on the edge. Defenders lived in pads. Will have to kick inside. Took advantage of middling competition. Grades weren't same when faced better schools. Missed all of the 2020 season with an ACL tear.","CON SIST EN CY Goedeke already looks like an NFL offensive linemen with his snap-to-snap technique. He's not the most physically imposing, but won't be out of place in the league.","GUARD His arm length would be an issue in the league if kept at tackle. That won't be nearly as much of the case at guard where his hand usage can shine.","H EA LT H With no massive glaring technical weaknesses, Goedeke's main concerns are physical in nature. After an ACL tear and now hamstring, he just needs to stay on the field.","Goedeke is a plug-and-play guard that profiles to an above-average starter in time."
"75","Marquis Hayes","Hayes broke into the starting lineup as a redshirt sophomore at left guard back in 2019 and hasn't given up the job. That first season he actually performed admirably and didn't allow a single sack or hit in pass protection. That's been his calling card the last three seasons, as his run blocking finally started to catch up in 2021. It's worth wondering if he'll ever be a plus player in that regard at the next level, though, given his physical tools. Maryland Heights, MO","Continually works upward into contact as a run-blocker. Very good at gaining leverage. Long arms for a guard and plus-latching ability. particularly explosive player. Some of the best independent hand usage in the class.","Slowly narrows his base and gets more upright in pass sets as the play develops. Lethargic out of his stance. Just not a Nine penalties in 2021.","H A N D U SA G E Hayes wins with elite hand usage. He has great length for a guard and is able to keep flailing defensive tackles at bay one-on-one.","GUARD Hayes is a guard-only due to his athletic profile, and he's probably not who you want running outside zone or pulling a ton. His best work is in a phonebooth.","P LA Y IN G LOW Hayes has to sink lower in his pass sets or he'll get walked back into NFL pockets consistently. The good thing is that he's proven capable of doing so in the run game.","Hayes isn't particularly versatile, but he's not too far off from being a plus pass-protecting guard at the next level."
"76","Ed Ingram","There was a time where it looked like Ingram might be the next big thing. He earned a 72.3 overall grade as a true freshman in 2017. However, he missed all of 2018 after he was charged with two counts of aggravated sexual assault of a minor. Those charges were eventually dropped, and Ingram was reinstated in 2019. He wasn't handed his starting job back and struggled as a rotational player at left guard during LSU's championship season. He's been a full-time starter every since, but he's never quite been able to build upon that promise he showed early on. DeSoto, TX","Well proportioned guard that can get out and move. People mover. Packs a punch in the run game despite below average weight for guard. Starting experience at both guard positions with 2,682 career snaps to his name.","Struggles to engage consistently. Hands are nothing special Feet and hands on different pages too often. Will go into contact with shaky footing. Stalled career progression. Never graded out particularly well.","P OP ON CON T A CT Ingram wins by ending pass-rushing reps before they start. His first punch can deaden the most adept of rushers. He's got tailor-made guard traits.","GUARD He's a guard an preferrably in a power/counter heavy scheme. He's at his best when pulling around the edge.","H A N DS Ingram has no problem delivering a blow, but his inability to maintain after first contact is why his grade is so lackluster. It will only get more difficult to do so in the NFL.","He'll be a starting guard in the league, but his lack of development throughout his career is concerning."
"77","Zion Johnson","Johnson spent two years at Davidson before the last three at Boston College. Even after five years of college, Johnson turned only 22 last November. He's seen a very linear progression to his grading profile for the Eagles despite spending the season at left tackle. This past season, he 1-2 looked like the closest thing to a plug-and- play NFL guard. There are very few ugly losses or bad games on his tape to scare you off. Upper Marlboro, MD","Lab-built guard frame. Loaded up lower half. picking up stunts/blitzes. Pad level is tremendous. Absorbs contact and delivers blows at an NFL-level. Purposeful in his movements. Everything works in unison.","Most downgrades are awareness related when Average get-off and quickness for a guard. Bit of a late bloomer, grading didn't take off until Year 5.","CON SIST EN CY He wins with all-around consistency. Johnson recorded one of the lowest downgrade rates among offensive linemen in college football this season. He doesn't allow himself to be put in bad positions.","ST A R T IN G G U A R D Johnson is a Day 1 starting guard.","N OT MU CH Johnson's appeal is that his con section is darn near blank. He's obviously not perfect by any means, but he doesn't have glaring weaknesses on tape.","Johnson is an all-around pro-ready guard who's one of the safer bets in the draft class."
