"","full_name","blurb","pros","cons","where_wins","what_role","what_improve","bottom_line"
"1","Matt Corral","Corral played for the Rebels as both a freshman and sophomore, but his career didn't take off until Lane Kiffin came to Oxford. Kiffin's offense took advantage of Corral's athleticism, rocket arm and quick release. The RPO-heavy offense attacked every level of the field, and Corral saw his grade take a massive leap. However, the offense isn't particularly translatable to the NFL, meaning Corral still comes with some question marks. He used play action on 60.4% of his dropbacks in 2021, the highest rate in the FBS.","Athlete who happens to play quarterback. Mobility is a big plus. Compact motion. Generates serious torque during his throwing motion. Stands tall in the pocket and rips from a consistent base. Accurate to all levels.","Slim frame. Listed at 205 pounds. Already dealt with multiple injuries in 2021. Not much throw shaping on his tape. Lasers only. Looks like a different quarterback and lacks confidence when forced past first read.","DIST R IBU T IN G Corral is at his best when playing point guard — distributing the ball quickly and swiftly to all levels of the field. NFL OC's will take advantage of his timing and accuracy in the RPO and quick passing game.","P LA Y BOOK OP EN ER Corral has serious tools that any offensive coordinator would love to try and mold. He also needs some serious molding, though. He's a project who needs to learn behind a veteran early in his career.","T OU CH Corral was hardly asked to run dropback passing concepts at Ole Miss. He is exceptional on simple rhythm concepts/RPOs, but when asked to expand his vision and identify where to go with the ball, his play suffers.","Drafting Corral should be seen as an investment, not a quick fix to a team’s passing offense."
"2","Kaleb Eleby","Eleby first got starting experience as a true freshman back in 2018 when an injury to starter Jon Wassink forced him into action against Toledo late in the year. He earned a 63.7 overall grade in five games before ceding that starting job back to Wassink in 2019. Once the job was his again in 2020, Eleby was a revelation. He earned a 91.5 passing grade in six games throwing to the likes of 2021 2nd-round pick Dee Eskridge and potential 2022 1st-rounder Skyy Moore. He couldn't sustain that for a full season in 2021, however, as he started putting the ball in harm's way more. Maryland Heights, MO","Works pockets confidently. Consistently climbs with eyes downfield. Can hit drive throws downfield when he steps into it. Some impressive lasers on tape. Attacking mentality while still taking care of the football. 11.0 yard ADoT in career.","Erratic ball placement. Gets amplified off- platform or on the move. Short with compact frame. Not going to do him any favors. Panicky under pressure. Can visibly see everything speed up.",NA,NA,NA,"Eleby may not have the ideal developmental skillset, but he has sustained performance with an NFL-caliber arm."
"3","Sam Howell","Howell has started from Day 1 for the Tarheels. As a freshman in 2019, he put up the second-highest graded season we've charted from a true freshman quarterback, behind only Trevor Lawrence. He built upon that with a superb sophomore campaign, where he racked up impressive throw after impressive throw. After losing his top two receivers and rushers from 2020, Howell and the Tar Heels offense took a massive step Slower back in 2021. He countered by running Russell more than ever and went for 1,106 yards on Wilson the ground. Monroe, NC","Arm talent for days. Elite deep ball thrower over course of his career. Light on his feet in the pocket. Can make subtle and not so subtle moves to buy time. Thick build. Shrugs off defenders with relative ease with 65 broken tackles in 202.","One and run. First instinct is to drop eyes and bolt. Inexplicably turns down open receivers too often. Not enough anticipatory throws. Offense was almost all RPOs and go-balls, leading the nation in both.","A R M T A LEN T From his arm to his mentality, Howell is a downfield passer. He's one of the most prolific we've seen in the PFF College era (2014-present). He'll have to go to an offense that's willing to attack downfield regularly.","DOWN F IELD P A SSER No page of the playbook is off limits with Howell. He has the arm for any passing concept, can run between the tackles and also create on his own outside. While he is a project in some ways, he could still start early on.","P R OG R ESSION S Howell can't be so reliant on scrambling at the next level — 13% of his dropbacks resulted in scrambles in 2021. He's not that kind of athlete. He has to be more patient and quicker through progressions from clean pockets.","Howell has his areas for growth, but his sheer physical tools are undeniable. He has more to offer than what was showcased in the Tar heel's offense."
"4","Kenny Pickett","Pickett has been on the NFL's radar for quite some time. He took over as the starter as a sophomore in 2018 and would undoubtedly have been drafted had he come out in 2019 after earning a 75.0 overall grade. It just would have been somewhere on Day 3. That's where his draft stock lay dormant until this past season when Pickett took an unprecedented leap in year four as a starter. He saw his big-time throw rate nearly double from 2020 and his turnover-worthy play rate hit a career low. Oakhurst, NJ","Accuracy on the move is a big plus. Pinpoint outside the pocket. Can sting a far hash out route with ease. Obvious arm talent from pocket and on move. Mobile but always has his eyes downfield. Terrific at creating space to work.","Holds the ball until the bitter end. Second- highest time to throw in the country. Bad habit of throwing off back foot. Worrisome how often he does so on vertical shots. One-year wonder. One of the biggest single- season grading leaps we've seen in Year 5.","QB F EEL Pickett has a natural feel that's uncoachable in a lot of ways. Whether it's throwing guys open, understanding receiver leverage, avoiding the rush or keying blitzes, Pickett gets a lot of the little things already.","A LL- A R OU N D QB Between his combination of experience and NFL-translateable skills, Pickett is as ready as any quarterback in the draft class to start out the gate. The question is: How high is his ceiling?","P R OCESSIN G SP EED He has to speed up his process in the league. He'll work through reads under the assumption he can always buy himself more time. ""Ball out"" has to be his first thought at the next level instead of ""break pocket.""","Pickett has enough lingering questions to scare teams off, but his 2021 tape didn't have a ton of holes."
"5","Brock Purdy","Purdy was a revelation as a true freshman in 2018. He took over as the full-time starter in Week 6 of that season and finished with an 89.3 overall grade in nine games with only one of those against a non-power-5 opponent (and it was his lowest-graded game that year). That year, though, he had Hakeem Butler hauling in his deep balls. Ever since, he's struggled mightily to produce down the football field and it's been reflected in his plateaued grades. He went from an 8.3% big-time throw rate as a freshman to 4.2% as a sophomore, to 3.4% as a junior, and finally 2.4% as a senior. Gilbert, AZ","Agile and aware in the pocket. Extremely low 12.9% career sack conversion rate. Plus accuracy. Highest on-target rate of any QB in the draft class last year. Quick, tight release that can get the job done on the move as well.","Arm strength is borderline by NFL standards. Already limited downfield in college. Field vision narrows far too often. Tunnel in on his guys and slow to come off. Plays tight. Few calculated risks. Will speed up internal clock and check down too often.",NA,NA,NA,"Purdy won't look too out of place in an NFL offense, but he also won't elevate above if thrown into a bad situation."
"6","Desmond Ridder","Ridder is now synonymous with the rise of Cincinnati football as he's been at Cincinnati all five years of the Fickell era, starting the last four. He had a Jalen Hurts- esque career progression from true freshman to senior year, as he went from a player who looked undraftable early on to one who consistently won from the pocket later in his career. He's done a tremendous job of improving upon his weaknesses every single year, and you see that in his grade Louisville, KY","Quick processor. Best in the class. Already plays at NFL speed mentally. Straight-line gas in the open field. Big-play threat as a runner if unaccounted for. Coaches rave about his work ethic and leadership. Has improved weaknesses every year.","Slightly elongated throwing motion. Little dip in his cocking phase. Thin frame. Not as elusive as other, which has led to high sack conversion rates. Beat up bad competition. 70.6 passing grade against Power-5 schools last two years.","P R OCESSIN G SP EED Ridder is a decisive and quick pocket-passer who has good enough arm talent to hit defenses over the top. While he's not much of a runner himself, his speed demands that he's accounted for.","QU ICK P A SSER Ridder isn't scheme limited by any means. He can step in Day1 and not look out of place as a starter. Utilizing his legs as a weapon is a plus but isn't necessary for him to succeed at the next level.","BA LL P LA CEMEN T Ridder's ball placement is still below-average by NFL standards, and it often is even worse early in games. He's too refined technically for this to dramatically change.","Ridder is the most NFL-ready quarterback in the class and still has areas for growth. In a class full of developmental QBs, he has the work ethic to bet on."
"7","Carson Strong","Strong dealt with degenerative knee issues coming out of high school, which limited his college offers to lower-tier programs despite upper-tier talent. At Nevada, he was starting by the time he was a redshirt freshman in 2019. Since then, he's blossomed into one of the most prolific passers in college football. Nevada put it all on his right arm in 2021, as he dropped back to pass nearly 50 times a game on Ryan Mal l ett average. His calling card is his ability to Wi th Touch drive the ball outside the numbers, and he earned a 91.1 passing grade on such throws last year. Vacaville, CA","Gorgeous tight spiral paired with quick release. Ideal combo for NFL windows. Arm talent opens entire field. Five 50-plus-yard completions — most in FBS. Offense was entirely on his right arm. 50+ dropbacks in six straight games.","Serious knee problems (Osteochondritis dissecans). Possibly career threatening. Statue. No escapability. Has broken just six total tackles in career. Pocket drifter. Too quick to eliminate options while drifting from non-existent pressure.","OU T SIDE T H E N U MBER S Strong has the coveted ability to consistently attack outside the numbers. His 91.5 passing grade on such throws is the highest among the top quarterbacks in the class. That only grows in value in the NFL.","P OCKER P A SSER Strong is a project pocket-passer who needs to go to a downfield passing offense. He has all the arm talent a team could want, but with little more in the way of polish for the position, he's likely a backup out the gate.","P OCKET MOV EMEN T To win solely from the pocket in the NFL, a QB has to be better at manipulating pockets than Strong. He needs to master subtle movements with his body and eyes to better avoid pressure and create throwing lanes.","Strong's knee issues will have him off some boards, but his play style should limit much of its effect. He's an intriguing arm talent project."
"8","Malik Willis","In his sophomore season, Willis went toe- to-toe with then-freshman Bo Nix for the starting quarterback position at Auburn back in 2019. Nix obviously won out, but Willis is getting the last laugh. He transferred to Liberty that fall and has been their starter the past two seasons. The Flames quarterback stuffed the stat sheets not only as a passer but as a runner, too. This past season, he broke more tackles (89) than any player on the ground, including running backs. He also put up the third-highest big- time throw rate we've charted in a single season (11.0%). Atlanta, GA","Arguably the strongest arm in the draft. Can get velocity from any body position. Adds massive value as runner. Draftable RB if he switched — 146 career broken tackles. Footwork improved a ton from 2020 to 2021. Has shown he can take coaching.","Base is woefully inconsistent. Has made strides, but it still shows up too often. Eyes telegraph his throws regularly. Will stare daggers through his targets. Level of competition was poor. Had some ugly outings against Power-5 defenses.","T OOLS Willis wins when playing schoolyard ball. His creativity on the move as both a thrower and runner is special. He can provide instant offense at any level of football.","A T H LET E Willis isn't a Day-1 starter and needs to go to an offense built around his legs. Parking him behind an established quarterback in that mold to get acclimated to the NFL game would be his best bet.","P OCKET P R ESEN CE Willis' pocket presence is still an issue. Slight pressure causes him to fully break out of play structure. Playing quicker and more on schedule have to be a point of emphasis.","Willis is a pure project due to all the tools in the world to work with. Developing him behind an established mobile quarterback would be ideal."
"9","Bailey Zappe","Zappe set records for three years at Houston Baptist before heading to Western Kentucky to set even more. He set single- season FBS marks for passing yards (5,967) and passing touchdowns (62) in his lone year with the Hilltoppers. While the numbers are gaudy, the situation was also set up for success. He was under pressure at the lowest rate of any quarterback in college football last season (12.9% of dropbacks). Victoria, TX","Creativity with his ball placement. Understands leverage and throws receivers open. Quick to scan. Often works back to opposite side of field while staying in rhythm. Handled insane volume with 730 dropbacks last year. Broke FBS yards and TD records","Below-average arm by NFL standards. Had a Hail-Mary from midfield come up short. Footwork suffers mightily when forced to move in pocket. Falls off a lot of throws. Had all day to work with massive pockets. Was pressured on only 12.5% of dropbacks.","G A MER Zappe is a gamer. He finds ways to get the job done and had a high command of the Hilltoppers offense. He'll have to dominate the quick game at the next level.","H IG H - EN D BA CKU P Zappe isn't a toolsy prospect. He's a glue guy backup who could develop into a starter. Competent backup play on a cheap rookie deal can still provide good value in the NFL.","P LA Y U N DER P R ESSU R E Zappe has to come up with better answers under pressure. The pockets he's going to work from in the NFL are tight, and his ability to handle those has to improve.","While he may not blow anyone away physically, Zappe won't look out of place on an NFL field. He figures to be at least a backup for a long time."
"10","Tyler Allgeier","Allgeier may look like a bruiser, but he's a little niftier than that moniker implies. To break tackles at the rate he has the past two seasons — even if the competition wasn't the greatest — one has to be. Despite having that elusiveness, Allgeier still knows who he is. He will rarely stop his feet behind the line of scrimmage or go searching for home runs. While he has the profile of a volume back, Allgeier still needs to clean up the fumbles after fumbling six times at BYU. Fontana, CA","No nonsense running style that's perfect for a bigger back. Vision is a plus. Always seems to be gaining ground toward the open hole. Outstanding pass-blocker. Finds work and eliminates threats.","Acceleration is lacking. Needs a runway to get a head of steam. Runs like a power back, but at only 220- pounds, he wouldn't qualify as one in the NFL Ran behind an insanely dominant BYU offensive line over the past two seasons.","N O- N ON SEN SE R U N N IN G Allgeier wins by consistently maximizing his run blocking. He's not going to pass up open holes searching for big plays. He'll get you what's blocked and a little extra.","Z ON E- SCH EME R B Allgeier would be perfect in a zone-heavy scheme to take advantage of his one-cut running style and vision. While he's not limited per se, that's easily his cleanest projection.","CR EA T IV IT Y Allgeier could stand to be more creative when he gets into the open field. He maintains his no nonsense running style in the open field and often seeks out contact instead of avoiding it.","There isn't much about Allgeier that makes you say 'wow,' but there's also not much to dislike, either."
"11","Tyler Badie","Badie spent three years toiling as the receiving back to now Charger Larry Rountree's bell-cow workload on the ground. Once he got that bell-cow workload this past season, Badie took his game to another level. He was not only electric on the ground but also reliable through the air. Despite not looking the part of an every down back, he finished second in the FBS with 323 touches last season. Memphis, TN","Burst and size to fit through the tightest of creases at the line. Proficient receiver out of the backfield for three straight seasons. Small, but doesn't run like it. Wiling to pick up the tough yards when he has to.","Well below size you'd like for an every down back with little room to add more mass. Tough runner, but a lot of his broken tackles are unlikely to translate to the NFL. All too often a speedbump in pass protection. Not sure that improves","BU R ST Badie's ability to get up to full speed from a standstill is why he'll find a role at the next level. Everyone is looking to get his kind of suddenness on the field regardless of position.","SCA T BA CK Badie is going to be the passing game back in whatever system he goes to. Don't expect for him to get more than a few carries a game at the next level.","P A SS P R OT ECT ION Badie has to attack better in pass protection if he wants to see the field. At his size, he can't afford to sit and wait for NFL linebackers or he'll get bowled over.","Badie is in that physical limbo where he's too small for OC's to trust every down and not athletic enough to justify his deficiencies."
"12","Ty Chandler","Chandler spent his first four seasons at Tennessee in a time share role every single year. Despite seeing the bulk of the carries his last few years there, Chandler grad transferred to North Carolina this past fall to see an expanded role. He set career highs in every category imaginable for the Tarheels. Known for his speed, Chandler more than doubled his previous career high for explosive runs. Nashville, TN","Blazer in the open field. Over 10% of his carries in 2021 went for 15+ yards. Quicks that strike fear in linebackers when releasing on routes out of the backfield. Extensive pass game experience. 91 targets in his career.","Undersized for the position and doesn't run with desired physicality to counteract it. Middling elusiveness. Doesn't have that kind of shake in the open field. Very old for a running back prospect. Turns 24 in May.",NA,NA,NA,"If you want speed, Chandler has it. That's the extent of his skillset that NFL teams will value"
"13","James Cook","You may have heard that James is the younger brother of Vikings back Dalvin Cook. Even if you haven't, you’d realize right away by his running style. The two have the same distinct sharp cuts in their running style and near instantaneous acceleration. The only difference being the 3-4 older brother has around 10-15 pounds on the younger. That was a big deal at Georgia and why he never had more than 12 carries in a single game. Even if he’s not a bell-cow in the NFL, you’ll want him in your backfield for his explosiveness in the passing Miami, FL","Lightning rod. Can blaze past linebackers. struggles to churn. Reaches top speed in a hurry and doesn't seem to lose any when he cuts. Very natural receiver. One drop on 68 career catchable passes.","Built like a wide receiver. Light lower half that Not much wiggle to his game despite being undersized. Still a cut-and-go runner. Scat back. Georgia specifically made sure he didn't have to pass protect..","H OME- R U N S Cook is a mismatch in the passing game because he's far too nimble even for NFL linebackers. Anytime Georgia schemed up on-one-one's for Cook, they were throwing his way.","SCA T BA CK Cook is the change-of-pace back who teams can get creative with. He can split wide and run routes or get vertical from the backfield.","MU SCLE MA SS Obviously, if he wants to be anything more than a receiving back at the next level, he has to put on muscle. Can't be a three-down back at his size.","Cook is like a mini-version of his brother Dalvin. He's a big play waiting to happen when he gets the ball in space."
"14","Jerrion Ealy","Ealy came to Ole Miss as both a highly touted running back and outfielder. He played both football and baseball as a freshman before COVID hit and has been focusing on football since. Ealy immediately saw action as a change of pace back his first year with the Rebels. His role has really never evolved since and at his size is unlikely to in the NFL. Ealy can still make an impact as a change of pace back in an offense willing to be creative with him. Flowood, MS","As good a contact balance as you'll see from a small back. Human pinball.. Such subtle body control and balance. Like he knows what the defenders going to do. Tough as nails for a back his size. Take a lick and keeps chugging.","Too comfortable stalling his feet in the backfield. Can't get away with that in the NFL. Scat back only. Cannot hold up in pass protection at his size. Not comfortable operating in tight quarters. Needed the space Ole Miss provided.",NA,NA,NA,"If he were 20-pounds heavier, we'd be talking about the best running back in the class. Even still, he can offer something as a change of pace back."
"15","Jerome Ford","Ford started his career off at Alabama and struggled to even see the football field behind the likes of Najee Harris and Brian Robinson. After two seasons there, he transferred to Cincinnati. In 2020, he was the dash to Gerrid Doaks' smash in a time-share. In 2021, Ford took over as the lead dog and flourished. The worry was his boom-or-bust nature with four games this past season where he averaged under 4.0 yards per Tampa, FL","Explosive out of his cuts with speed to run away from linebackers with ease. Consistent hands on tape. Didn't have a drop on 31 catches in his career. Nose for the end zone. 30 of his 318 career carries ended in scores.","Slightly built and runs high. Limits his pop on contact. Six fumbles on 311 carries the last three years. Loses confidence when reads aren't clean and will patter into the line.","N A T U R A L A T H LET ICISM Ford's a very easy mover in space. He's not limited in any way, shape or form by his athletic ability at the next level.","P R OJECT R B Ford is more athlete than running back still. He's one heck of an athlete but is very rough around the edges in things he'll have to do in the NFL.","BA LL SECU R IT Y No one is going to let him see the field in the NFL with the kind of ball security issues he showed in college. He'd lead the league in fumbles with a full workload at that rate.","Ford has NFL-caliber athleticism, but he's not NFL-ready to carry a large workload on tape."
"16","Breece Hall","With the bell-cow type growing out of vogue more so every year in the college game, Hall was a true throwback. His carries in the past two seasons were more than any other Power Five running back in the country. His 41 scores were also five more than any back in college football. Iowa State ran their offense through him largely because there are very few weaknesses to his game. Whatever concept or play you want to draw up, chances are Hall can execute. Wichita, KS","As a receiver, he's been one of the most difficult running backs to bring down in the country. Balance is tremendous. Can get in and out of awkward body positions. Accustomed to running behind less than stellar run blocking at Iowa State.","Lacks the ideal burst out of his cuts that you'd want in the NFL. Worried a little about his tackle-breaking numbers translating at his height. Can run high between the tackles. Not going to drive through a defensive lineman.","CON T A CT BA LA N CE Hall wins with his absolute refusal to go down. He doesn't give up on runs and will churn his legs to the bitter end. More often than not, it takes multiple guys to bring him down.","BELL COW Hall can quite obviously fill the bell-cow role in an offense: He's touched the ball more than any running back in the country the past two seasons (590 times).","LOWER IN G SH OU LDER Hall can stand to put his foot in the ground and drive into contact a touch more in situations where there's not much available. He has power back traits but would be well served to add the power back bulk.","Hall has a well-rounded skill set that can elevate him to RB1, but there's some questions about the translatability of his game."
"17","Zonovan Knight","Knight has one of the wildest statistical profiles of any player in the draft class. He starter in a time share as a true freshman gaining 745 yards on 136 carries at 5.5 yards per. Over the next two seasons, he's had nearly identical attempts and yardage figures with only his scoring fluctuating in any meaningful way. I'd say he could have upped his draft stock by returning to school, but we'd likely see more of the same. Bailey, NC","Slippery lower half with tremendous body control in his cuts. Feet and body control a point guard in basketball. Productive at a very young age. Only turned 21 in April.","Crippling inconsistent vision. Needs to see the whole runway before he's ready to launch. Serious fumble problems. Seven on 419 career carries. Flashed some rough hands early in his career. Six drops on 53 career catchable",NA,NA,NA,"Knight is still young and ascending, but his game is so rough around the edges that he'll struggle to see a field early in his career."
"18","Dameon Pierce","""Why? Because I'm a Gator, bro."" That was Dameon Pierce's answer to why he was playing in Florida's bowl game, even though he'd already solidified his draft stock. That also perfectly describes Pierce's game. He's willing to do the dirty work without any sort of accolade. Pierce is one of the best and 3-4 most willing pass-protectors in the draft class. He can seamlessly fill in as a third- down back in the league from Day 1. Even Slimmer if he's never been a bell-cow at the NFL C.J. level, Pierce has that kind of size and ability. Anderson Bainbridge, GA","At 215 pounds of almost pure muscle, he's built like an armored vehicle. His low center of gravity allows him to stop and cut on dimes. Tough stiff arm. Consistently shrugs off first man. than 106 carries in a season.","Middling burst and long speed. Not much of a home-run hitter. Gets too greedy with his cuts at times and slipped on a handful of runs last year. Why wasn't he featured more? Never had more","ST R EN G T H Pierce wins by consistently grinding out tough yards. He runs with great pad-level, and it's rare to see him stuck in his tracks on contact.","T IME SH A R E R B Pierce isn't a limited player by any means, but given his history at Florida, he's likely best suited for a time-share situation in the NFL.","WOR KLOA D Pierce needs to prove that he can handle a larger workload. Not only did he not receive a lot of carries at Florida, but he never played more than 23 snaps in any single game.","Just because Pierce split time at Florida doesn't mean he's not a bell-cow candidate in the NFL. He's a consistent tackle breaker with real deal juice."
"19","Brian Robinson","It's a shame that Robinson was stuck behind a first-rounder in his same recruiting class because he would have been in the NFL a long time ago had he not been. He's earned well-above-average rushing grades ever since his true freshman year but shined this past season as a bell-cow. Robinson is the kind of back that seems to gain more steam the more times he touches the ball. He may not be given that opportunity at the next level, but he will almost assuredly shine in short-yardage situations. Tuscaloosa, AL","Runs behind pads and wants to deliver the blow. Great short-yardage back. Knows who he is and his limitations. Won't see him pitter pattering behind the line. Not a ton of tread on the tires despite his age with 545 carries in five seasons.","Not a big-play threat or home-run hitter by any means. Won't have physical advantage in the NFL and is high cut for a pure power back. Surprisingly rough around the edges in pass protection. Lacks aggression there.","P H Y SICA LIT Y Robinson wins with physicality. He's bigger and stronger than you, and he knows it. His violent running style will serve him well in the NFL.","SH OR T Y A R DA G E R B This is a short-yardage back who can also get opposing defenses out of two-high shells. He'll give a middle finger to your light boxes like he did against Cincinnati in the College Football Playoff semifinals.","P A SS P R O T ECH N IQU E Robinson, at least, has to work on his technique in pass protection if he wants to be anything more than an early-down back. He quite obviously has the size to do it.","Robinson is a two-down thumper. Bring him in for goal-line and short- yardage situations but don't expect much more."
"20","Isaiah Spiller","Spiller has been the starting back for Texas A&M ever since he first stepped on campus in 2019. While his three seasons in College Station look identical from a statistical perspective, the PFF grading tells a much different story. The biggest leap came this past offseason when he trimmed down considerably and became a much more dynamic back, which showed in his broken- tackle numbers. Atlanta, GA","Top notch feet for a bigger back. Jump-cut ability is a big plus. Dropped 10 pounds after his sophomore season and became a much more elusive back. Easy three-down projection. Can be a plus pass-blocker and receiver.","Long speed is lacking. Linebackers can catch him from behind. Costs himself yards by dancing too much. Doesn't routinely maximize his runs. On the tall side for a back, and he gets chopped down easier than you'd like.","V ER SA T ILIT Y Spiller wins with by being able to execute any role asked of him. Whether it's taking 30 carries in a game, seeing a half-dozen targets, or being assignment sound in pass protection, Spiller won't look out of place.","G A P - SCH EME R B Spiller has the size and pedigree to handle an every-down role. He's a better fit for a gap scheme where his overly patient running style isn't likely to be a detriment.","DECISIV EN ESS Spiller has to be more decisive as a runner at the next level. He can get away with stopping his feet behind the line of scrimmage to find the perfect hole in college, but that won't fly in the league.","Spiller may not have high-end traits, but he has a complete NFL skill set."
"21","Pierre Strong","It's been a long time coming for the redshirt senior back who's been carrying the load for the Jackrabbits ever since 2018. That season he averaged over 9.0 yards per carry and went for 1,116 yards. Since then, he's been known for his explosive ability with 76 of his 627 career attempts going for 15- plus yards. With his speed, he'll continue to be a big play threat in every offense he's in. If he can improve his hands (nine drops on 71 career catchable), he can also be a weapon in the pass game. Little Rock, AR","Can get north-south in the blink of an eye. Top notch standstill burst. Good luck catching him in the open field. Top- end speed is elite. Runs square to the line as long as possible. Allows him to change lanes easily.","No churn ability. Outstretched arms from defensive linemen can bring him down. Decelerates into contact too often instead of exploding through. Drop issues every single year. Nine drops on 71 career catchable.","A CCELER A T ION Strong can get to the second-level of the defense and beyond in a flash if you're not careful. Anytime he touches the ball, opposing defenses have to be wary of the big play.","CH A N G E OF P A CE BA CK Strong isn't the bell cow prototype by any means. He's a gifted athlete that looks more like a wide receiver playing the position at times than a true running back. He'd be best in a time share with a bigger back","H A R D- N OSED R U N N IN G Strong has to grind out tough yards better. There won't always be a crease for him to hit cleanly at the next level. When that's the case, Strong has to come into the hole with more ferocity.","Strong is the best home-run hitter in the class, but don't expect him to ever garner a large workload in your offense."
"22","Kenneth Walker","Despite grading out exceptionally well ever since his true freshman season, Walker wallowed in relative anonymity his first two seasons at Wake Forest before transferring to Michigan State. It was in East Lansing where he'd develop a reputation worthy of becoming a Heisman finalist. Running backs aren't supposed to carry teams in college football the way he did. He led the nation in broken tackles and tied Jonathan Taylor and Rashaad Penny for the highest yards after contact average for a running back with 250+ carries in a season (4.5). Arlington, TN","So many ways to win as a runner. Power, speed, elusiveness — you name it. Explodes through small creases with no hesitation — a necessary skill in the NFL. Handled a huge workload and didn't slow down — 20+ carries in six straight games.","Wants no part of pass protection. Protects like he doesn't want to get hurt. Good, not great, athlete. Lacks high-end traits that get drafted early. Very limited work in the passing game — 18 career catches.","EV ER Y WH ER E In a word...everywhere. It's what makes him so dangerous. He can lower a shoulder one play, outrun a defender on another and shake one on the next. All-around dynamic player.","BELL COW Walker can quite clearly handle a bell-cow role. He's scheme and usage diverse. He can fill whatever role a team needs.","P A SS P R OT ECT ION Walker has to buy in as a pass-blocker to see a bell-cow role in the NFL. Coaches at the next level won't let him see the field on passing downs with what he put on tape as a pass-blocker in 2021.","Walker isn't a one-year wonder. He's the real deal and has an all-around NFL skill set."
"23","Rachaad White","White is one of the most well-traveled prospects in the entire draft class. He started at Nebraska-Kearney before spending two years at Mt. San Antonio College. Then, in 2020, he transferred to Arizona State and could well have been NFL-ready now if not for COVID. White took obvious control of the starting running back position for the Sun Devils in 2020, as he averaged an absurd 10 yards per carry, Slower though that came in only four games and Kenyan 42 carries. He followed it up this past season Drake by proving it was no fluke with 1,000 yards and 15 scores. Kansas City, MO","Easy acceleration out of his cuts. Can beat you to the edge. Shimmy shake that will snatch an opposing defender's ankles. So creative in space. Wasn't used as a returner but could have a future there.","Loosey-goosey running style that is akin to a wide receiver playing running back. Not confident between the tackles. Eyes look to bounce quickly. Work in progress in pass protection. Has the desire, but not the refinement.","SP A CE P LA Y White wins with the ball in space. The good news is it's very easy to get it to him there because he has some of the best receiving ability in the draft class.","3 R D DOWN R B/ WR CON V ER T White is a change-of-pace or receiving back early on in his career. He may even be a sneaky candidate to switch to wide receiver full-time, but you don't see a lot of that.","DISCIP LIN ED R U N N IN G White needs more reps with some discipline instilled into his running style. He's going to miss a lot of holes between the tackles in the league without it.","White is the rare project at running back. If you can reign his running style in a little, he can be a playmaker."
"24","Zamir White","White was the absolute perfect back to personify the 2021 Georgia Bulldogs. By any measure an elite athlete, White runs like he's the one trying to tackle you. It was a slow build for White into that guy. A highly touted recruit, White redshirted as a freshman before seeing spot action in 2019. He's been part of a time share the last two years, but the tape and grades clearly showed a different level of physical prowess that he ran with in 2021. Laurinburg, NC","Wound up 214 pounder. Explosiveness that will translate to the league. Knows where he wins. Lowers pads into contact at full force regularly. Powerful lower half that won't round cuts going north-south.","Creativity is lacking. Not one to create on his own Disregarded in passing game. 16 career catches. X",NA,NA,NA,"White may not go too far above and beyond what's blocked ever, but he'll put an exclamation point on every run."
"25",NA,"White started his career off at Florida State where they moved him to the defensive side of the ball. He saw 119 snaps at linebacker his redshirt freshman year in before he was ruled academically inelligible and transferrred to Iowa Western Community College to play running back once again. After one year there he transferred to South Carolina where he barely saw the field behind Kevin Harris. Finally he got a bit of a timeshare role in 2021 where he broke tackles left and right. North Fort Myers, FL","Scat back-esque precision in his cuts. Can stop on a dime and run deadly routes. Acceleration on tape that wasn't reflected in his athletic testing. Lower body flexibility that matches the elite at the position in the NFL.","Hands went clang in lone season with receiving work. Four drops on 23 catchable. Haphazard running style led to very few opportunities. 105 career carries. Pass protects like a traffic cone. Does little more than stand in the defenders path.",NA,NA,NA,"White is a project in every way you can think of as a running back. He's also capable of things physically no one else in the class is."
"26","Kyren Williams","After barely playing as a true freshman in 2019, Kyren Williams has been the focal point of the offense the past two seasons. Not only in the running game but as a receiver, as well. Williams' 77 receptions the past two years were the second most on Notre Dame. He did all that despite checking in under 200 pounds. The one red flag on his production profile would be his eight fumbles over that span. Saint Louis, MO","The most willing pass-blocker in the class. Sticks his nose into the fray. Extremely reliable receiver. Good hands and can run a mean angle route. Defenders don't want to see his stiff arm being thrown their way. Packs a punch.","Just an OK athlete who has no real trump card trait to hang his hat on. Production decreased when his offensive line took a step backward in early 2021. On the smaller side for the position, barely scraping 200 pounds.","P A SS G A ME Williams wins in the passing game. Whether it's his work in pass protection or his natural hands, he makes an impact on passing downs.","P A SS DOWN R B At the very worst, he is a third-down back. He can be more than that, but he's a shoe-in to add value in that regard.","SIZ E Size is his biggest issue, but it's not like he has a ton of room on his frame to pack on mass. He may just be stuck as a time-share back and never a bell cow.","Great fit for teams that involve their running back a lot in the passing game."
